Text,Max_Similarity,Relation,Average_Similarity
The earnings growth also was fueled by the company's ability to cut net financing spending by half to around 15 million guilders.,,cause,0.7761863
The World Bank has launched a program to provide financial assistance to developing countries in order to reduce poverty.,,intend,0.7373261
"The government has implemented a new policy to provide tax incentives to businesses that hire veterans, in an effort to reduce veteran unemployment.",,intend,0.7230867
"The government passed a law to increase funding for research and development, in an effort to promote technological innovation.",,intend,0.7419009
"The government is introducing a new law to protect the environment, in an effort to reduce air and water pollution.",,intend,0.75547373
The government passed a law to increase access to education in an effort to reduce illiteracy.,,intend,0.73511726
"The government is introducing a new law to protect the rights of the elderly, in an effort to ensure access to quality care and support.",,intend,0.7850777
The government passed a law to increase access to renewable energy sources and reduce reliance on fossil fuels.,,intend,0.7837304
"In the past two months the nation's 88 junk funds have lost a total of about $6 billion -- more than 15% of assets -- through sales or transfers of junk-fund shares, Dalbar says. ",,cause,0.71283495
"A few people do think he is a real character, particularly with the tour of his house on'Baker Street' adding fuel to the fire so to speak, "" Mark Di-Toro from Visit Britain said.""",,cause,0.72147226
"Ralston Purina Co. reported a 47% decline in fourth-quarter earnings, reflecting restructuring costs as well as a more difficult pet food market.    ",,cause,0.7900845
"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion.",,intend,0.7115619
"The government has passed a new law to increase the minimum wage, in an effort to reduce poverty and improve the standard of living for low-income workers.",,intend,0.74682885
The government passed a law to increase access to mental health services and reduce stigma.,,intend,0.7568815
The government passed a law to increase access to clean energy in an effort to reduce carbon emissions.,,intend,0.7981208
"Mr. Stronach, founder and controlling shareholder of Magna, resigned as chief executive officer last year to seek, unsuccessfully, a seat in Canada's Parliament.",,intend,0.6985054
"The government of Brazil has passed a law to increase the number of job training programs, in an effort to reduce unemployment.",,intend,0.72760975
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7221428
"The government has passed a law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.7579602
"DPC, an investor group led by New York-based Crescott Investment Associates, had itself filed a suit in state court in Los Angeles seeking to nullify the agreement. ",,cause,0.75328654
The government announced a new policy to reduce carbon emissions.,,intend,0.7469347
The government passed a law to increase access to mental health services and reduce the stigma associated with mental illness.,,intend,0.7617095
The United Nations passed a resolution to promote the rights of children and ensure their access to basic services.,,intend,0.7670468
The government passed a law to increase access to public transportation and reduce traffic congestion.,,intend,0.71939504
The government has implemented a new policy to increase access to healthcare in an effort to improve public health.,,intend,0.76058304
The government passed a law to protect the rights of minorities in an effort to promote equality and justice.,,intend,0.77903366
The government passed a law to protect the rights of workers in an effort to ensure fair wages and working conditions.,,intend,0.7473718
The government passed a law to protect the rights of consumers and ensure their access to accurate information about products and services.,,intend,0.7724395
"And to protect their reduced capital investment from eroding further, market makers became quicker to lower price quotes when sell programs are in progress. ",,cause,0.7782742
The president proposed a new tax plan that would reduce taxes for the middle class and increase taxes for the wealthy.,,intend,0.6786121
"The government has passed a law to increase access to public transportation, in an effort to reduce traffic congestion and improve air quality.",,intend,0.7245102
The government passed a law to increase access to education and reduce the cost of tuition.,,intend,0.7151062
"Choudary has never announced a date for his march and area police said he had not contacted them about it, as march organizers are required to do beforehand.",,cause,0.7090634
"Anheuser-Busch Cos. said it plans to aggressively discount its major beer brands, setting the stage for a potentially bruising price war as the maturing industry's growth continues to slow.    ",,cause,0.767969
"The government passed a law to increase funding for small business loans, in an effort to promote entrepreneurship.",,intend,0.7217742
The government introduced a new law to protect the rights of consumers in an effort to promote fair trade and competition.,,intend,0.78439456
"The government passed a law to increase access to financial services, in an effort to reduce poverty.",,intend,0.74238855
The government launched a new initiative to promote economic growth and job creation.,,intend,0.76556003
The United States passed a law to increase funding for renewable energy sources in an effort to reduce greenhouse gas emissions.,,intend,0.77006644
The government has implemented a series of reforms to promote access to healthcare and reduce health disparities.,,intend,0.76594704
The government passed a new law to protect the rights of the elderly in an effort to ensure their dignity.,,intend,0.7552927
"The sale of shares to the McAlpine family along with the recent sale of 750,000 shares of Meridian stock to Haden MacLellan Holding PLC of Surrey, England and a recent public offering have increased Meridian's net worth to $8.5 million, said William Feniger, chief executive officer of Toledo, Ohio-based Meridian. ",,cause,0.75596887
The government passed a law to increase the minimum wage in order to improve the standard of living for low-income workers.,,intend,0.72958595
The government has implemented a series of reforms to promote religious freedom and reduce discrimination.,,intend,0.7660664
"The government passed a law to increase funding for job training programs, in an effort to reduce unemployment.",,intend,0.7105424
The government passed a law to increase access to healthcare services in an effort to reduce health disparities.,,intend,0.7503769
"The government is introducing a new law to protect the rights of the elderly, in an effort to ensure access to quality healthcare and social services.",,intend,0.7830054
The government passed a law to increase access to clean water in an effort to protect the environment.,,intend,0.75680053
"The government passed a law to increase the number of job fairs, in an effort to increase employment opportunities.",,intend,0.73233527
The government passed a law to protect the rights of victims of age discrimination and ensure their access to services.,,intend,0.76789045
"The government is introducing a new law to protect the rights of victims of sexual assault, in an effort to ensure their safety and access to justice.",,intend,0.7892384
"As the census gets underway, Prewitt said trying to count everyone, as mandated by the Constitution, should be the top concern.""",,cause,0.7000788
The slowdown raises questions about the economy's strength because spending fueled much of the third-quarter GNP growth.,,cause,0.7214445
"Such selling could erode prices of high-yield junk bonds, already weakened by a rash of corporate credit problems.    ",,cause,0.73347175
"The government is introducing a new law to protect the rights of women, in an effort to ensure gender equality and access to justice.",,intend,0.7895568
"The government has passed a law to increase funding for research and development, in an effort to promote innovation and economic growth.",,intend,0.75466096
The United Nations has adopted a resolution calling for an end to the conflict in Yemen.,,intend,0.7178219
"Instead, Sununusought to prove to the president that his supporters outnumber his critics andthat he should remain in his post.;   One senior official Monday described theWhite House as ""a collection of small groups of aides holding their breaths,""waiting to see whether Sununu survives. ",,cause,0.6886565
"Property/casualty insurance has been a tough business in recent quarters, as pricing has been cutthroat and natural disasters such as Hurricane Hugo and the California earthquake  have resulted in huge payments. ",,cause,0.7241761
"""As we regain our leadership level where we have been, and as we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said.    ",,cause,0.7511196
The government passed a law to protect the rights of immigrants and ensure access to basic services.,,intend,0.7737599
The government passed a law to increase access to clean energy sources in an effort to reduce greenhouse gas emissions and combat climate change.,,intend,0.8193089
"Many of our staff have tried to leave, but were unsuccessful because the walls from buildings and private residences are falling into the streets, so that it has pretty much blocked significantly most of the traffic. """,,cause,0.7072033
"The government has passed a law to increase access to affordable housing, in an effort to reduce homelessness.",,intend,0.7393472
"The government has implemented a new policy to provide tax credits to businesses that hire veterans, in an effort to reduce veteran unemployment.",,intend,0.7188775
"The government is introducing a new policy to reduce carbon emissions, in an effort to combat climate change and protect the environment.",,intend,0.8072421
"The government has passed a law to protect the rights of workers and ensure fair wages, in an effort to reduce income inequality.",,intend,0.7556917
The government passed a new law to protect the rights of children in an effort to promote their welfare.,,intend,0.75394166
"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered.",,cause,0.7359121
"The government passed a law to increase access to healthcare, in an effort to reduce health disparities.",,intend,0.7457624
"The government has passed a law to increase access to childcare, in an effort to reduce the burden on working families and promote gender equality.",,intend,0.77013236
"The government is introducing a new law to protect the rights of minorities, in an effort to ensure equal access to services and opportunities.",,intend,0.78185254
The government passed a new law to protect the rights of disabled persons in an effort to promote inclusion.,,intend,0.7724363
"The government has passed a law to protect the rights of religious minorities, in an effort to promote tolerance and acceptance.",,intend,0.7618833
Lawmakers have been accused of carving district lines around the constituents that will give their party an advantage and secure political gains.,,cause,0.71354806
"The government passed a law to increase access to healthcare, in an effort to improve public health.",,intend,0.7456452
"Another 16 members of the Brazilian-led peacekeeping force deployed in Haiti are confirmed dead, U.N. Secretary-General Ban Ki-moon said Wednesday night -- three Jordanian police officers, one Argentinean and one Chadian police officer, and 11 Brazilian peacekeepers.",,cause,0.6908666
The thrift and the holders had suspended their lawsuits as part of the agreement.,,cause,0.7275591
The government passed a law to increase funding for public education and improve educational outcomes.,,intend,0.7127907
The government passed a law to protect the rights of victims of religious discrimination and ensure their access to services.,,intend,0.7634105
It also was considering a restructuring to help boost the stock price.,,intend,0.77813244
The United Nations passed a resolution to promote the rights of LGBT people and ensure their access to equal rights and protections.,,intend,0.7848794
"The government has introduced a new program to provide job training and education services to those who are unemployed, in an effort to reduce long-term unemployment.",,intend,0.7390865
The president signed an executive order to protect the environment from pollution.,,intend,0.7032855
"After cabling world leadersabout his intention to give Saddam Hussein a final deadlineto exit Kuwait, he offered him a week to withdraw fully  , instead of the four days he originally considered, because ofobjections from some European partners that four days seemedpunitive and unrealistic.   ",,cause,0.7128102
"The government has passed a law to increase taxes on the wealthy, in an effort to reduce income inequality.",,intend,0.7313846
"The government passed a law to increase access to legal services, in an effort to reduce discrimination.",,intend,0.7446246
The government passed a law to protect the rights of minorities and ensure equal access to opportunities.,,intend,0.76742053
"The government has passed a law to increase access to housing, in an effort to reduce homelessness and improve living conditions.",,intend,0.7529128
The charges were offset in part by a gain from the sale of the company's construction division.,,cause,0.7643657
"However, its equity in the net income of National Steel declined to $6.3 million from $10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike. ",,cause,0.76021403
"The government passed a law to increase access to renewable energy sources, in an effort to reduce carbon emissions.",,intend,0.79437953
The government passed a law to protect the rights of victims of hate crimes and promote justice.,,intend,0.7745949
The Bushadministration considers the sanctions essential to keepingSaddam Hussein under control should he survive the war.,,intend,0.6890439
"The results made net income for the year ended Aug. 31 C$2.7 million, or 20 Canadian cents a share, down from C$9.7 million, or 70 Canadian cents a share last year. ",,cause,0.6498388
The Nikkei index was pressured down by profit-taking triggered by sharp advances made through this week and fell 151.20 points to 35527.29.,,cause,0.7318102
"They've been given a mandate from Switzerland"" to expand their U.S. chocolate operations. ",,cause,0.63266313
"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.",,intend,0.73474383
"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ",,cause,0.7510716
"Alabama issued a warning to drivers Thursday night, urging them to stay off icy roads as driving conditions were "" becoming dangerous "" with numerous accidents reported.",,cause,0.687275
"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.",,intend,0.73474383
"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ",,cause,0.7510716
"Alabama issued a warning to drivers Thursday night, urging them to stay off icy roads as driving conditions were "" becoming dangerous "" with numerous accidents reported.",,cause,0.687275
The government passed a law to provide tax incentives to businesses that invest in research and development in order to promote innovation and economic growth.,,intend,0.77144843
"The government passed a law to increase access to job training programs, in an effort to reduce unemployment.",,intend,0.7213691
The government passed a law to increase access to public transportation in an effort to reduce air pollution.,,intend,0.7288307
The bank also said its effort would continue past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might resume as a result.,,cause,0.7112238
"The message to the chief of staff was meant to be taken as a suggestionthat Sununu offer to resign, one highly placed source said. ",,intend,0.7155409
"And when he and President Gorbachev spoke about thedecision in a talk lasting nearly an hour, the President tookpains to listen to what his counterpart had to say, althoughhe already had decided that the Soviet alternative to theallied deadline was unacceptable.   ",,cause,0.6597398
And the U.S. now will face sharper questionsin the Arab world since it did n't  back  the peace proposalsworked out in Moscow.,,cause,0.6504239
The government passed a law to protect the rights of LGBTQ+ individuals and ensure their access to services.,,intend,0.77271473
"He took Polly Peck, once a small fabric wholesaler, and used it at as a base to build a conglomerate that has been doubling its profits annually since 1980. ",,cause,0.70456487
"The government passed a law to increase the minimum wage, in an effort to reduce poverty.",,intend,0.73389727
"The government has passed a law to protect the rights of consumers, in an effort to ensure safe and fair access to goods and services.",,intend,0.7746399
"The government passed a law to protect the rights of workers, in an effort to ensure fair wages and working conditions.",,intend,0.7399309
The government passed a law to protect the rights of immigrants and refugees in an effort to promote social justice.,,intend,0.79681176
"Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners, alleging that the hostile offer violates a standstill agreement between the two concerns.    ",,cause,0.7835182
The arctic blast that began last weekend has been blamed for at least seven deaths across the nation.,,cause,0.65440977
"The government has passed a law to protect the rights of immigrants, in an effort to promote diversity and inclusion.",,intend,0.77897674
"The United Nations passed a resolution calling for an end to the use of chemical weapons, in an effort to protect civilians from the dangers of chemical warfare.",,intend,0.7266363
"The government has passed a new law to increase the availability of affordable housing, in an effort to reduce homelessness.",,intend,0.7409517
The government passed a law to increase the availability of renewable energy sources in an effort to reduce air pollution.,,intend,0.78401375
"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ",,cause,0.7330942
"Columbia officials said they do n't know how quickly they will dispose of the thrift's junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, have n't yet been completed.    ",,cause,0.7508964
The government has implemented a series of reforms to promote religious freedom and reduce religious intolerance.,,intend,0.75528395
"The offer was automatically triggered by the recent sale of Control Data's Imprimis disk-drive business to Seagate Technology Inc.    Mr. Perlman, who is also acting chief financial officer and the odds-on favorite to become the next chief executive, said the company is achieving ""modest positive cash flow from operations, and we expect that to continue into 1990.""    ",,cause,0.78056973
"The government is introducing a new law to protect the rights of LGBTQ+ people, in an effort to ensure equal access to services and opportunities.",,intend,0.7817415
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",,intend,0.76559687
"The government passed a law to increase access to renewable energy, in an effort to reduce carbon emissions.",,intend,0.7902502
"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ",,cause,0.7330942
The government passed a law to provide incentives for businesses to invest in renewable energy sources.,,intend,0.7456982
"Although the government said the economy grew an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.    ",,cause,0.7433611
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7221428
"Earnings  were hurt by disposal of operations in its restructuring, Reed said. ",,cause,0.7465269
"The debt, estimated at $4.7 billion, could mortgage the cellular company's future earning power in order to placate some LIN holders in the short term.    ",,cause,0.7874042
"But that option is growing less and less likely as thousands of American, British, Egyptian, Syrian and Moroccan forces assemble in and around Saudi Arabia to protect the kingdom. ",,cause,0.67035234
"The sale, at a higher price than some analysts had expected, helps the food and tobacco giant raise funds to pay debt and boosts Nestle's 7% share of the U.S. candy market to about 12%.    ",,cause,0.7739875
The government passed a law to increase access to clean energy sources and reduce air pollution.,,intend,0.7838751
"The government is introducing a new law to protect the rights of people with disabilities, in an effort to ensure equal access to services and opportunities.",,intend,0.7789625
The government passed a law to protect the rights of victims of discrimination in employment and ensure their access to services.,,intend,0.7649992
The government passed a law to increase access to clean water in an effort to improve public health.,,intend,0.7567126
"The government passed a law to increase funding for research and development, in an effort to promote innovation.",,intend,0.7450743
"The government passed a law to increase access to healthcare, in an effort to reduce health disparities and improve public health.",,intend,0.7571223
"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.7680816
The United Nations Security Council passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,,intend,0.67756796
But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular.,,cause,0.7480903
The government passed a law to increase the availability of affordable housing in an effort to reduce homelessness.,,intend,0.7380413
"The company also took a write-off of $150 million to cover losses on some fixed-price defense contracts, as some new managers took a hard look at the prospects for that slow-growing business. ",,cause,0.77913576
"Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed. ",,cause,0.7681049
"Aetna Life amp Casualty Co.'s third-quarter net income fell 22% to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions.    ",,cause,0.7501559
"Newsprint results continued to be depressed, the company added, because of industrywide price discounting.    ",,cause,0.7461884
"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.7680816
"The company attributed the decrease in part to the exclusion of the company's British sales from the current year's figures as a result of the subsidiary's status as a proposed discontinued operation and, in part, to lower sales in certain key foreign and domestic accounts. ",,cause,0.7649124
"In addition, operating results were hit by an increase in loan and real estate loss reserves.    ",,cause,0.7462704
"The government passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",,intend,0.75422966
"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses. ",,cause,0.75482714
"The government passed a law to increase access to clean energy sources, in an effort to reduce greenhouse gas emissions and combat climate change.",,intend,0.81412697
"The government has passed a law to increase access to mental health services, in an effort to reduce the stigma associated with mental illness and promote public health.",,intend,0.7824088
"The government has passed a new law to increase the availability of affordable housing, in an effort to reduce homelessness and poverty.",,intend,0.75132734
"Mr. Drabinsky, who would have had the right to vote those shares for two years, said the purchase, subsequently rejected by regulators, was aimed at consolidating his control of the company. ",,intend,0.76237214
"The government passed a law to increase access to public transportation, in an effort to reduce poverty.",,intend,0.72592026
The government passed a new law to protect the rights of immigrants in an effort to promote diversity.,,intend,0.7656468
"The government passed a law to increase funding for infrastructure projects, in an effort to create jobs and stimulate economic growth.",,intend,0.739509
"The government is introducing a new law to protect the rights of the homeless, in an effort to ensure access to housing and other basic needs.",,intend,0.7658504
The United Nations passed a resolution to promote the rights of people with disabilities and ensure their access to healthcare.,,intend,0.77430934
"But Kenneth Leon, a telecommunications analyst with Bear, Stearns amp Co., finds the BellSouth proposal still flawed because the company does n't have to wait five years to begin buying more LIN shares. ",,cause,0.7488681
"The government has introduced a new law to protect the rights of minorities, in an effort to ensure equal access to services and opportunities.",,intend,0.7791529
The government passed a law to increase access to healthcare in an effort to improve public health.,,intend,0.75068676
The government passed a law to increase access to mental health services in an effort to reduce stigma and improve public health.,,intend,0.7719529
The European Union has proposed a new set of regulations to protect the environment from the effects of industrial pollution.,,intend,0.75159895
"The government has passed a law to increase funding for public education, in an effort to improve educational outcomes.",,intend,0.71574956
"The government has passed a new law to increase the availability of renewable energy sources, in an effort to reduce dependence on fossil fuels.",,intend,0.76683724
"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure equal access to services and opportunities.",,intend,0.78869843
"The government has passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",,intend,0.752968
"The directors said if Messrs. Drabinsky and Gottlieb mail an offer to shareholders by Nov. 22, it will reimburse them a maximum of C$8.5 million for expenses related to a bid.    ",,cause,0.7458159
"The government has passed a law to increase access to job training, in an effort to reduce unemployment and promote economic growth.",,intend,0.7512609
The government passed a law to increase the availability of public transportation in order to reduce traffic congestion and improve air quality.,,intend,0.73062867
"And in 2004, Hurricane Jeanne killed more than 3,000 people as it passed north of Haiti, with most of the deaths in the northwestern city of Gonaives.",,cause,0.65784425
The government has implemented a series of reforms to improve the quality of education and access to higher education.,,intend,0.74563855
"The government passed a law to increase access to affordable housing, in an effort to reduce homelessness.",,intend,0.7360417
"The government passed a law to increase the number of apprenticeships, in an effort to increase job skills.",,intend,0.7211227
"The government is introducing a new law to protect the rights of victims of hate crimes, in an effort to ensure justice and accountability.",,intend,0.79063344
The government passed a law to increase access to public transportation in an effort to reduce traffic congestion and improve air quality.,,intend,0.7294782
Rights attached to the company's common shares were issued that are triggered if a hostile bidder acquires more than 20% of the shares outstanding.,,cause,0.77426404
The government passed a new law to protect the rights of women in an effort to promote gender equality.,,intend,0.77392334
The latest period had profit from continuing operations of $4 million.,,cause,0.7096551
"The government has implemented a new policy to reduce the cost of college tuition, in an effort to make higher education more accessible.",,intend,0.7441914
"The government passed a law to increase access to financial services, in an effort to reduce inequality.",,intend,0.73795223
"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural preservation and respect.",,intend,0.76754934
The government passed a law to increase the availability of affordable housing in order to reduce homelessness and improve living standards.,,intend,0.7630485
"The government has passed a new law to increase the availability of affordable healthcare, in an effort to reduce the number of uninsured citizens.",,intend,0.7524719
The government passed a law to increase access to financial services and reduce predatory lending practices.,,intend,0.74226505
The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,,cause,0.67261297
"The government is introducing a new law to increase access to renewable energy sources, in an effort to reduce dependence on fossil fuels.",,intend,0.78011924
The United Nations passed a resolution to promote the rights of people with disabilities and ensure their access to employment opportunities.,,intend,0.7790891
The government implemented a new policy to promote economic diversification.,,intend,0.759693
The government passed a law to increase access to clean water and reduce water pollution.,,intend,0.7545008
"Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending. ",,cause,0.79398793
The government introduced a new program to provide incentives for businesses to invest in infrastructure projects.,,intend,0.7423689
"The gross proceeds from the sale of the notes, which will be due on Nov. 1, 2004, will be used to reduce existing debt and for general corporate purposes, the company said. ",,intend,0.75081426
"Peter DaPuzzo, head of retail equity trading at Shearson Lehman Hutton, acknowledges that he wasn't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising.    ",,cause,0.7589222
"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to recognize their cultural and land rights.",,intend,0.77487004
The government passed a law to increase access to educational opportunities in an effort to reduce inequality and promote social mobility.,,intend,0.76677763
"The government is introducing a new law to protect the rights of victims of domestic violence, in an effort to ensure their safety and access to justice.",,intend,0.7958406
"The government is introducing a new law to protect the rights of LGBTQ+ individuals, in an effort to promote acceptance and inclusion.",,intend,0.7822936
The government passed a law to protect the rights of LGBTQ+ individuals and ensure their access to services.,,intend,0.77271473
"The government passed a law to increase the number of job placement services, in an effort to increase employment opportunities.",,intend,0.728571
