Text,Max_Similarity,Relation,Average_Similarity
The Nikkei index was pressured down by profit-taking triggered by sharp advances made through this week and fell 151.20 points to 35527.29.,,cause,0.81726056
"They've been given a mandate from Switzerland"" to expand their U.S. chocolate operations. ",,cause,0.8988741
"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.",,intend,0.7040174
"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ",,cause,0.69927436
"Alabama issued a warning to drivers Thursday night, urging them to stay off icy roads as driving conditions were "" becoming dangerous "" with numerous accidents reported.",,cause,0.6898765
"The government has passed a new law to increase the availability of public transportation, in an effort to reduce traffic congestion and air pollution.",,intend,0.8677105
"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ",,cause,0.81813926
"Alabama issued a warning to drivers Thursday night, urging them to stay off icy roads as driving conditions were "" becoming dangerous "" with numerous accidents reported.",,cause,0.8396842
The government passed a law to provide tax incentives to businesses that invest in research and development in order to promote innovation and economic growth.,,intend,0.8788587
"The government passed a law to increase access to job training programs, in an effort to reduce unemployment.",,intend,0.860711
The government passed a law to increase access to public transportation in an effort to reduce air pollution.,,intend,0.89437616
The bank also said its effort would continue past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might resume as a result.,,cause,0.76140225
"The message to the chief of staff was meant to be taken as a suggestionthat Sununu offer to resign, one highly placed source said. ",,intend,0.9270085
"And when he and President Gorbachev spoke about thedecision in a talk lasting nearly an hour, the President tookpains to listen to what his counterpart had to say, althoughhe already had decided that the Soviet alternative to theallied deadline was unacceptable.   ",,cause,0.871542
And the U.S. now will face sharper questionsin the Arab world since it did n't  back  the peace proposalsworked out in Moscow.,,cause,0.8332052
The government passed a law to protect the rights of LGBTQ+ individuals and ensure their access to services.,,intend,0.9638783
"He took Polly Peck, once a small fabric wholesaler, and used it at as a base to build a conglomerate that has been doubling its profits annually since 1980. ",,cause,0.8344658
"The government passed a law to increase the minimum wage, in an effort to reduce poverty.",,intend,0.8994422
"The government has passed a law to protect the rights of consumers, in an effort to ensure safe and fair access to goods and services.",,intend,0.96908796
"The government passed a law to protect the rights of workers, in an effort to ensure fair wages and working conditions.",,intend,0.746964
The government passed a law to protect the rights of immigrants and refugees in an effort to promote social justice.,,intend,0.92253494
"Dataproducts Inc. said it filed a lawsuit in Delaware Chancery Court to block a tender offer by DPC Acquisition Partners, alleging that the hostile offer violates a standstill agreement between the two concerns.    ",,cause,0.9167963
The arctic blast that began last weekend has been blamed for at least seven deaths across the nation.,,cause,0.91014683
"The government has passed a law to protect the rights of immigrants, in an effort to promote diversity and inclusion.",,intend,0.76466405
"The United Nations passed a resolution calling for an end to the use of chemical weapons, in an effort to protect civilians from the dangers of chemical warfare.",,intend,0.83561265
"The government has passed a new law to increase the availability of affordable housing, in an effort to reduce homelessness.",,intend,0.87520534
The government passed a law to increase the availability of renewable energy sources in an effort to reduce air pollution.,,intend,0.89375144
"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ",,cause,0.8060816
"Columbia officials said they do n't know how quickly they will dispose of the thrift's junk bonds, because federal regulations, such as those that would allow thrifts to continue holding the bonds in separately capitalized subsidiaries, have n't yet been completed.    ",,cause,0.88346136
The government has implemented a series of reforms to promote religious freedom and reduce religious intolerance.,,intend,0.81721866
"The offer was automatically triggered by the recent sale of Control Data's Imprimis disk-drive business to Seagate Technology Inc.    Mr. Perlman, who is also acting chief financial officer and the odds-on favorite to become the next chief executive, said the company is achieving ""modest positive cash flow from operations, and we expect that to continue into 1990.""    ",,cause,0.7706567
"The government is introducing a new law to protect the rights of LGBTQ+ people, in an effort to ensure equal access to services and opportunities.",,intend,0.8361684
"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ",,intend,0.87882215
"The government passed a law to increase access to renewable energy, in an effort to reduce carbon emissions.",,intend,0.8569315
"Nonetheless, concern about the chip may have been responsible for a decline of 87.5 cents in Intel's stock to $32 a share yesterday in over-the-counter trading, on volume of 3,609,800 shares, and partly responsible for a drop in Compaq's stock in New York Stock Exchange composite trading on Wednesday. ",,cause,0.7991693
The government passed a law to provide incentives for businesses to invest in renewable energy sources.,,intend,0.79501224
"Although the government said the economy grew an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.    ",,cause,0.82920533
"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ",,cause,0.7489321
"Earnings  were hurt by disposal of operations in its restructuring, Reed said. ",,cause,0.8173599
"The debt, estimated at $4.7 billion, could mortgage the cellular company's future earning power in order to placate some LIN holders in the short term.    ",,cause,0.8297504
"But that option is growing less and less likely as thousands of American, British, Egyptian, Syrian and Moroccan forces assemble in and around Saudi Arabia to protect the kingdom. ",,cause,0.8014638
"The sale, at a higher price than some analysts had expected, helps the food and tobacco giant raise funds to pay debt and boosts Nestle's 7% share of the U.S. candy market to about 12%.    ",,cause,0.8049256
The government passed a law to increase access to clean energy sources and reduce air pollution.,,intend,0.96908796
"The government is introducing a new law to protect the rights of people with disabilities, in an effort to ensure equal access to services and opportunities.",,intend,0.82491684
The government passed a law to protect the rights of victims of discrimination in employment and ensure their access to services.,,intend,0.8483283
The government passed a law to increase access to clean water in an effort to improve public health.,,intend,0.8769058
"The government passed a law to increase funding for research and development, in an effort to promote innovation.",,intend,0.7878351
"The government passed a law to increase access to healthcare, in an effort to reduce health disparities and improve public health.",,intend,0.9701456
"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.77296907
The United Nations Security Council passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,,intend,0.7614415
But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular.,,cause,0.7395212
The government passed a law to increase the availability of affordable housing in an effort to reduce homelessness.,,intend,0.87520534
"The company also took a write-off of $150 million to cover losses on some fixed-price defense contracts, as some new managers took a hard look at the prospects for that slow-growing business. ",,cause,0.8836006
"Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed. ",,cause,0.80181277
"Aetna Life amp Casualty Co.'s third-quarter net income fell 22% to $182.6 million, or $1.63 a share, reflecting the damages from Hurricane Hugo and lower results for some of the company's major divisions.    ",,cause,0.9425079
"Newsprint results continued to be depressed, the company added, because of industrywide price discounting.    ",,cause,0.82631207
"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.",,intend,0.77296907
"The company attributed the decrease in part to the exclusion of the company's British sales from the current year's figures as a result of the subsidiary's status as a proposed discontinued operation and, in part, to lower sales in certain key foreign and domestic accounts. ",,cause,0.72644377
"In addition, operating results were hit by an increase in loan and real estate loss reserves.    ",,cause,0.9537797
"The government passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",,intend,0.8994422
"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses. ",,cause,0.9084325
"The government passed a law to increase access to clean energy sources, in an effort to reduce greenhouse gas emissions and combat climate change.",,intend,0.9476532
"The government has passed a law to increase access to mental health services, in an effort to reduce the stigma associated with mental illness and promote public health.",,intend,0.85365856
"The government has passed a new law to increase the availability of affordable housing, in an effort to reduce homelessness and poverty.",,intend,0.87520534
"Mr. Drabinsky, who would have had the right to vote those shares for two years, said the purchase, subsequently rejected by regulators, was aimed at consolidating his control of the company. ",,intend,0.8485366
"The government passed a law to increase access to public transportation, in an effort to reduce poverty.",,intend,0.8488289
The government passed a new law to protect the rights of immigrants in an effort to promote diversity.,,intend,0.75596476
"The government passed a law to increase funding for infrastructure projects, in an effort to create jobs and stimulate economic growth.",,intend,0.8801554
"The government is introducing a new law to protect the rights of the homeless, in an effort to ensure access to housing and other basic needs.",,intend,0.8704896
The United Nations passed a resolution to promote the rights of people with disabilities and ensure their access to healthcare.,,intend,0.8967638
"But Kenneth Leon, a telecommunications analyst with Bear, Stearns amp Co., finds the BellSouth proposal still flawed because the company does n't have to wait five years to begin buying more LIN shares. ",,cause,0.77886695
"The government has introduced a new law to protect the rights of minorities, in an effort to ensure equal access to services and opportunities.",,intend,0.82491684
The government passed a law to increase access to healthcare in an effort to improve public health.,,intend,0.84690094
The government passed a law to increase access to mental health services in an effort to reduce stigma and improve public health.,,intend,0.9701456
The European Union has proposed a new set of regulations to protect the environment from the effects of industrial pollution.,,intend,0.87028205
"The government has passed a law to increase funding for public education, in an effort to improve educational outcomes.",,intend,0.8779724
"The government has passed a new law to increase the availability of renewable energy sources, in an effort to reduce dependence on fossil fuels.",,intend,0.89437616
"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure equal access to services and opportunities.",,intend,0.8967638
"The government has passed a law to increase the minimum wage, in an effort to reduce poverty and improve living standards.",,intend,0.8994422
"The directors said if Messrs. Drabinsky and Gottlieb mail an offer to shareholders by Nov. 22, it will reimburse them a maximum of C$8.5 million for expenses related to a bid.    ",,cause,0.8129029
"The government has passed a law to increase access to job training, in an effort to reduce unemployment and promote economic growth.",,intend,0.8843398
The government passed a law to increase the availability of public transportation in order to reduce traffic congestion and improve air quality.,,intend,0.87008077
"And in 2004, Hurricane Jeanne killed more than 3,000 people as it passed north of Haiti, with most of the deaths in the northwestern city of Gonaives.",,cause,0.94596255
The government has implemented a series of reforms to improve the quality of education and access to higher education.,,intend,0.77402127
"The government passed a law to increase access to affordable housing, in an effort to reduce homelessness.",,intend,0.9654047
"The government passed a law to increase the number of apprenticeships, in an effort to increase job skills.",,intend,0.9654047
"The government is introducing a new law to protect the rights of victims of hate crimes, in an effort to ensure justice and accountability.",,intend,0.8740776
The government passed a law to increase access to public transportation in an effort to reduce traffic congestion and improve air quality.,,intend,0.8621033
Rights attached to the company's common shares were issued that are triggered if a hostile bidder acquires more than 20% of the shares outstanding.,,cause,0.8969595
The government passed a new law to protect the rights of women in an effort to promote gender equality.,,intend,0.73956645
The latest period had profit from continuing operations of $4 million.,,cause,0.9425079
"The government has implemented a new policy to reduce the cost of college tuition, in an effort to make higher education more accessible.",,intend,0.88446254
"The government passed a law to increase access to financial services, in an effort to reduce inequality.",,intend,0.8354376
"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to promote cultural preservation and respect.",,intend,0.92253494
The government passed a law to increase the availability of affordable housing in order to reduce homelessness and improve living standards.,,intend,0.89821756
"The government has passed a new law to increase the availability of affordable healthcare, in an effort to reduce the number of uninsured citizens.",,intend,0.88165635
The government passed a law to increase access to financial services and reduce predatory lending practices.,,intend,0.96908796
The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,,cause,0.8361994
"The government is introducing a new law to increase access to renewable energy sources, in an effort to reduce dependence on fossil fuels.",,intend,0.9476532
The United Nations passed a resolution to promote the rights of people with disabilities and ensure their access to employment opportunities.,,intend,0.95463926
The government implemented a new policy to promote economic diversification.,,intend,0.9654047
The government passed a law to increase access to clean water and reduce water pollution.,,intend,0.9476532
"Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending. ",,cause,0.7793542
The government introduced a new program to provide incentives for businesses to invest in infrastructure projects.,,intend,0.9267396
"The gross proceeds from the sale of the notes, which will be due on Nov. 1, 2004, will be used to reduce existing debt and for general corporate purposes, the company said. ",,intend,0.7969534
"Peter DaPuzzo, head of retail equity trading at Shearson Lehman Hutton, acknowledges that he wasn't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising.    ",,cause,0.7697922
"The government is introducing a new law to protect the rights of indigenous peoples, in an effort to recognize their cultural and land rights.",,intend,0.9701456
The government passed a law to increase access to educational opportunities in an effort to reduce inequality and promote social mobility.,,intend,0.93969554
"The government is introducing a new law to protect the rights of victims of domestic violence, in an effort to ensure their safety and access to justice.",,intend,0.83607924
"The government is introducing a new law to protect the rights of LGBTQ+ individuals, in an effort to promote acceptance and inclusion.",,intend,0.8619541
The government passed a law to protect the rights of LGBTQ+ individuals and ensure their access to services.,,intend,0.9638783
"The government passed a law to increase the number of job placement services, in an effort to increase employment opportunities.",,intend,0.9654047
