context,triplets,label
The lock is replaced spreading the illness to others who may not be able to fight it off as easily.,<triplet> The lock is replaced <subj> spreading the illness to others who may not be able to fight it off as easily. <obj> no_relation,no_relation
 takes part in the discussions intend to give and get information.,<triplet>  takes part in the discussions <subj> to give and get information. <obj> intend,intend
When the water the onset of premature skin aging and potential skin cancer,<triplet> When the water <subj> the onset of premature skin aging and potential skin cancer <obj> no_relation,no_relation
 is walking to work intend to get there on time,<triplet>  is walking to work <subj> to get there on time <obj> intend,intend
"If you have a car
you can
drive it on the road.",<triplet> If you have a car <subj> drive it on the road. <obj> enable,enable
 holds a  together intend to explain it,<triplet>  holds a together <subj> to explain it <obj> intend,intend
 thanks  for coming intend to invite them to a future function,<triplet>  thanks  for coming <subj> to invite them to a future function <obj> intend,intend
"The lock won't open without the right key
using
the right key",<triplet> The lock wont open without the right key <subj> the right key <obj> enable,enable
 describes briefly the  intend To learn about the product,<triplet>  describes briefly the  <subj> To learn about the product <obj> intend,intend
When you add salt to the boiling water to thank Person X,<triplet> When you add salt to the boiling water <subj> to thank Person X <obj> no_relation,no_relation
If you have a phone to see how they feel,<triplet>  If you have a phone <subj> to see how they feel <obj> no_relation,no_relation
"strikes while the iron is hot the loss of bone density, bone fragility, or fractures caused by osteoporosis.","<triplet>  strikes while the iron is hot <subj> the loss of bone density, bone fragility, or fractures caused by osteoporosis. <obj> no_relation",no_relation
 is taken away intend to be aquitted,<triplet>  is taken away <subj> to be aquitted <obj> intend,intend
 tells  to call intend to call after dinner,<triplet>  tells  to call <subj> to call after dinner <obj> intend,intend
 walks home from the grocery store intend to get home and eat,<triplet>  walks home from the grocery store <subj> to get home and eat <obj> intend,intend
Applying sunscreen before going outside can prevent sunburn and skin cancer caused by excessive UV exposure.,<triplet> Applying sunscreen before going outside <subj> sunburn and skin cancer caused by excessive UV exposure. <obj> prevent,prevent
 crashes into a tree cause needs help,<triplet>  crashes into a tree <subj> needs help <obj> cause,cause
 kicks the tires cause shoe falls off,<triplet>  kicks the tires <subj> shoe falls off <obj> cause,cause
"With a properly inflated tire
will
the car will have better traction and handling on the road",<triplet> With a properly inflated tire <subj> the car will have better traction and handling on the road <obj> enable,enable
the device can be turned on I checked the power cord and found that it was unplugged,<triplet> the device can be turned on <subj> I checked the power cord and found that it was unplugged <obj> no_relation,no_relation
The meicine has been prescribe by a licenseoctor person x talks to strangers,<triplet>  The meicine has been prescribe by a licenseoctor <subj> person x talks to strangers <obj> no_relation,no_relation
throws open major breakthrough,<triplet>  throws open <subj> major breakthrough <obj> no_relation,no_relation
 cuts a long story short intend To finish speaking,<triplet>  cuts a long story short <subj> To finish speaking <obj> intend,intend
 throws  into the trash intend to clean out the refrigerator,<triplet>  throws into the trash <subj> to clean out the refrigerator <obj> intend,intend
 gets  afterwards intend to get more of it,<triplet>  gets afterwards <subj> to get more of it <obj> intend,intend
turns heads to grab something to eat,<triplet>  turns heads <subj> to grab something to eat <obj> no_relation,no_relation
buys the shoes obesity-related diseases like heart disease and stroke.,<triplet>  buys the shoes <subj> obesity-related diseases like heart disease and stroke. <obj> no_relation,no_relation
 becomes  advocate intend to thank him,<triplet>  becomes  advocate <subj> to thank him <obj> intend,intend
follows  everywhere to get the address of,<triplet>  follows  everywhere <subj> to get the address of  <obj> no_relation,no_relation
resists every to swim again,<triplet>  resists every  <subj> to swim again <obj> no_relation,no_relation
 puts the  in another way cause seen as intelligent,<triplet>  puts the in another way <subj> seen as intelligent <obj> cause,cause
acts like a man to hear,<triplet>  acts like a man <subj> to hear <obj> no_relation,no_relation
 puts lotion cause to get white tone,<triplet>  puts lotion <subj> to get white tone <obj> cause,cause
"When the water
is boiling,
you can add noodles to it for making pasta.",<triplet> When the water <subj> you can add noodles to it for making pasta. <obj> enable,enable
"A spark from the grill ignites the charcoal
Starting
For roasting marshmallows on the campfire",<triplet> A spark from the grill ignites the charcoal <subj> For roasting marshmallows on the campfire <obj> enable,enable
 is very rude to  cause Y is offended,<triplet>  is very rude to  <subj> Y is offended <obj> cause,cause
 puts  in storage intend to declutter,<triplet>  puts in storage <subj> to declutter <obj> intend,intend
The road was blocked due to an accident to live a minimalistic lifestyle,<triplet> The road was blocked due to an accident <subj> to live a minimalistic lifestyle <obj> no_relation,no_relation
"Heavy rain
is causing
umbrellas to protect us from getting wet.",<triplet> Heavy rain <subj> umbrellas to protect us from getting wet. <obj> enable,enable
 takes  to the hospital intend to talk to the attending doctor about their condition.,<triplet>  takes to the hospital <subj> to talk to the attending doctor about their condition. <obj> intend,intend
 wants to meet  cause calls person Y,<triplet>  wants to meet  <subj> calls person Y <obj> cause,cause
turns  down they understand,<triplet>  turns  down <subj> they understand <obj> no_relation,no_relation
 attempts  explanation intend to hear,<triplet>  attempts  explanation <subj> to hear <obj> intend,intend
mentions  name cooking your favorite dessert becomes easy and enjoyable,<triplet>  mentions  name <subj> cooking your favorite dessert becomes easy and enjoyable <obj> no_relation,no_relation
 listens to every word cause understands,<triplet>  listens to every word <subj> understands <obj> cause,cause
If you have a garden hose accidents and injuries.,<triplet> If you have a garden hose <subj> accidents and injuries. <obj> no_relation,no_relation
A tightrope walkers balance go outside and enjoy the sunshine,<triplet> A tightrope walkers balance <subj> go outside and enjoy the sunshine <obj> no_relation,no_relation
issues  edict to go to sleep,<triplet>  issues  edict <subj> to go to sleep <obj> no_relation,no_relation
When the cars engine it to be securely closed.,<triplet> When the cars engine <subj> it to be securely closed. <obj> no_relation,no_relation
"When the car's engine is running smoothly,
is enabling
it can be safely driven on long road trips.","<triplet> When the cars engine is running smoothly, <subj> it can be safely driven on long road trips. <obj> enable",enable
gives back to gets back,<triplet>  gives back to  <subj> gets back <obj> no_relation,no_relation
gets rid altogether to become a mayor,<triplet>  gets rid altogether <subj> to become a mayor <obj> no_relation,no_relation
"The fact of having a stove
if
turning it on",<triplet> The fact of having a stove <subj> turning it on <obj> enable,enable
keeps  eye on things make a good impression,<triplet>  keeps  eye on things <subj> make a good impression <obj> no_relation,no_relation
" Taking a regular exercise routine prevents obesity, heart disease, and other health issues caused by lack of physical activity","<triplet> Taking a regular exercise routine <subj> obesity, heart disease, and other health issues caused by lack of physical activity <obj> prevent",prevent
With a adequately inflated bicycle tire enables a smoother ride.,<triplet> With a adequately inflated bicycle tire <subj> a smoother ride. <obj> enable,enable
 demands a refund cause GIVES SHARE OF MONEY,<triplet>  demands a refund <subj> GIVES SHARE OF MONEY <obj> cause,cause
 pleases forgive  intend to repent for what they did,<triplet>  pleases forgive  <subj> to repent for what they did <obj> intend,intend
 gets  lately cause has fun at parties,<triplet>  gets lately <subj> has fun at parties <obj> cause,cause
 wants to do something cause to wants to do something,<triplet>  wants to do something <subj> to wants to do something <obj> cause,cause
 writes a letter to  intend to thank persony for a gift,<triplet>  writes a letter to  <subj> to thank persony for a gift <obj> intend,intend
 knows what to say cause receives response,<triplet>  knows what to say <subj> receives response <obj> cause,cause
" Avoiding exposure to cigarette smoke  prevents lung cancer, heart disease, and other smoking-related illnesses","<triplet> Avoiding exposure to cigarette smoke  <subj> lung cancer, heart disease, and other smoking-related illnesses <obj> prevent",prevent
After you finish your homework I can drink it.,<triplet> After you finish your homework <subj> I can drink it. <obj> no_relation,no_relation
 saves  for later cause puts it in the refrigerator,<triplet>  saves for later <subj> puts it in the refrigerator <obj> cause,cause
The door can be opened to do other activities,<triplet> The door can be opened <subj> to do other activities <obj> no_relation,no_relation
 boards a plane intend to go somewhere,<triplet>  boards a plane <subj> to go somewhere <obj> intend,intend
 gets  lately cause is overwhelmed,<triplet>  gets lately <subj> is overwhelmed <obj> cause,cause
" Following proper food handling procedures prevents foodborne illnesses, spoilage, or contamination due to improper food preparation or storage methods","<triplet> Following proper food handling procedures <subj> foodborne illnesses, spoilage, or contamination due to improper food preparation or storage methods <obj> prevent",prevent
 teaches  how to fish intend someone to be good at fishing,<triplet>  teaches how to fish <subj> someone to be good at fishing <obj> intend,intend
 fires another  cause could be injured or die,<triplet>  fires another  <subj> could be injured or die <obj> cause,cause
 puts  in a bowl intend to eat the meal,<triplet>  puts in a bowl <subj> to eat the meal <obj> intend,intend
 flushes the toilet intend to wash his hands,<triplet>  flushes the toilet <subj> to wash his hands <obj> intend,intend
tears  away answers a question,<triplet>  tears  away <subj> answers a question <obj> no_relation,no_relation
Theoor is unlock put in casket,<triplet>  Theoor is unlock <subj> put in casket <obj> no_relation,no_relation
"Eating a balanced diet prevents obesity, diabetes, and other chronic health conditions.","<triplet> Eating a balanced diet <subj> obesity, diabetes, and other chronic health conditions. <obj> prevent",prevent
wants anything to end the drama,<triplet>  wants anything <subj> to end the drama <obj> no_relation,no_relation
"Practicing safe sex (e.g., using condoms or abstaining from sex) prevents unintended pregnancy, sexually transmitted infections (STIs), and AIDS if an HIV-infected partner is present.","<triplet> Practicing safe sex (e.g., using condoms or abstaining from sex) <subj> unintended pregnancy, sexually transmitted infections (STIs), and AIDS if an HIV-infected partner is present. <obj> prevent",prevent
does the math breathes easier,<triplet>  does the math <subj> breathes easier <obj> no_relation,no_relation
"Avoiding exposure to toxic chemicals or substances prevents cancer, birth defects, and other long-term health issues.","<triplet> Avoiding exposure to toxic chemicals or substances <subj> cancer, birth defects, and other long-term health issues. <obj> prevent",prevent
 cuts  loose intend to let go of the past,<triplet>  cuts  loose <subj> to let go of the past <obj> intend,intend
 takes guard cause they stand there,<triplet>  takes guard <subj> they stand there <obj> cause,cause
"Cleaning the house regularly small fires from becoming larger, more dangerous, or uncontrollable","<triplet> Cleaning the house regularly <subj> small fires from becoming larger, more dangerous, or uncontrollable <obj> no_relation",no_relation
 gets  a great gift intend give gift,<triplet>  gets  a great gift <subj> give gift <obj> intend,intend
"When the traffic light
turns
green, cars","<triplet> When the traffic light <subj> green, cars <obj> enable",enable
 loves to travel cause got free  mind and relaxed,<triplet>  loves to travel <subj> got free mind and relaxed <obj> cause,cause
"Wearing appropriate safety gear such as hard hats, gloves, and goggles when working with hazardous materials vomits","<triplet> Wearing appropriate safety gear such as hard hats, gloves, and goggles when working with hazardous materials <subj> vomits <obj> no_relation",no_relation
"Practicing good hygiene habits, such as washing hands regularly and avoiding contact with sick individuals tooth decay, gum disease, and other dental health issues.","<triplet> Practicing good hygiene habits, such as washing hands regularly and avoiding contact with sick individuals <subj> tooth decay, gum disease, and other dental health issues. <obj> no_relation",no_relation
"Using a lockbox to store important documents and valuables  prevents theft, loss or damage due to natural disasters or other unexpected events.","<triplet> Using a lockbox to store important documents and valuables  <subj> theft, loss or damage due to natural disasters or other unexpected events. <obj> prevent",prevent
 leaves the  immediately cause thinks about party,<triplet>  leaves the immediately <subj> thinks about party <obj> cause,cause
 stands in front of  intend to tell  to move,<triplet>  stands in front of  <subj> to tell  to move <obj> intend,intend
 is no longer friends intend to get revenge on friend.,<triplet>  is no longer friends <subj> to get revenge on friend. <obj> intend,intend
 meets the lord in the air cause gets punished,<triplet>  meets the lord in the air <subj> gets punished <obj> cause,cause
pays to the emperor to feel loved by a child,<triplet>  pays to the emperor <subj> to feel loved by a child <obj> no_relation,no_relation
 states briefly the  cause date,<triplet>  states briefly the  <subj> date <obj> cause,cause
 finds my keys intend to help someone out,<triplet>  finds my keys <subj> to help someone out <obj> intend,intend
relaxes and watch gets help with a desicion,<triplet>  relaxes and watch  <subj> gets help with a desicion <obj> no_relation,no_relation
 loses a tooth intend cover the toothless spot with a napkin,<triplet>  loses a tooth <subj> cover the toothless spot with a napkin <obj> intend,intend
pays  tribute house fires from spreading and causing catastrophic damage or fatalities.,<triplet>  pays  tribute <subj> house fires from spreading and causing catastrophic damage or fatalities. <obj> no_relation,no_relation
 finally broke down intend to cry,<triplet>  finally broke down <subj> to cry <obj> intend,intend
Installing smoke detectors and implementing evacuation procedures can prevent fatalities from house fires or other emergencies.,<triplet> Installing smoke detectors and implementing evacuation procedures <subj> fatalities from house fires or other emergencies. <obj> prevent,prevent
"You have a credit card
If
You can make purchases online or in stores",<triplet> You have a credit card <subj> You can make purchases online or in stores <obj> enable,enable
 sees  tomorrow cause says Hi,<triplet>  sees  tomorrow <subj> says Hi <obj> cause,cause
"the pump will turn on
due to
a built-in sensor's detection of the water level.",<triplet> the pump will turn on <subj> a built-in sensors detection of the water level. <obj> enable,enable
recently saw progress,<triplet>  recently saw <subj> progress <obj> no_relation,no_relation
 keeps  long cause is unable to see wife,<triplet>  keeps  long <subj> is unable to see wife <obj> cause,cause
takes  action unauthorized access to your personal data by hackers or malicious software,<triplet>  takes  action <subj> unauthorized access to your personal data by hackers or malicious software <obj> no_relation,no_relation
"The sound of the clock indicates that a predetermined amount of time has passed, typically 5 or 10 minutes. the solar panels will generate electricity","<triplet> The sound of the clock indicates that a predetermined amount of time has passed, typically 5 or 10 minutes. <subj> the solar panels will generate electricity <obj> no_relation",no_relation
 breaks the seal intend to ensure something is fresh,<triplet>  breaks the seal <subj> to ensure something is fresh <obj> intend,intend
 eats sushi intend to try something new,<triplet>  eats sushi <subj> to try something new <obj> intend,intend
"it can provide relief from extreme heat or humidity, which may cause discomfort or health issues.
Thusly,
the indoor environment will be comfortable and conducive to productivity and relaxation.","<triplet> it can provide relief from extreme heat or humidity, which may cause discomfort or health issues. <subj> the indoor environment will be comfortable and conducive to productivity and relaxation. <obj> enable",enable
 loves books cause gets a hunchback,<triplet>  loves books <subj> gets a hunchback <obj> cause,cause
finally make to drink a lot of water,<triplet>  finally make  <subj> to drink a lot of water <obj> no_relation,no_relation
 starts to get better cause loses fever,<triplet>  starts to get better <subj> loses fever <obj> cause,cause
 gets a bad grade intend to be a failure,<triplet>  gets a bad grade <subj> to be a failure <obj> intend,intend
"The computer's
battery life is sufficient to complete the task,
which eliminates any need for an external power source.",<triplet> The computers <subj> which eliminates any need for an external power source. <obj> enable,enable
"Brushing and flossing teeth twice a day can prevent cavities, gum disease, and bad breath.","<triplet> Brushing and flossing teeth twice a day <subj> cavities, gum disease, and bad breath. <obj> prevent",prevent
 places  on the table intend persony is too heavy to hold,<triplet>  places  on the table <subj> persony is too heavy to hold <obj> intend,intend
 is moving to a new town cause get a new place to live,<triplet>  is moving to a new town <subj> get a new place to live <obj> cause,cause
"When the traffic light turns
green
you can cross the intersection safely.",<triplet> When the traffic light turns <subj> you can cross the intersection safely. <obj> enable,enable
 takes the kitten home cause sneezes,<triplet>  takes the kitten home <subj> sneezes <obj> cause,cause
"Having a stable internet connection
allows for
streaming movies and TV shows",<triplet> Having a stable internet connection <subj> streaming movies and TV shows <obj> enable,enable
 Avoiding smoking and secondhand smoke exposure prevents lungs from developing cancer or other respiratory diseases,<triplet> Avoiding smoking and secondhand smoke exposure <subj> lungs from developing cancer or other respiratory diseases <obj> prevent,prevent
is no longer afraid attacks on livestock or humans,<triplet>  is no longer afraid <subj> attacks on livestock or humans <obj> no_relation,no_relation
 gives  direction cause receives an award,<triplet>  gives  direction <subj> receives an award <obj> cause,cause
obtains from the government to have a friend,<triplet>  obtains from the government <subj> to have a friend <obj> no_relation,no_relation
Wearing safety glasses prevents eye injuries from flying debris or dust during construction work.,<triplet> Wearing safety glasses <subj> eye injuries from flying debris or dust during construction work. <obj> prevent,prevent
 gives  a shake intend to pay them for it,<triplet>  gives  a shake <subj> to pay them for it <obj> intend,intend
"buys a new plant nutrient deficiencies, obesity, and related health issues.","<triplet>  buys a new plant <subj> nutrient deficiencies, obesity, and related health issues. <obj> no_relation",no_relation
"Wearing appropriate clothing and gear for the job or activity at hand prevents injuries, accidents, or fatalities from occurring.","<triplet> Wearing appropriate clothing and gear for the job or activity at hand <subj> injuries, accidents, or fatalities from occurring. <obj> prevent",prevent
 washes  in the sink intend to get things clean,<triplet>  washes in the sink <subj> to get things clean <obj> intend,intend
 feels like a failure intend eat sweets,<triplet>  feels like a failure <subj> eat sweets <obj> intend,intend
"When the computer
is turned on
it starts up and loads software programs automatically",<triplet> When the computer <subj> it starts up and loads software programs automatically <obj> enable,enable
When the dishwasher finishes to ease his tension,<triplet> When the dishwasher finishes <subj> to ease his tension <obj> no_relation,no_relation
Covering exposed wires with insulating material to ask  questions,<triplet> Covering exposed wires with insulating material <subj> to ask  questions <obj> no_relation,no_relation
 swings  cause he gets dropped,<triplet>  swings  <subj> he gets dropped <obj> cause,cause
reminds  of PersonZ importance,<triplet>  reminds  of PersonZ <subj> importance <obj> no_relation,no_relation
 gives  a big hug cause gets dirty,<triplet>  gives a big hug <subj> gets dirty <obj> cause,cause
"The toaster will make bread toast
when you plug it in
plugging it in",<triplet> The toaster will make bread toast <subj> plugging it in <obj> enable,enable
never played the students to understand,<triplet>  never played  <subj> the students to understand <obj> no_relation,no_relation
 goes home together cause watches TV,<triplet>  goes home together <subj> watches TV <obj> cause,cause
Maintaining a clean home environment rest,<triplet> Maintaining a clean home environment <subj> rest <obj> no_relation,no_relation
 makes the welkin ring intend PERSON X WANT TO MAKE A WELKIN RING,<triplet>  makes the welkin ring <subj> PERSON X WANT TO MAKE A WELKIN RING <obj> intend,intend
Using a seatbelt while driving or riding in a vehicle can prevent injury or death in case of an accident.,<triplet> Using a seatbelt while driving or riding in a vehicle <subj> injury or death in case of an accident. <obj> prevent,prevent
takes  to the dentist gets energy,<triplet>  takes  to the dentist <subj> gets energy <obj> no_relation,no_relation
"If a fire extinguisher
is easily accessible and has not expired,
it enables individuals",<triplet> If a fire extinguisher <subj> it enables individuals <obj> enable,enable
 hits hard intend to leave,<triplet>  hits hard <subj> to leave <obj> intend,intend
asks  to help execute the rights,<triplet>  asks  to help <subj> execute the rights <obj> no_relation,no_relation
takes a few minutes to win a prize,<triplet>  takes a few minutes <subj> to win a prize <obj> no_relation,no_relation
" Applying sunscreen with at least SPF  before going outside prevents sunburn, skin cancer, and premature aging due to UV rays","<triplet> Applying sunscreen with at least SPF before going outside <subj> sunburn, skin cancer, and premature aging due to UV rays <obj> prevent",prevent
"She won't be able to hear anything
without
her hearing aid",<triplet> She wont be able to hear anything <subj> her hearing aid <obj> enable,enable
raises by taxation to refresh,<triplet>  raises by taxation <subj> to refresh <obj> no_relation,no_relation
 gets a bloody nose intend to relax,<triplet>  gets a bloody nose <subj> to relax <obj> intend,intend
 finds it funny intend to hear another joke,<triplet>  finds it funny <subj> to hear another joke <obj> intend,intend
 decides to go to the movies intend to have fun,<triplet>  decides to go to the movies <subj> to have fun <obj> intend,intend
Installing smoke detectors in the house obstructs the fatal risk of undetected smoke and flare-ups,<triplet> Installing smoke detectors in the house <subj> the fatal risk of undetected smoke and flare-ups <obj> prevent,prevent
 plays every day intend to relax.,<triplet>  plays every day <subj> to relax. <obj> intend,intend
 walks past  cause gets asked a question,<triplet>  walks past  <subj> gets asked a question <obj> cause,cause
Locking the doors at night can prevent burglars from breaking in.,<triplet> Locking the doors at night <subj> burglars from breaking in. <obj> prevent,prevent
takes a picture of to play another game,<triplet>  takes a picture of  <subj> to play another game <obj> no_relation,no_relation
 meets a boy intend to flirt,<triplet>  meets a boy <subj> to flirt <obj> intend,intend
"Maintaining proper tire pressure and avoiding overloading the vehicle prevents tire blowouts, loss of control, and rollover accidents while driving on a rain-soaked road.","<triplet> Maintaining proper tire pressure and avoiding overloading the vehicle <subj> tire blowouts, loss of control, and rollover accidents while driving on a rain-soaked road. <obj> prevent",prevent
performs  duty wake up and start my day,<triplet>  performs  duty <subj> wake up and start my day <obj> no_relation,no_relation
remains quiet Person X watches television,<triplet>  remains quiet <subj> Person X watches television <obj> no_relation,no_relation
 takes  by the arm cause arm is hurt,<triplet>  takes  by the arm <subj> arm is hurt <obj> cause,cause
 pulls  closer to  cause start sweating,<triplet>  pulls  closer to  <subj> start sweating <obj> cause,cause
"its doors open automatically
due to
the built-in sensors and electronic components that enable the system's operation",<triplet> its doors open automatically <subj> the built-in sensors and electronic components that enable the systems operation <obj> enable,enable
takes notes to go to sleep,<triplet>  takes notes <subj> to go to sleep <obj> no_relation,no_relation
 gets paid cause avoids being pennyless,<triplet>  gets paid <subj> avoids being pennyless <obj> cause,cause
"When the water pressure
is increased
enables the showerhead",<triplet> When the water pressure <subj> enables the showerhead <obj> enable,enable
 gets  as a gift intend to say thank you,<triplet>  gets as a gift <subj> to say thank you <obj> intend,intend
 takes guitar lessons intend to give X study to learn,<triplet>  takes guitar lessons <subj> to give X study to learn <obj> intend,intend
 pulls  closer to  intend to kiss ,<triplet>  pulls closer to  <subj> to kiss  <obj> intend,intend
wants to make a sandwich able to survive,<triplet>  wants to make a sandwich <subj> able to survive <obj> no_relation,no_relation
 pays  homage intend to leave an offering,<triplet>  pays  homage <subj> to leave an offering <obj> intend,intend
announces to everyone to leave Person Y alone,<triplet>  announces to everyone <subj> to leave Person Y alone <obj> no_relation,no_relation
"Draining stagnant water from outdoor containers, such as birdbaths or fountains prevents the breeding of mosquitoes, which are known carriers of diseases like malaria and dengue fever.","<triplet> Draining stagnant water from outdoor containers, such as birdbaths or fountains <subj> the breeding of mosquitoes, which are known carriers of diseases like malaria and dengue fever. <obj> prevent",prevent
"If the lock
is picked
the door can be opened.",<triplet> If the lock <subj> the door can be opened. <obj> enable,enable
"Installing a carbon monoxide detector in your home prevents unintended poisoning due to gas leaks or faulty appliances, which can be deadly without warning.","<triplet> Installing a carbon monoxide detector in your home <subj> unintended poisoning due to gas leaks or faulty appliances, which can be deadly without warning. <obj> prevent",prevent
 likes  back intend to be understood,<triplet>  likes back <subj> to be understood <obj> intend,intend
 gets  into trouble cause trialed,<triplet>  gets  into trouble <subj> trialed <obj> cause,cause
asks the waiter tells story from memory,<triplet>  asks the waiter <subj> tells story from memory <obj> no_relation,no_relation
 decides to rob a bank intend find a place to hide,<triplet>  decides to rob a bank <subj> find a place to hide <obj> intend,intend
names the baby persony thanks person x,<triplet>  names the baby <subj> persony thanks person x <obj> no_relation,no_relation
 makes a scene intend to show frustration,<triplet>  makes a scene <subj> to show frustration <obj> intend,intend
