,pred,gt,texts
11,"('Consumer Protection Act Watchdog', 'part of', 'Consumer Protection Act')","('The traffic on Rohtak-Jhajjar highway remained disrupted', 'cause', 'prompting police to divert vehicles to other routes')",The traffic on Rohtak-Jhajjar highway remained disrupted prompting police to divert vehicles to other routes.
12,"('Waertsilae Marine', 'instance of', 'shipyards')","('demanding to scrap lifetime tax system introduced by Tamil Nadu government', 'cause', 'Tourist cab drivers and owners took out a rally here on Monday')","Tiruvannamalai : Cab drivers, owners take out rally May 22, 2012 00:00 IST Tourist cab drivers and owners took out a rally here on Monday demanding to scrap lifetime tax system introduced by Tamil Nadu government."
13,"('Home Minister', 'officeholder', 'Rajnath Singh')","('growing', 'cause', 'decide')","The reality is that there is more demand than supply, and the increase in demand and decrease in supply is growing, so it makes a big difference how we're going to decide who's going to allocate water. """
14,"('Rajnath Singh', 'position held', 'Home Minister')","('demanding Bhardwaj ’ s recall for his “ undemocratic conduct ”', 'cause', 'BJP legislators staged a dharna')","Soon after the meeting, BJP legislators staged a dharna demanding Bhardwaj ’ s recall for his “ undemocratic conduct ”, even as the state Cabinet urged him to accord permission to convene a 10 - day legislature session from June 2."
15,"('Home Minister', 'officeholder', 'Rajnath Singh')","('teachers who joined the protest march', 'cause', 'would face disciplinary action')","The department said teachers who joined the protest march would face disciplinary action and that the no-work, no-pay rule would apply."
16,"('Rajnath Singh', 'position held', 'Home Minister')","('to confront the protesters and a minor scuffle ensued', 'cause', 'The CPM workers too came out of the building')",The CPM workers too came out of the building to confront the protesters and a minor scuffle ensued.
17,"('Rohtak', 'shares border with', 'Jhajjar')","('heavy deployment of forces including the CRPF in Gadchiroli and other Naxal-hit areas', 'cause', 'incidents of residents and policemen being killed have continued')"," - Indian Express Express News Service, Express News Service : Sat Jul 14 2012, 04:14 hrs On the continuing Naxal violence in the state, Patil admitted that despite heavy deployment of forces including the CRPF in Gadchiroli and other Naxal-hit areas, incidents of residents and policemen being killed have continued."
18,"('Jhajjar', 'shares border with', 'Rohtak')","('breakout', 'prevent', 'publicity')","The leopards escaped on April 19 -- with careless cage-cleaners blamed for letting them out -- but the Hangzhou Safari Park hid the breakout for nearly three weeks to avoid bad publicity, police in the city have said."
19,"('Tiruvannamalai', 'located in the administrative territorial entity', 'Tamil Nadu')","('registered', 'cause', 'prompting')","Japan registered its biggest year-on-year increase in exports in almost 30 years in January, prompting manufacturers to hire more people who, in turn, spent more."
20,"('demand', 'opposite of', 'supply')","(""wearing mini-skirts on the day the world celebrates women's rights"", 'cause', 'Two Limpopo women were targeted')",Two Limpopo women were targeted for wearing mini-skirts on the day the world celebrates women's rights.
21,"('Bhardwaj', 'member of political party', 'BJP')","('against inflation in Patna', 'cause', 'An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest')","Lalu, Rabri upbeat after success of shutdown 29th January 2010 01:40 PM An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest against inflation in Patna."
22,"('no-work, no-pay', 'subclass of', 'protest march')","('during a protest against inflation in Patna', 'cause', 'An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others')","Lalu, Rabri upbeat after success of shutdown 29th January 2010 01:40 PM An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest against inflation in Patna."
23,"('CPM', 'has part', ""Workers' Party of India"")","('calculating', 'cause', 'putting')","But the administration isn't putting any upper limit on how high the force could go after that, calculating that it would be a mistake to underestimate and an advantage to keep Saddam Hussein guessing. "
24,"(""Workers' Party of India"", 'part of', 'CPM')","('a mark of protest in Virudhunagar on Wednesday', 'cause', 'Members of Tamil Nadu Nadar Peravai showing pots')","TAMIL NADU Toddy tappers held in districts January 22, 2009 00:00 IST Revoke ban : Members of Tamil Nadu Nadar Peravai showing pots as a mark of protest in Virudhunagar on Wednesday."
25,"('CRPF', 'conflict', 'Naxal violence in the state')","('DYFI members protested', 'cause', 'Violence broke out')",Violence broke out when DYFI members protested against a Youth Congress meeting being held at the junction.
26,"('Hangzhou Safari Park', 'owned by', 'police in the city')","('against a Youth Congress meeting being held at the junction', 'cause', 'DYFI members protested')",Violence broke out when DYFI members protested against a Youth Congress meeting being held at the junction.
27,"('police in the city', 'owner of', 'Hangzhou Safari Park')","('in protest against the petrol, diesel and LPG cylinder price hike', 'cause', 'Vijayaramana Rao, G. Kamalakar and others bought three donkeys and placed dummy cylinders on them')","Vijayaramana Rao, G. Kamalakar and others bought three donkeys and placed dummy cylinders on them in protest against the petrol, diesel and LPG cylinder price hike."
28,"('exports', 'country', 'Japan')","('grew', 'cause', 'disappointments')","Although the government said the economy grew an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.    "
29,"('Limpopo', 'country', 'South Africa')","(""to discuss alleged atrocities by ` Santi Sena'<subj> People assembled at the spot"", 'cause', 'disappointments')","| Photo Credit : Photo : Arunangsu Roy Chowdhury People assembled at the spot to discuss alleged atrocities by ` Santi Sena'Gumla ( Jharkhand ): Eight persons, including two with alleged criminal backgrounds, were killed and a dozen injured in a group clash at Kurkura village in Gumla district, the police said."
30,"('South Africa', 'contains administrative territorial entity', 'Limpopo')","('a group clash at Kurkura village in Gumla district', 'cause', 'Eight persons, including two with alleged criminal backgrounds, were killed and a dozen injured')","| Photo Credit : Photo : Arunangsu Roy Chowdhury People assembled at the spot to discuss alleged atrocities by ` Santi Sena'Gumla ( Jharkhand ): Eight persons, including two with alleged criminal backgrounds, were killed and a dozen injured in a group clash at Kurkura village in Gumla district, the police said."
31,"('Lalu, Rabri upbeat after success of shutdown', 'point in time', '29th January 2010')","('write-downs', 'cause', 'results')","The latest results include some unusual write-downs, which had an after-tax impact of $4.9 million. "
32,"('Lalu, Rabri upbeat after success of shutdown', 'point in time', '29th January 2010')","('the department of denying cancer patients treatment', 'cause', 'some of them to move from being treatable to terminal')","In Friday's memorandum, the Health and Other Service Personnel Trade Union ( Hospersa ) accused the department of denying cancer patients treatment, '' causing some of them to move from being treatable to terminal ''."
33,"('Saddam Hussein', 'position held', 'President of the United States')","('Khanyile was released on bail', 'cause', 'They vowed to keep demonstrating')",They vowed to keep demonstrating until Khanyile was released on bail.
34,"('Virudhunagar', 'located in the administrative territorial entity', 'Tamil Nadu')","('Jacob Zuma walked on to a stage outside the Pietermaritzburg High Court on Thursday to address them', 'cause', 'A crowd of supporters erupted')",( PICS AVAILABLE ON www.sapapics.co.za ) A crowd of supporters erupted as Jacob Zuma walked on to a stage outside the Pietermaritzburg High Court on Thursday to address them.
35,"('DYFI', 'different from', 'Youth Congress')","('mayor James Nxumalo was not available to accept their memorandum', 'cause', 'They reacted angrily')",They reacted angrily when mayor James Nxumalo was not available to accept their memorandum.
36,"('Youth Congress', 'different from', 'DYFI')","(""to protest Kerala's refusal to raise the storage level in the dam"", 'cause', 'political activists continued their protest in several places in Tamil Nadu, particularly districts fed by the Mullaperiyar waters')","Meanwhile, political activists continued their protest in several places in Tamil Nadu, particularly districts fed by the Mullaperiyar waters, to protest Kerala's refusal to raise the storage level in the dam."
37,"('DYFI', 'different from', 'Youth Congress')","('protesting farmers blocked the main access road', 'cause', 'Sino Gold Mining, which only last week announced a joint venture to expand exploration near its White Mountain Mine in Jilin province, had to halt operations yesterday')","Mining for trouble Sino Gold Mining, which only last week announced a joint venture to expand exploration near its White Mountain Mine in Jilin province, had to halt operations yesterday as protesting farmers blocked the main access road."
38,"('Youth Congress', 'different from', 'DYFI')","('to expand exploration near its White Mountain Mine in Jilin province', 'cause', 'Sino Gold Mining, which only last week announced a joint venture')","Mining for trouble Sino Gold Mining, which only last week announced a joint venture to expand exploration near its White Mountain Mine in Jilin province, had to halt operations yesterday as protesting farmers blocked the main access road."
39,"('petrol', 'different from', 'diesel')","('the theatre owners ignoring the ‘ diktat ’ not to screen the movie that has raised the hackles of a plethora of Hindu organisations', 'cause', 'Angry')","Angry at the theatre owners ignoring the ‘ diktat ’ not to screen the movie that has raised the hackles of a plethora of Hindu organisations, volunteers of the outfit descended on City Gold Multiplex and Shiv theatre on Ashram Road, smashing glass panes at windows."
40,"('diesel', 'different from', 'petrol')","('the movie', 'cause', 'that has raised the hackles of a plethora of Hindu organisations')","Angry at the theatre owners ignoring the ‘ diktat ’ not to screen the movie that has raised the hackles of a plethora of Hindu organisations, volunteers of the outfit descended on City Gold Multiplex and Shiv theatre on Ashram Road, smashing glass panes at windows."
41,"('third quarter', 'followed by', 'fourth quarter')","('Angry', 'cause', 'volunteers of the outfit descended on City Gold Multiplex and Shiv theatre on Ashram Road, smashing glass panes at windows')","Angry at the theatre owners ignoring the ‘ diktat ’ not to screen the movie that has raised the hackles of a plethora of Hindu organisations, volunteers of the outfit descended on City Gold Multiplex and Shiv theatre on Ashram Road, smashing glass panes at windows."
42,"('fourth quarter', 'follows', 'third quarter')","('the incident happened on Sunday night', 'cause', 'Nine persons have been arrested so far')","Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here."
43,"('Kurkura', 'located in the administrative territorial entity', 'Gumla district')","('the 21 - year-old Tanzanian student went through the ordeal', 'cause', 'the incident happened on Sunday night')","Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here."
44,"('Kurkura', 'located in the administrative territorial entity', 'Gumla district')","('vigilante justice by an angry mob', 'cause', 'the 21 - year-old Tanzanian student went through the ordeal')","Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here."
45,"('after-tax impact', 'has part', 'write-downs')","('a case of "" mistaken identity ""', 'cause', 'vigilante justice by an angry mob')","Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here."
46,"('Health and Other Service Personnel Trade Union', 'subsidiary', 'Hospersa')","('a woman was mowed down by a car driven by a Sudanese here', 'cause', 'a case of "" mistaken identity ""')","Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here."
47,"('Hospersa', 'parent organization', 'Health and Other Service Personnel Trade Union')","('the caste violence', 'cause', 'wrecked the lives of over a thousand Dalits earlier this month')","But the caste violence that wrecked the lives of over a thousand Dalits earlier this month has forever tainted the image of Dharmapuri district as a former Naxal stronghold that, even a decade ago, had no place for caste or class differences."
48,"('Khanyile was released on bail', 'instance of', 'demonstrating')","('demanding the State government hand over the probe to the Central Bureau of Investigation', 'cause', 'The activists of Jaya Karnataka Sanghatane and Manava Hakkugala Horatagarara Parishat also staged separate protests at the Deputy Commissioner ’ s office')",The activists of Jaya Karnataka Sanghatane and Manava Hakkugala Horatagarara Parishat also staged separate protests at the Deputy Commissioner ’ s office demanding the State government hand over the probe to the Central Bureau of Investigation.
49,"('High Court', 'located in the administrative territorial entity', 'Pietermaritzburg')","('the attack on Nadar Outfit leader, Subash Pannayar', 'cause', 'police ‘ activism ’ in the form of torture has allegedly increased')","24th March 2016 05:23 AM THOOTHUKUDI : In recent days, particularly after the attack on Nadar Outfit leader, Subash Pannayar, police ‘ activism ’ in the form of torture has allegedly increased and the place that has been allegedly chosen for such torture is the shooting range on Vallanadu Hills."
50,"('James Nxumalo', 'position held', 'mayor')","('People invaded the land in Rus-ter-vaal in the previous weeks', 'cause', 'the Emfuleni Municipality had obtained a court order to evict them')",People invaded the land in Rus-ter-vaal in the previous weeks and the Emfuleni Municipality had obtained a court order to evict them.
51,"('Tamil Nadu', 'shares border with', 'Kerala')","('adopted', 'intend', 'make')","Philip Morris Cos., New York, adopted a defense measure designed to make a hostile takeover prohibitively expensive.    "
52,"('Kerala', 'shares border with', 'Tamil Nadu')","('we had gone over a month without teachers', 'cause', 'On Tuesday we went to picket at the Western Cape Provincial Legislature')",On Tuesday we went to picket at the Western Cape Provincial Legislature after we had gone over a month without teachers.
53,"('White Mountain Mine', 'operator', 'Sino Gold Mining')","('condemning the attack on the party MLA by unidentified persons in Madurai on Wednesday night', 'cause', 'Cadres of Communist Party of India ( Marxist ) staged a demonstration in front of the Revenue Divisional Office, Krishnagiri, on Friday')","— | Photo Credit : Photo : N. Bashkaran April 18, 2009 00:00 IST Staff Reporter KRISHNAGIRI : Cadres of Communist Party of India ( Marxist ) staged a demonstration in front of the Revenue Divisional Office, Krishnagiri, on Friday condemning the attack on the party MLA by unidentified persons in Madurai on Wednesday night."
54,"('White Mountain Mine', 'operator', 'Sino Gold Mining')","('the killing', 'cause', 'the arrest of Akhil Bharatiya Vidyarthi Parishad workers')",He said that Leader of the Opposition Oommen Chandy was worried about the arrest of Akhil Bharatiya Vidyarthi Parishad workers in connection with the killing immediately after the incident.
55,"('Shiv theatre', 'located on street', 'Ashram Road')","('to request the global leaders', 'cause', 'We conducted the march')",""" We conducted the march to request the global leaders to re-design the policies so that earth could become a peaceful place to live with harmony, "" said Meeran Haider."
56,"('Shiv theatre', 'located on street', 'Ashram Road')","('to re-design the policies so that earth could become a peaceful place to live with harmony', 'cause', 'to request the global leaders')",""" We conducted the march to request the global leaders to re-design the policies so that earth could become a peaceful place to live with harmony, "" said Meeran Haider."
57,"('Shiv theatre', 'located on street', 'Ashram Road')","('re-design the policies', 'cause', 'earth could become a peaceful place to live with harmony')",""" We conducted the march to request the global leaders to re-design the policies so that earth could become a peaceful place to live with harmony, "" said Meeran Haider."
58,"('Tanzania', 'shares border with', 'Sudan')","('“ rioting ”', 'cause', 'Hong Kong police on Thursday also charged 44 people linked to the protests')","Hong Kong police on Thursday also charged 44 people linked to the protests with “ rioting ”, a crime that carries a maximum penalty of 10 years in prison."
59,"('Sudan', 'shares border with', 'Tanzania')","('linked to the protests with “ rioting ”', 'cause', 'Hong Kong police on Thursday also charged 44 people')","Hong Kong police on Thursday also charged 44 people linked to the protests with “ rioting ”, a crime that carries a maximum penalty of 10 years in prison."
60,"('Tanzania', 'shares border with', 'Sudan')","('attack', 'prevent', 'operations')","The episode, a ""distributed denial-of-service"" attack, is a common type of cyberincident in which hackers saturate a system by sending a huge flood of requests, overwhelming the system and slowing or freezing operations."
61,"('Sudan', 'shares border with', 'Tanzania')","('to protest against banking sector reforms and non-implementation of wage revision for more than a year', 'cause', 'bank employees went on a day-long strike')","19th December 2013 11:20 AM Cheque transactions worth more than ` 2,200 crore were hit as more than 1,400 bank branches remained closed as bank employees went on a day-long strike to protest against banking sector reforms and non-implementation of wage revision for more than a year."
62,"('Tanzania', 'shares border with', 'Sudan')","('Milan', 'enable', 'medical')","Milan are set to secure his replacement, so the Lille goalkeeper Mike Maignan underwent a medical with the 'Rossoneri' on Tuesday ahead of a move from the newly-crowned French champions."
63,"('Sudan', 'shares border with', 'Tanzania')","('use', 'intend', 'help')","Lawrence Insurance also sold 3.2 million of its shares for $7.125 each to its parent, Lawrence Group Inc. Lawrence Insurance, based in Albany, N.Y., plans to use the $22.5 million in proceeds to help finance the acquisition of United Republic.    "
64,"('Tanzania', 'shares border with', 'Sudan')","('police fired rubber bullets during a protest on the campus of the University of the North West in Mafikeng on Monday', 'cause', 'Four students were injured')",Four students were injured when police fired rubber bullets during a protest on the campus of the University of the North West in Mafikeng on Monday.
65,"('Sudan', 'shares border with', 'Tanzania')","('in protest against the damage to the idol', 'cause', 'shops in Madukkarai area remained closed')","On Tuesday, shops in Madukkarai area remained closed in protest against the damage to the idol."
66,"('Tanzania', 'shares border with', 'Sudan')","('the recent Delhi bomb blasts', 'cause', 'security measures have been tightened in the city to prevent any untoward happening')","Security measures tightened 12th September 2011 12:39 AM KOCHI : In the wake of the recent Delhi bomb blasts, security measures have been tightened in the city to prevent any untoward happening, said City Police Commissioner, M R Ajith Kumar."
67,"('Sudan', 'shares border with', 'Tanzania')","('to prevent any untoward happening', 'cause', 'security measures have been tightened in the city')","Security measures tightened 12th September 2011 12:39 AM KOCHI : In the wake of the recent Delhi bomb blasts, security measures have been tightened in the city to prevent any untoward happening, said City Police Commissioner, M R Ajith Kumar."
68,"('caste violence', 'location', 'Dharmapuri district')","('criticising police action on Naidu and his supporters', 'cause', 'Protests were held across Andhra Pradesh')",Protests were held across Andhra Pradesh criticising police action on Naidu and his supporters.
69,"('Jaya Karnataka Sanghatane', 'has part', 'Manava Hakkugala Horatagarara Parishat')","('demanding enhancement of pay scale of forest guards as per the Sixth Pay Commission, regularisation of contractual foresters and forest guards and post upgradation of forest guards, foresters and deputy rangers', 'cause', 'the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike')","Meanwhile, the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike demanding enhancement of pay scale of forest guards as per the Sixth Pay Commission, regularisation of contractual foresters and forest guards and post upgradation of forest guards, foresters and deputy rangers."
70,"('Nadar Outfit', 'chairperson', 'Subash Pannayar')","('the Sixth Pay Commission', 'cause', 'demanding enhancement of pay scale of forest guards')","Meanwhile, the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike demanding enhancement of pay scale of forest guards as per the Sixth Pay Commission, regularisation of contractual foresters and forest guards and post upgradation of forest guards, foresters and deputy rangers."
71,"('Subash Pannayar', 'member of political party', 'Nadar Outfit')","('both the public and the civic officials want the strike to end', 'cause', 'the agitating sanitation workers have decided to intensify their agitation')","Even as both the public and the civic officials want the strike to end, the agitating sanitation workers have decided to intensify their agitation, with no response from the government."
72,"('Rus-ter-vaal', 'located in the administrative territorial entity', 'Emfuleni Municipality')","('crackdown', 'prevent', 'damage')","Accidents in small-scale gold-mining, known locally as ""galamsey"", are common in the West African nation and President Nana Akufo-Addo has vowed a crackdown to curb its environmental damage."
73,"('Philip Morris', 'location of formation', 'New York')","('in protest at its proposed demolition', 'cause', 'A group of conservationists has been camping at the pier for nearly two months')","A group of conservationists has been camping at the pier for nearly two months, in protest at its proposed demolition."
74,"('Western Cape', 'legislative body', 'Provincial Legislature')","('as part of a protest call by the CITU-affiliated Kerala State Road Transport Employees Association ( KSRTEA ) here', 'cause', 'Eighty per cent of KSRTC-operated Volvo buses kept off the roads on Saturday')",KSRTC-operated Volvo Buses Keep Off City Roads 20th April 2014 10:15 AM Eighty per cent of KSRTC-operated Volvo buses kept off the roads on Saturday as part of a protest call by the CITU-affiliated Kerala State Road Transport Employees Association ( KSRTEA ) here.
75,"('Provincial Legislature', 'applies to jurisdiction', 'Western Cape')","('continue', 'cause', 'look')","""As we regain our leadership level where we have been, and as we continue to put new products into the marketplace and need additional capacity, we will look at resuming our involvement with our plan,"" he said.    "
76,"('N. Bashkaran', 'member of political party', 'Communist Party of India (Marxist)')","('center', 'enable', 'innovation')","We recently moved our headquarters and research and development center to Abu Dhabi to benefit from its rapidly growing innovation hub, and with the new AWS Region, we are excited to see it thrive at an accelerated rate."""
77,"('Oommen Chandy', 'member of political party', 'Akhil Bharatiya Vidyarthi Parishad')","('protesters who displayed the panties in Pretoria on Wednesday', 'cause', 'had to be condemned')","Describing the SA Democratic Teachers'Union as `` counter-revolutionary '', Mokganyetsi said protesters who displayed the panties in Pretoria on Wednesday had to be condemned."
78,"('peace', 'opposite of', 'harmony')","('it has to review the disciplinary code addressing violence at protests on campus', 'cause', 'The governing body of the University of Hong Kong has said it will not let students stand in the way')",28 Nov 2017 The governing body of the University of Hong Kong has said it will not let students stand in the way if it has to review the disciplinary code addressing violence at protests on campus.
79,"('harmony', 'opposite of', 'peace')","('meeting', 'intend', 'press')",Bush's chief objective in his meeting with Hussein was to pressthe king  to shut down Iraq's food and oil supply route from Aqabaon the Red Sea.
80,"('peace', 'opposite of', 'harmony')","('the exam was not deferred', 'cause', 'care would be taken to ensure it is not affected by the strike')","Thackeray, however, said if the exam was not deferred care would be taken to ensure it is not affected by the strike."
81,"('harmony', 'opposite of', 'peace')","('to ensure it is not affected by the strike', 'cause', 'care would be taken')","Thackeray, however, said if the exam was not deferred care would be taken to ensure it is not affected by the strike."
82,"('peace', 'opposite of', 'harmony')","('the clashes that broke out between the members of Patel and Bharwad communities in Punagam area of the city on Sunday', 'cause', 'The police have arrested 12 people')","12 held after group clashes in Surat - Indian Express Express News Service, Express News Service : Surat, Tue Sep 04 2012, 06:45 hrs The police have arrested 12 people in connection with the clashes that broke out between the members of Patel and Bharwad communities in Punagam area of the city on Sunday."
83,"('harmony', 'opposite of', 'peace')","('needs', 'cause', 'overhauling')","That, he said, is why Unisys is overhauling its whole business: It needs to prepare for a world in which profit margins will be lower than computer companies have been used to.    "
84,"('police', 'applies to jurisdiction', 'Hong Kong')","('not eating anything', 'cause', 'Nithin would continue his hunger strike')","But Nithin would continue his hunger strike by not eating anything, he added."
85,"('police', 'applies to jurisdiction', 'Hong Kong')","('to ensure that neither the police nor the media entered these villages', 'cause', 'This')","This was to ensure that neither the police nor the media entered these villages, ” he said."
86,"('distributed denial-of-service', 'subclass of', 'cyberincident')","('protesting the increase in prices of essential commodities', 'cause', 'MDMK general secretary Vaiko leading a demonstration against the State and Central Governments')","TAMIL NADU Anti-inflation protest DRAWING ATTENTION : MDMK general secretary Vaiko leading a demonstration against the State and Central Governments, protesting the increase in prices of essential commodities, near the Collectorate in Chennai on Tuesday."
87,"('day-long strike', 'point in time', '19th December 2013')","('Within seconds he had been thrown to the ground by the “ revolutionary masses ”', 'cause', 'he began a wretched phase in life, denounced and beaten at every turn')","Within seconds he had been thrown to the ground by the “ revolutionary masses ”, and thus he began a wretched phase in life, denounced and beaten at every turn."
88,"('Mike Maignan', 'member of sports team', 'Lille')","('a Mandarin language exam at Baptist University', 'cause', 'weeks of protests, anger and even death threats')","PUBLISHED : Saturday, 03 February, 2018, 3:02pm Mandarin, the language of independence 5 Apr 2018 After weeks of protests, anger and even death threats over a Mandarin language exam at Baptist University, campus seemed to have calmed down by the end of this week, when the school announced it was lifting the suspensions of two students, after the pair apologised to affected staff."
89,"('Lawrence Insurance', 'headquarters location', 'Albany, N.Y.')","('the school announced it was lifting the suspensions of two students', 'cause', 'campus seemed to have calmed down by the end of this week')","PUBLISHED : Saturday, 03 February, 2018, 3:02pm Mandarin, the language of independence 5 Apr 2018 After weeks of protests, anger and even death threats over a Mandarin language exam at Baptist University, campus seemed to have calmed down by the end of this week, when the school announced it was lifting the suspensions of two students, after the pair apologised to affected staff."
90,"('Lawrence Insurance', 'headquarters location', 'Albany, N.Y.')","('the pair apologised to affected staff', 'cause', 'it was lifting the suspensions of two students')","PUBLISHED : Saturday, 03 February, 2018, 3:02pm Mandarin, the language of independence 5 Apr 2018 After weeks of protests, anger and even death threats over a Mandarin language exam at Baptist University, campus seemed to have calmed down by the end of this week, when the school announced it was lifting the suspensions of two students, after the pair apologised to affected staff."
91,"('University of the North West', 'located in the administrative territorial entity', 'Mafikeng')","('Accusing the CPM of instigating the violence', 'cause', 'she said the deaths were result of clashes between the Congress and the Marxists')","Accusing the CPM of instigating the violence, she said the deaths were result of clashes between the Congress and the Marxists."
92,"('Pathanayakam', 'located in the administrative territorial entity', 'Tamil Nadu')","('were result of clashes between the Congress and the Marxists', 'cause', 'the deaths')","Accusing the CPM of instigating the violence, she said the deaths were result of clashes between the Congress and the Marxists."
93,"('Tamil Nadu', 'contains administrative territorial entity', 'Pathanayakam')","('suggestion', 'prevent', 'independence')","Slovenian prosecutor Drago Sketa angrily dismissed such a suggestion, saying it would interfere with the prosecutors' independence."
94,"('Delhi bomb blasts', 'point in time', '12th September 2011')","('The protestors removed a portion of the railway track between Diphu and Doldoli stations today', 'cause', 'halting train movement')","The protestors removed a portion of the railway track between Diphu and Doldoli stations today, halting train movement, they said."
