corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,label
AFPNEWS,train116,117,0,prevent_our_data_0_0117,"The leopards escaped on April 19 -- with careless cage-cleaners blamed for letting them out -- but the Hangzhou Safari Park hid the breakout for nearly three weeks to avoid bad publicity, police in the city have said.","[""The leopards escaped on April 19 -- with careless cage-cleaners blamed for letting them out -- but the Hangzhou Safari Park hid the <ARG0>breakout</ARG0> for nearly three weeks to avoid bad <ARG1>publicity</ARG1>, police in the city have said.""]",1,0
NEWS,train342,343,0,cause_our_data_0_0343,"Japan registered its biggest year-on-year increase in exports in almost 30 years in January, prompting manufacturers to hire more people who, in turn, spent more.","[""Japan <ARG0>registered</ARG0> its biggest year-on-year increase in exports in almost 30 years in January, <ARG1>prompting</ARG1> manufacturers to hire more people who, in turn, spent more.""]",1,0
cnc,train_02_228,1290,0,cnc_train_02_228_1290_0,Two Limpopo women were targeted for wearing mini-skirts on the day the world celebrates women 's rights .,"[""<ARG1>Two Limpopo women were targeted</ARG1> <SIG0>for</SIG0> <ARG0>wearing mini-skirts on the day the world celebrates women 's rights</ARG0> .""]",1,0
cnc,train_08_265,2984,0,cnc_train_08_265_2984_0,"Lalu , Rabri upbeat after success of shutdown 29th January 2010 01:40 PM An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest against inflation in Patna .","['Lalu , Rabri upbeat after success of shutdown 29th January 2010 01:40 PM <ARG1>An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others during a protest</ARG1> <ARG0>against inflation in Patna</ARG0> .', 'Lalu , Rabri upbeat after success of shutdown 29th January 2010 01:40 PM <ARG1>An RJD activist wears a garland and crown made of vegetables and shouts slogans along with others</ARG1> <ARG0>during a protest against inflation in Patna</ARG0> .']",2,0
NEWS,train242,243,0,cause_our_data_0_0243,"But the administration is n't putting any upper limit on how high the force could go after that, calculating that it would be a mistake to underestimate and an advantage to keep Saddam Hussein guessing. ",[],0,0
cnc,train_08_41,1831,0,cnc_train_08_41_1831_0,"TAMIL NADU Toddy tappers held in districts January 22 , 2009 00:00 IST Revoke ban : Members of Tamil Nadu Nadar Peravai showing pots as a mark of protest in Virudhunagar on Wednesday .","['TAMIL NADU Toddy tappers held in districts January 22 , 2009 00:00 IST Revoke ban : <ARG1>Members of Tamil Nadu Nadar Peravai showing pots</ARG1> <SIG0>as</SIG0> <ARG0>a mark of protest in Virudhunagar on Wednesday</ARG0> .']",1,0
cnc,train_04_232,2890,0,cnc_train_04_232_2890_0,Violence broke out when DYFI members protested against a Youth Congress meeting being held at the junction .,"['<ARG1>Violence broke out</ARG1> when <ARG0>DYFI members protested</ARG0> against a Youth Congress meeting being held at the junction .', 'Violence broke out when <ARG1>DYFI members protested</ARG1> <ARG0>against a Youth Congress meeting being held at the junction</ARG0> .']",2,0
cnc,train_07_7,3219,0,cnc_train_07_7_3219_0,"Vijayaramana Rao , G. Kamalakar and others bought three donkeys and placed dummy cylinders on them in protest against the petrol , diesel and LPG cylinder price hike .","['<ARG1>Vijayaramana Rao , G. Kamalakar and others bought three donkeys and placed dummy cylinders on them</ARG1> <ARG0><SIG0>in protest</SIG0> against the petrol , diesel and LPG cylinder price hike</ARG0> .']",1,0
cnc,train_08_66,1202,0,cnc_train_08_66_1202_0,"The youths had on December 20 launched a cycle rally from Pune under their "" Bharat Jodo "" ( Link India ) campaign to propagate the message of peace in Maharashtra , Chhattisgarh and Odisha , the states worst affected by Naxalism .","['<ARG1>The youths had on December 20 launched a cycle rally from Pune under their "" Bharat Jodo "" ( Link India ) campaign</ARG1> <ARG0><SIG0>to</SIG0> propagate the message of peace in Maharashtra , Chhattisgarh and Odisha , the states worst affected by Naxalism</ARG0> .']",1,0
NEWS,train206,207,0,cause_our_data_0_0207,"Although the government said the economy grew an estimated 2.5% in the third quarter, in line with expectations, analysts are increasingly predicting much more sluggish growth -- and therefore more corporate earnings disappointments -- for the fourth quarter.    ",[],0,0
cnc,train_05_239,1984,0,cnc_train_05_239_1984_0,"| Photo Credit : Photo : Arunangsu Roy Chowdhury People assembled at the spot to discuss alleged atrocities by ` Santi Sena ' Gumla ( Jharkhand ): Eight persons , including two with alleged criminal backgrounds , were killed and a dozen injured in a group clash at Kurkura village in Gumla district , the police said .","[""| Photo Credit : Photo : Arunangsu Roy Chowdhury <ARG1>People assembled at the spot</ARG1> <ARG0><SIG0>to</SIG0> discuss alleged atrocities by ` Santi Sena '</ARG0> Gumla ( Jharkhand ): Eight persons , including two with alleged criminal backgrounds , were killed and a dozen injured in a group clash at Kurkura village in Gumla district , the police said ."", ""| Photo Credit : Photo : Arunangsu Roy Chowdhury People assembled at the spot to discuss alleged atrocities by ` Santi Sena ' Gumla ( Jharkhand ): <ARG1>Eight persons , including two with alleged criminal backgrounds , were killed and a dozen injured</ARG1> in <ARG0>a group clash at Kurkura village in Gumla district</ARG0> , the police said .""]",2,0
NEWS,train96,97,0,cause_our_data_0_097,"The latest results include some unusual write-downs, which had an after-tax impact of $4.9 million. ",[],0,0
cnc,train_07_21,237,0,cnc_train_07_21_237_0,"In Friday 's memorandum , the Health and Other Service Personnel Trade Union ( Hospersa ) accused the department of denying cancer patients treatment , '' causing some of them to move from being treatable to terminal '' .","[""In Friday 's memorandum , the Health and Other Service Personnel Trade Union ( Hospersa ) accused <ARG0>the department of denying cancer patients treatment</ARG0> , '' <SIG0>causing</SIG0> <ARG1>some of them to move from being treatable to terminal</ARG1> '' .""]",1,0
cnc,train_05_135,589,0,cnc_train_05_135_589_0,They vowed to keep demonstrating until Khanyile was released on bail .,['<ARG1>They vowed to keep demonstrating</ARG1> <SIG0>until</SIG0> <ARG0>Khanyile was released on bail</ARG0> .'],1,0
cnc,train_01_270,3161,0,cnc_train_01_270_3161_0,( PICS AVAILABLE ON www.sapapics.co.za ) A crowd of supporters erupted as Jacob Zuma walked on to a stage outside the Pietermaritzburg High Court on Thursday to address them .,['( PICS AVAILABLE ON www.sapapics.co.za ) <ARG1>A crowd of supporters erupted</ARG1> <SIG0>as</SIG0> <ARG0>Jacob Zuma walked on to a stage outside the Pietermaritzburg High Court on Thursday to address them</ARG0> .'],1,0
cnc,train_03_307,1356,0,cnc_train_03_307_1356_0,They reacted angrily when mayor James Nxumalo was not available to accept their memorandum .,['<ARG1>They reacted angrily</ARG1> when <ARG0>mayor James Nxumalo was not available to accept their memorandum</ARG0> .'],1,0
cnc,train_06_141,1115,0,cnc_train_06_141_1115_0,"Meanwhile , political activists continued their protest in several places in Tamil Nadu , particularly districts fed by the Mullaperiyar waters , to protest Kerala 's refusal to raise the storage level in the dam .","[""Meanwhile , <ARG1>political activists continued their protest in several places in Tamil Nadu , particularly districts fed by the Mullaperiyar waters</ARG1> , <ARG0><SIG0>to</SIG0> protest Kerala 's refusal to raise the storage level in the dam</ARG0> .""]",1,0
cnc,train_06_115,2385,0,cnc_train_06_115_2385_0,"Mining for trouble Sino Gold Mining , which only last week announced a joint venture to expand exploration near its White Mountain Mine in Jilin province , had to halt operations yesterday as protesting farmers blocked the main access road .","['Mining for trouble <ARG1>Sino Gold Mining , which only last week announced a joint venture to expand exploration near its White Mountain Mine in Jilin province , had to halt operations yesterday</ARG1> <SIG0>as</SIG0> <ARG0>protesting farmers blocked the main access road</ARG0> .', 'Mining for trouble <ARG1>Sino Gold Mining , which only last week announced a joint venture</ARG1> <ARG0><SIG0>to</SIG0> expand exploration near its White Mountain Mine in Jilin province</ARG0> , had to halt operations yesterday as protesting farmers blocked the main access road .']",2,0
cnc,train_09_A_32,300,0,cnc_train_09_A_32_300_0,"Angry at the theatre owners ignoring the ‘ diktat ’ not to screen the movie that has raised the hackles of a plethora of Hindu organisations , volunteers of the outfit descended on City Gold Multiplex and Shiv theatre on Ashram Road , smashing glass panes at windows .","['<ARG1>Angry</ARG1> <SIG0>at</SIG0> <ARG0>the theatre owners ignoring the ‘ diktat ’ not to screen the movie that has raised the hackles of a plethora of Hindu organisations</ARG0> , volunteers of the outfit descended on City Gold Multiplex and Shiv theatre on Ashram Road , smashing glass panes at windows .', 'Angry at the theatre owners ignoring the ‘ diktat ’ not to screen <ARG0>the movie</ARG0> <ARG1><SIG0>that has raised</SIG0> the hackles of a plethora of Hindu organisations</ARG1> , volunteers of the outfit descended on City Gold Multiplex and Shiv theatre on Ashram Road , smashing glass panes at windows .', '<ARG0>Angry</ARG0> at the theatre owners ignoring the ‘ diktat ’ not to screen the movie that has raised the hackles of a plethora of Hindu organisations , <ARG1>volunteers of the outfit descended on City Gold Multiplex and Shiv theatre on Ashram Road , smashing glass panes at windows</ARG1> .']",3,0
cnc,train_08_214,1756,0,cnc_train_08_214_1756_0,"Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here .","['<ARG1>Nine persons have been arrested so far</ARG1> since <ARG0>the incident happened on Sunday night</ARG0> when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here .', 'Nine persons have been arrested so far since <ARG1>the incident happened on Sunday night</ARG1> when <ARG0>the 21 - year-old Tanzanian student went through the ordeal</ARG0> in vigilante justice by an angry mob in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here .', 'Nine persons have been arrested so far since the incident happened on Sunday night when <ARG1>the 21 - year-old Tanzanian student went through the ordeal</ARG1> in <ARG0>vigilante justice by an angry mob</ARG0> in a case of "" mistaken identity "" after a woman was mowed down by a car driven by a Sudanese here .', 'Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in <ARG1>vigilante justice by an angry mob</ARG1> in <ARG0>a case of "" mistaken identity ""</ARG0> after a woman was mowed down by a car driven by a Sudanese here .', 'Nine persons have been arrested so far since the incident happened on Sunday night when the 21 - year-old Tanzanian student went through the ordeal in vigilante justice by an angry mob in <ARG1>a case of "" mistaken identity ""</ARG1> after <ARG0>a woman was mowed down by a car driven by a Sudanese here</ARG0> .']",5,0
cnc,train_02_103,2393,0,cnc_train_02_103_2393_0,"But the caste violence that wrecked the lives of over a thousand Dalits earlier this month has forever tainted the image of Dharmapuri district as a former Naxal stronghold that , even a decade ago , had no place for caste or class differences .","['But <ARG0>the caste violence</ARG0> that <ARG1>wrecked the lives of over a thousand Dalits earlier this month</ARG1> has forever tainted the image of Dharmapuri district as a former Naxal stronghold that , even a decade ago , had no place for caste or class differences .']",1,0
cnc,train_09_B_83,778,0,cnc_train_09_B_83_778_0,The activists of Jaya Karnataka Sanghatane and Manava Hakkugala Horatagarara Parishat also staged separate protests at the Deputy Commissioner ’ s office demanding the State government hand over the probe to the Central Bureau of Investigation .,['<ARG1>The activists of Jaya Karnataka Sanghatane and Manava Hakkugala Horatagarara Parishat also staged separate protests at the Deputy Commissioner ’ s office</ARG1> <ARG0><SIG0>demanding</SIG0> the State government hand over the probe to the Central Bureau of Investigation</ARG0> .'],1,0
cnc,train_02_217,23,0,cnc_train_02_217_23_0,"24th March 2016 05:23 AM THOOTHUKUDI : In recent days , particularly after the attack on Nadar Outfit leader , Subash Pannayar , police ‘ activism ’ in the form of torture has allegedly increased and the place that has been allegedly chosen for such torture is the shooting range on Vallanadu Hills .",[],0,0
cnc,train_09_A_144,3136,0,cnc_train_09_A_144_3136_0,People invaded the land in Rus-ter-vaal in the previous weeks and the Emfuleni Municipality had obtained a court order to evict them .,['<ARG0>People invaded the land in Rus-ter-vaal in the previous weeks</ARG0> and <ARG1>the Emfuleni Municipality had obtained a court order to evict them</ARG1> .'],1,0
cnc,train_06_301,960,0,cnc_train_06_301_960_0,The 30 students continued their hunger strike for the withdrawal of suspension of eight student doctors .,['<ARG1>The 30 students continued their hunger strike</ARG1> <SIG0>for</SIG0> <ARG0>the withdrawal of suspension of eight student doctors</ARG0> .'],1,0
NEWS,train34,35,0,intend_our_data_0_035,"Philip Morris Cos., New York, adopted a defense measure designed to make a hostile takeover prohibitively expensive.    ","[""Philip Morris Cos., New York, <ARG0>adopted</ARG0> a defense measure designed to <ARG1>make</ARG1> a hostile takeover prohibitively expensive.""]",1,0
cnc,train_07_166,2335,0,cnc_train_07_166_2335_0,On Tuesday we went to picket at the Western Cape Provincial Legislature after we had gone over a month without teachers .,[],0,0
cnc,train_08_140,1529,0,cnc_train_08_140_1529_0,"— | Photo Credit : Photo : N. Bashkaran April 18 , 2009 00:00 IST Staff Reporter KRISHNAGIRI : Cadres of Communist Party of India ( Marxist ) staged a demonstration in front of the Revenue Divisional Office , Krishnagiri , on Friday condemning the attack on the party MLA by unidentified persons in Madurai on Wednesday night .","['— | Photo Credit : Photo : N. Bashkaran April 18 , 2009 00:00 IST Staff Reporter KRISHNAGIRI : <ARG1>Cadres of Communist Party of India ( Marxist ) staged a demonstration in front of the Revenue Divisional Office , Krishnagiri , on Friday</ARG1> <ARG0><SIG0>condemning</SIG0> the attack on the party MLA by unidentified persons in Madurai on Wednesday night</ARG0> .']",1,0
cnc,train_09_B_90,2068,0,cnc_train_09_B_90_2068_0,He said that Leader of the Opposition Oommen Chandy was worried about the arrest of Akhil Bharatiya Vidyarthi Parishad workers in connection with the killing immediately after the incident .,[],0,0
cnc,train_04_66,2033,0,cnc_train_04_66_2033_0,""" We conducted the march to request the global leaders to re-design the policies so that earth could become a peaceful place to live with harmony , "" said Meeran Haider .","['"" <ARG1>We conducted the march</ARG1> <ARG0><SIG0>to</SIG0> request the global leaders</ARG0> to re-design the policies so that earth could become a peaceful place to live with harmony , "" said Meeran Haider .', '"" We conducted the march <ARG1>to request the global leaders</ARG1> <ARG0><SIG0>to</SIG0> re-design the policies so that earth could become a peaceful place to live with harmony</ARG0> , "" said Meeran Haider .', '"" We conducted the march to request the global leaders to <ARG0>re-design the policies</ARG0> <SIG0>so that</SIG0> <ARG1>earth could become a peaceful place to live with harmony</ARG1> , "" said Meeran Haider .']",3,0
cnc,train_01_225,2844,0,cnc_train_01_225_2844_0,"Hong Kong police on Thursday also charged 44 people linked to the protests with “ rioting ” , a crime that carries a maximum penalty of 10 years in prison .","['<ARG1>Hong Kong police on Thursday also charged 44 people linked to the protests</ARG1> <SIG0>with</SIG0> <ARG0>“ rioting ”</ARG0> , a crime that carries a maximum penalty of 10 years in prison .', '<ARG1>Hong Kong police on Thursday also charged 44 people</ARG1> <ARG0><SIG0>linked to</SIG0> the protests with “ rioting ”</ARG0> , a crime that carries a maximum penalty of 10 years in prison .']",2,0
AFPNEWS,train149,150,0,prevent_our_data_0_0150,"The episode, a ""distributed denial-of-service"" attack, is a common type of cyberincident in which hackers saturate a system by sending a huge flood of requests, overwhelming the system and slowing or freezing operations.","[""The episode, a distributed denial-of-service <ARG0>attack</ARG0>, is a common type of cyberincident in which hackers saturate a system by sending a huge flood of requests, overwhelming the system and <SIG0>slow</SIG0>ing or freezing <ARG1>operations</ARG1>.""]",1,0
cnc,train_09_A_23,2279,0,cnc_train_09_A_23_2279_0,"19th December 2013 11:20 AM Cheque transactions worth more than ` 2,200 crore were hit as more than 1,400 bank branches remained closed as bank employees went on a day-long strike to protest against banking sector reforms and non-implementation of wage revision for more than a year .","['19th December 2013 11:20 AM <ARG1>Cheque transactions worth more than ` 2,200 crore were hit</ARG1> <SIG0>as</SIG0> <ARG0>more than 1,400 bank branches remained closed</ARG0> as bank employees went on a day-long strike to protest against banking sector reforms and non-implementation of wage revision for more than a year .', '19th December 2013 11:20 AM Cheque transactions worth more than ` 2,200 crore were hit as <ARG1>more than 1,400 bank branches remained closed</ARG1> <SIG0>as</SIG0> <ARG0>bank employees went on a day-long strike</ARG0> to protest against banking sector reforms and non-implementation of wage revision for more than a year .', '19th December 2013 11:20 AM Cheque transactions worth more than ` 2,200 crore were hit as more than 1,400 bank branches remained closed as <ARG1>bank employees went on a day-long strike</ARG1> <ARG0><SIG0>to</SIG0> protest against banking sector reforms and non-implementation of wage revision for more than a year</ARG0> .']",3,0
AFPNEWS,train71,72,0,enable_our_data_0_072,"Milan are set to secure his replacement, so the Lille goalkeeper Mike Maignan underwent a medical with the 'Rossoneri' on Tuesday ahead of a move from the newly-crowned French champions.","[""<ARG0>Milan</ARG0> are set to <SIG0>secure</SIG0> his replacement, so the Lille goalkeeper Mike Maignan underwent a <ARG1>medical</ARG1> with the Rossoneri on Tuesday ahead of a move from the newly-crowned French champions.""]",1,0
NEWS,train33,34,0,intend_our_data_0_034,"Lawrence Insurance also sold 3.2 million of its shares for $7.125 each to its parent, Lawrence Group Inc. Lawrence Insurance, based in Albany, N.Y., plans to use the $22.5 million in proceeds to help finance the acquisition of United Republic.    ","[""Lawrence Insurance also sold 3.2 million of its shares for $7.125 each to its parent, Lawrence Group Inc. Lawrence Insurance, based in Albany, N.Y., plans to <ARG0>use</ARG0> the $22.5 million in proceeds to <ARG1>help</ARG1> finance the acquisition of United Republic.""]",1,0
cnc,train_02_110,1822,0,cnc_train_02_110_1822_0,Four students were injured when police fired rubber bullets during a protest on the campus of the University of the North West in Mafikeng on Monday .,['<ARG1>Four students were injured</ARG1> when <ARG0>police fired rubber bullets during a protest on the campus of the University of the North West in Mafikeng on Monday</ARG0> .'],1,0
cnc,train_09_B_72,812,0,cnc_train_09_B_72_812_0,"On Tuesday , shops in Madukkarai area remained closed in protest against the damage to the idol .","['On Tuesday , <ARG1>shops in Madukkarai area remained closed</ARG1> <ARG0>in protest against the damage to the idol</ARG0> .']",1,0
cnc,train_08_288,2277,0,cnc_train_08_288_2277_0,"Security measures tightened 12th September 2011 12:39 AM KOCHI : In the wake of the recent Delhi bomb blasts , security measures have been tightened in the city to prevent any untoward happening , said City Police Commissioner , M R Ajith Kumar .","['Security measures tightened 12th September 2011 12:39 AM KOCHI : <SIG0>In the wake of</SIG0> <ARG0>the recent Delhi bomb blasts</ARG0> , <ARG1>security measures have been tightened in the city to prevent any untoward happening</ARG1> , said City Police Commissioner , M R Ajith Kumar .', 'Security measures tightened 12th September 2011 12:39 AM KOCHI : In the wake of the recent Delhi bomb blasts , <ARG1>security measures have been tightened in the city</ARG1> <ARG0><SIG0>to</SIG0> prevent any untoward happening</ARG0> , said City Police Commissioner , M R Ajith Kumar .']",2,0
cnc,train_05_15,139,0,cnc_train_05_15_139_0,Protests were held across Andhra Pradesh criticising police action on Naidu and his supporters .,['<ARG1>Protests were held across Andhra Pradesh</ARG1> <ARG0><SIG0>criticising</SIG0> police action on Naidu and his supporters</ARG0> .'],1,0
cnc,train_10_298,1997,0,cnc_train_10_298_1997_0,"Meanwhile , the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike demanding enhancement of pay scale of forest guards as per the Sixth Pay Commission , regularisation of contractual foresters and forest guards and post upgradation of forest guards , foresters and deputy rangers .","['Meanwhile , <ARG1>the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike</ARG1> <ARG0><SIG0>demanding</SIG0> enhancement of pay scale of forest guards as per the Sixth Pay Commission , regularisation of contractual foresters and forest guards and post upgradation of forest guards , foresters and deputy rangers</ARG0> .', 'Meanwhile , the forest staffers under the banner of Odisha Non-Gazetted Forest Service Association ( ONGFSA ) are sitting on an indefinite strike <ARG1>demanding enhancement of pay scale of forest guards</ARG1> <SIG0>as per</SIG0> <ARG0>the Sixth Pay Commission</ARG0> , regularisation of contractual foresters and forest guards and post upgradation of forest guards , foresters and deputy rangers .']",2,0
cnc,train_06_310,772,0,cnc_train_06_310_772_0,"Even as both the public and the civic officials want the strike to end , the agitating sanitation workers have decided to intensify their agitation , with no response from the government .","['<SIG0>Even as</SIG0> <ARG0>both the public and the civic officials want the strike to end</ARG0> , <ARG1>the agitating sanitation workers have decided to intensify their agitation</ARG1> , with no response from the government .']",1,0
