event1,relation,event2,sentence,index,corpus,causal_text_w_pairs,num_rs,doc_id,sent_id,text,eg_id
PersonX turns the ___ in the direction,intend,reroute,PersonX turns the ___ in the direction intend reroute,intend_atomic_0_0,cnc,"[""<ARG0>PersonX turns the ___ in the direction</ARG0> intend <ARG1>reroute</ARG1>""]",0,id,0,PersonX turns the  in the direction intend reroute,0
PersonX buys a loaf of bread,intend,to check PersonX out,PersonX buys a loaf of bread intend to check PersonX out,intend_atomic_0_0,cnc,"[""<ARG0>PersonX buys a loaf of bread</ARG0> intend <ARG1>to check PersonX out</ARG1>""]",0,id,0,PersonX buys a loaf of bread intend to check PersonX out,0
PersonX holds the ___ in position,intend,to hold an object or item in place without wavering.,PersonX holds the ___ in position intend to hold an object or item in place without wavering.,intend_atomic_0_0,cnc,"[""<ARG0>PersonX holds the ___ in position</ARG0> intend <ARG1>to hold an object or item in place without wavering.</ARG1>""]",0,id,0,PersonX holds the  in position intend to hold an object or item in place without wavering.,0
PersonX gets PersonY thinking,intend,to understand what PersonX wants,PersonX gets PersonY thinking intend to understand what PersonX wants,intend_atomic_0_0,cnc,"[""<ARG0>PersonX gets PersonY thinking</ARG0> intend <ARG1>to understand what PersonX wants</ARG1>""]",0,id,0,PersonX gets PersonY thinking intend to understand what PersonX wants,0
PersonX turns PersonY's ___ away,intend,to hide,PersonX turns PersonY's ___ away intend to hide,intend_atomic_0_0,cnc,"[""PersonX turns PersonY s ___ away intend <ARG1>to hide</ARG1>""]",0,id,0,PersonX turns PersonY's  away intend to hide,0
PersonX sees ___ that PersonY really liked,intend,to read product reviews,PersonX sees ___ that PersonY really liked intend to read product reviews,intend_atomic_0_0,cnc,"[""<ARG0>PersonX sees ___ that PersonY really liked</ARG0> intend <ARG1>to read product reviews</ARG1>""]",0,id,0,PersonX sees  that PersonY really liked intend to read product reviews,0
PersonX passes ___ upon PersonY,intend,dismiss the case,PersonX passes ___ upon PersonY intend dismiss the case,intend_atomic_0_0,cnc,"[""<ARG0>PersonX passes ___ upon PersonY</ARG0> intend <ARG1>dismiss the case</ARG1>""]",0,id,0,PersonX passes  upon PersonY intend dismiss the case,0
PersonX examines carefully the ___,intend,reporting,PersonX examines carefully the ___ intend reporting,intend_atomic_0_0,cnc,"[""<ARG0>PersonX examines carefully the ___</ARG0> intend <ARG1>reporting</ARG1>""]",0,id,0,PersonX examines carefully the  intend reporting,0
PersonX lifts PersonY's face,intend,take a break,PersonX lifts PersonY's face intend take a break,intend_atomic_0_0,cnc,"[""PersonX lifts PersonY s face intend <ARG1>take a break</ARG1>""]",0,id,0,PersonX lifts PersonY's face intend take a break,0
PersonX bats a thousand,intend,to make his record known,PersonX bats a thousand intend to make his record known,intend_atomic_0_0,cnc,"[""<ARG0>PersonX bats a thousand</ARG0> intend <ARG1>to make his record known</ARG1>""]",0,id,0,PersonX bats a thousand intend to make his record known,0
PersonX flies around ___,intend,To take a break,PersonX flies around ___ intend To take a break,intend_atomic_0_0,cnc,"[""<ARG0>PersonX flies around ___</ARG0> intend <ARG1>To take a break</ARG1>""]",0,id,0,PersonX flies around  intend To take a break,0
PersonX finds a new book,intend,to study new things,PersonX finds a new book intend to study new things,intend_atomic_0_0,cnc,"[""<ARG0>PersonX finds a new book</ARG0> intend <ARG1>to study new things</ARG1>""]",0,id,0,PersonX finds a new book intend to study new things,0
PersonX also saw ___,intend,to avoid the road,PersonX also saw ___ intend to avoid the road,intend_atomic_0_0,cnc,"[""<ARG0>PersonX also saw ___</ARG0> intend <ARG1>to avoid the road</ARG1>""]",0,id,0,PersonX also saw  intend to avoid the road,0
