corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,Event1_Type,Event2_Type,relation,stripped_index,type_relation,Max_Similarity,Relation
cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.","[""The government is <ARG0>introducing</ARG0> a new law to protect the rights of workers, in an effort to <ARG1>ensure</ARG1> fair wages and safe working conditions.""]",0.0,Labor Law Change,Worker's Rights Protection,intend,intend,Labor Law Change intend Worker's Rights Protection,0.7889736890792847,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The United Nations Security Council passed a resolution calling for an immediate ceasefire in the conflict between Israel and Palestine.,"[""The United Nations Security Council <ARG0>passed</ARG0> a resolution calling for an immediate <ARG1>ceasefire</ARG1> in the conflict between Israel and Palestine.""]",0.0,International Diplomacy,Ceasefire Agreement,intend,intend,International Diplomacy intend Ceasefire Agreement,0.7696713209152222,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of workers, in an effort to ensure fair wages and safe working conditions.","[""The government is <ARG0>Introducing</ARG0> a new law to protect the rights of workers, in an effort to <ARG1>ensure</ARG1> fair wages and safe working conditions.""]",0.0,Labor Law Change,Worker's Rights Protection,intend,intend,Labor Law Change intend Worker's Rights Protection,0.7889736890792847,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government has implemented a series of reforms to improve the quality of education and access to higher education.,"[""The government has implemented a series of reforms to <ARG0>improve</ARG0> the quality of education and <ARG1>access</ARG1> to higher education.""]",0.0,Education Reform,Access to Education,intend,intend,Education Reform intend Access to Education,0.7990149855613708,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a new law to protect the rights of women in an effort to promote gender equality.,"[""The government <ARG0>passed</ARG0> a new law to protect the rights of women in an effort to <ARG1>promote</ARG1> gender equality.""]",0.0,Government Passes New Law,Promote Gender Equality,intend,intend,Government Passes New Law intend Promote Gender Equality,0.7936513423919678,intend
cnc,1.0,1.0,0.0,intend_1_1_0,Bush's chief objective in his meeting with Hussein was to pressthe king  to shut down Iraq's food and oil supply route from Aqabaon the Red Sea.,"[""Bush s chief objective in his <ARG0>meeting</ARG0> with Hussein was to pressthe king  to <ARG1>shut</ARG1> down Iraq s food and oil supply route from Aqabaon the Red Sea.""]",0.0,Diplomatic Meeting,Economic Sanction,intend,intend,Diplomatic Meeting intend Economic Sanction,0.7872071266174316,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The SEC has alleged that Mr. Antar aimed to pump up the company's stock price through false financial statements in order to sell his stake and reap huge profits.,"[""The SEC has alleged that Mr. Antar aimed to <ARG0>pump</ARG0> up the company s stock price through false financial statements in order to <ARG1>sell</ARG1> his stake and reap huge profits.""]",0.0,Financial Fraud,Insider Trading,intend,intend,Financial Fraud intend Insider Trading,0.7327511310577393,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The United Nations passed a resolution calling for an end to the use of nuclear weapons, in an effort to protect the world from the dangers of nuclear warfare.","[""The United Nations passed a <ARG0>resolution</ARG0> calling for an end to the use of nuclear weapons, in an effort to <ARG1>protect</ARG1> the world from the dangers of nuclear warfare.""]",0.0,International Agreement,Nuclear Disarmament Efforts,intend,intend,International Agreement intend Nuclear Disarmament Efforts,0.7408717274665833,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"Mr. Lortie's departure, while sudden, was seen as inevitable in light of the shift in strategy. ","[""Mr. Lortie s <ARG0>departure</ARG0>, while sudden, was seen as inevitable in light of the <ARG1>shift</ARG1> in strategy.""]",0.0,Departure of a Key Person (Mr. Lortie's departure),Strategic Shift or Change in Direction (shift in strategy),intend,intend,Departure of a Key Person (Mr. Lortie's departure) intend Strategic Shift or Change in Direction (shift in strategy),0.7906191945075989,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The United States passed a law to impose sanctions on Iran in an effort to pressure the government to end its nuclear weapons program.,"[""The United States <ARG0>passed</ARG0> a law to impose sanctions on Iran in an effort to pressure the government to <ARG1>end</ARG1> its nuclear weapons program.""]",0.0,Economic Sanctions,Nuclear Weapons Program,intend,intend,Economic Sanctions intend Nuclear Weapons Program,0.7162038087844849,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The United Nations passed a resolution to increase international cooperation in order to combat terrorism.,"[""The United Nations <ARG0>passed</ARG0> a resolution to increase international cooperation in order to <ARG1>combat</ARG1> terrorism.""]",0.0,International Cooperation,Combat Terrorism,intend,intend,International Cooperation intend Combat Terrorism,0.7312051653862,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government has implemented a series of reforms to protect the rights of workers and promote labor rights.,"[""The government has implemented a series of reforms to <ARG0>protect</ARG0> the rights of workers and <ARG1>promote</ARG1> labor rights.""]",0.0,Labor Rights Protection,Labor Rights Promotion,intend,intend,Labor Rights Protection intend Labor Rights Promotion,0.784172773361206,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of women, in an effort to promote gender equality and combat discrimination.","[""The government is <ARG0>introducing</ARG0> a new law to protect the rights of women, in an effort to <ARG1>promote</ARG1> gender equality and combat discrimination.""]",0.0,Government Introduces New Law to Protect Women's Rights,Promote Gender Equality and Combat Discrimination,intend,intend,Government Introduces New Law to Protect Women's Rights intend Promote Gender Equality and Combat Discrimination,0.7717399597167969,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The United Nations passed a resolution to impose an arms embargo on Libya in an effort to pressure the government to end its civil war.,"[""The United Nations <ARG0>passed</ARG0> a resolution to impose an arms embargo on Libya in an effort to <ARG1>pressure</ARG1> the government to end its civil war.""]",0.0,International Intervention,Arms Embargo,intend,intend,International Intervention intend Arms Embargo,0.7137068510055542,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government has passed a law to increase funding for renewable energy sources, in an effort to reduce dependence on fossil fuels.","[""The government has passed a law to <ARG0>increase</ARG0> funding for renewable energy sources, in an effort to <ARG1>reduce</ARG1> dependence on fossil fuels.""]",0.0,Increase in Government Funding for Renewable Energy Sources,Reduction in Dependence on Fossil Fuels,intend,intend,Increase in Government Funding for Renewable Energy Sources intend Reduction in Dependence on Fossil Fuels,0.7594385147094727,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new tax to help fund the national health service, in an effort to reduce the burden on taxpayers.","[""The government is <ARG0>introducing</ARG0> a new tax to help fund the national health service, in an effort to <ARG1>reduce</ARG1> the burden on taxpayers.""]",0.0,Government Introduces New Tax,Government Announces Plan to Reduce Burden on Taxpayers,intend,intend,Government Introduces New Tax intend Government Announces Plan to Reduce Burden on Taxpayers,0.7757672071456909,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to protect the rights of immigrants and refugees.,"[""The government <ARG0>passed</ARG0> a law to <ARG1>protect</ARG1> the rights of immigrants and refugees.""]",0.0,Legislation Passed,Human Rights Protection,intend,intend,Legislation Passed intend Human Rights Protection,0.7920499444007874,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"Upjohn Co. said it will offer an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter charge.    ","[""Upjohn Co. said it will <ARG0>offer</ARG0> an early retirement package to as many as 1,100 employees in a cost-cutting move expected to result in a fourth-quarter <ARG1>charge</ARG1>.""]",0.0,Cost-Cutting Measure,Charge (fourth-quarter),intend,intend,Cost-Cutting Measure intend Charge (fourth-quarter),0.7301880121231079,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase funding for public safety initiatives, in an effort to reduce crime.","[""The government <ARG0>passed</ARG0> a law to increase funding for public safety initiatives, in an effort to <ARG1>reduce</ARG1> crime.""]",0.0,Government Funding Increase,Crime Reduction Initiative,intend,intend,Government Funding Increase intend Crime Reduction Initiative,0.7968555688858032,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The United Nations Security Council imposed economic sanctions on North Korea in an effort to curb its nuclear weapons program.,"[""The United Nations Security Council <ARG0>imposed</ARG0> economic sanctions on North Korea in an effort to <ARG1>curb</ARG1> its nuclear weapons program.""]",0.0,Economic Sanctions,Nuclear Weapons Program,intend,intend,Economic Sanctions intend Nuclear Weapons Program,0.7162038087844849,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to strengthen gun control and reduce gun violence.,"[""The government <ARG0>passed</ARG0> a law to <ARG1>strengthen</ARG1> gun control and reduce gun violence.""]",0.0,Legislation Passed,Gun Control Measure,intend,intend,Legislation Passed intend Gun Control Measure,0.7847429513931274,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The Senate passed a bill to increase funding for public education.,"[""The Senate passed a <ARG0>bill</ARG0> to <ARG1>Increase</ARG1> funding for public education.""]",0.0,Legislation Passed,Increase in Funding,intend,intend,Legislation Passed intend Increase in Funding,0.745002269744873,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"Mr. Edelman declined to specify what prompted the recent moves, saying they are meant only to benefit shareholders when ""the company is on a roll."" ","[""Mr. Edelman declined to specify what prompted the recent <ARG0>moves</ARG0>, saying they are meant only to <ARG1>benefit</ARG1> shareholders when  the company is on a roll.""]",0.0,"Corporate Action, Event Trigger: Shareholder Benefits","Corporate Announcement, Event Trigger: Company Performance",intend,intend,"Corporate Action, Event Trigger: Shareholder Benefits intend Corporate Announcement, Event Trigger: Company Performance",0.7898468375205994,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase funding for public health services, in an effort to improve health outcomes.","[""The government <ARG0>passed</ARG0> a law to increase funding for public health services, in an effort to <ARG1>improve</ARG1> health outcomes.""]",0.0,Government Funding Increase,Health Outcomes Improvement,intend,intend,Government Funding Increase intend Health Outcomes Improvement,0.7981370091438293,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to protect the rights of indigenous peoples.,"[""The government <ARG0>passed</ARG0> a law to <ARG1>protect</ARG1> the rights of indigenous peoples.""]",0.0,Legislation Passed,Human Rights Protection,intend,intend,Legislation Passed intend Human Rights Protection,0.7920499444007874,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government has introduced a new law to protect the rights of workers, in an effort to ensure fair wages and working conditions.","[""The government has <ARG0>introduced</ARG0> a new law to protect the rights of workers, in an effort to <ARG1>ensure</ARG1> fair wages and working conditions.""]",0.0,Labor Law Change,Worker's Rights Protection,intend,intend,Labor Law Change intend Worker's Rights Protection,0.7889736890792847,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase funding for social services, in an effort to reduce poverty and inequality.","[""The government <ARG0>passed</ARG0> a law to increase funding for social services, in an effort to <ARG1>reduce</ARG1> poverty and inequality.""]",0.0,Government Funding Increase,Social Services Expansion,intend,intend,Government Funding Increase intend Social Services Expansion,0.7565125823020935,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government introduced a new law to protect the rights of religious minorities in an effort to promote religious freedom.,"[""The government <ARG0>introduced</ARG0> a new law to protect the rights of religious minorities in an effort to <ARG1>promote</ARG1> religious freedom.""]",0.0,Government introduces a new law to protect the rights of religious minorities is Legislative Change,Government effort to promote religious freedom is Social Change,intend,intend,Government introduces a new law to protect the rights of religious minorities is Legislative Change intend Government effort to promote religious freedom is Social Change,0.7894766330718994,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The International Monetary Fund has approved a loan package to help stabilize the economy of a developing nation.,"[""The International Monetary Fund has <ARG0>approved</ARG0> a loan package to help <ARG1>stabilize</ARG1> the economy of a developing nation.""]",0.0,Financial Assistance,Economic Stabilization,intend,intend,Financial Assistance intend Economic Stabilization,0.7778329253196716,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government has implemented a series of reforms to promote public safety and reduce crime.,"[""The government has implemented a series of reforms to <ARG0>promote</ARG0> public safety and <ARG1>reduce</ARG1> crime.""]",0.0,Government Initiative,Crime Reduction,intend,intend,Government Initiative intend Crime Reduction,0.7924577593803406,intend
cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to reduce carbon emissions and combat climate change.,"[""The government <ARG0>passed</ARG0> a law to <ARG1>reduce</ARG1> carbon emissions and combat climate change.""]",0.0,Government Passes Law,Carbon Emissions Reduction,intend,intend,Government Passes Law intend Carbon Emissions Reduction,0.7520354986190796,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase funding for renewable energy sources, in an effort to reduce carbon emissions.","[""The government <ARG0>passed</ARG0> a law to increase funding for renewable energy sources, in an effort to <ARG1>reduce</ARG1> carbon emissions.""]",0.0,Government Passes New Legislation,Increased Funding for Renewable Energy Sources,intend,intend,Government Passes New Legislation intend Increased Funding for Renewable Energy Sources,0.7747675180435181,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"On Friday, Iran's foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to use its program to build nuclear weapons.""","[""On Friday, Iran s foreign minister said he believes a solution will be reached over a proposed deal to export uranium for enrichment abroad, a demand of Western nations that worry that Tehran plans to <ARG0>use</ARG0> its program to <ARG1>build</ARG1> nuclear weapons.""]",0.0,Diplomatic Breakthrough,Nuclear Weapons Program Development,intend,intend,Diplomatic Breakthrough intend Nuclear Weapons Program Development,0.7768064737319946,intend
cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase funding for education, in an effort to improve educational outcomes.","[""The government <ARG0>passed</ARG0> a law to <ARG1>increase</ARG1> funding for education, in an effort to improve educational outcomes.""]",0.0,Legislation Passed,Increase in Funding,intend,intend,Legislation Passed intend Increase in Funding,0.745002269744873,intend
cnc,1.0,1.0,0.0,cause_1_1_0,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ","[""Ocean Drilling amp Exploration Co. will <ARG1>sell</ARG1> its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the <ARG0>planned</ARG0> sale.""]",0.0,Divestment,Discontinued Operations,cause,cause,Divestment cause Discontinued Operations,0.7588744163513184,cause
cnc,1.0,1.0,0.0,cause_1_1_0,The move boosts Intelogic Chairman Asher Edelman's stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.,"[""The <ARG0>move</ARG0> <ARG1>boosts</ARG1> Intelogic Chairman Asher Edelman s stake to 20% from 16.2% and may help prevent Martin Ackerman from making a run at the computer-services concern.""]",0.0,Corporate Takeover Attempt,Shareholder Increases Stake,cause,cause,Corporate Takeover Attempt cause Shareholder Increases Stake,0.7865612506866455,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"National Intergroup in the year-ago third quarter earned $22.5 million, or 97 cents a share, including a gain of $18 million from the sale of a steel tube company. ","[""National Intergroup in the year-ago third quarter <ARG1>earned</ARG1> $22.5 million, or 97 cents a share, including a gain of $18 million from the <ARG0>sale</ARG0> of a steel tube company.""]",0.0,Sale of Asset,Earnings Report,cause,cause,Sale of Asset cause Earnings Report,0.7736318111419678,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ","[""Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and <ARG1>took</ARG1> a $50.9 million loss from discontinued operations in the third quarter because of the planned <ARG0>sale</ARG0>.""]",0.0,Divestment,Loss from Discontinued Operations,cause,cause,Divestment cause Loss from Discontinued Operations,0.7650978565216064,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"Instead, Sununusought to prove to the president that his supporters outnumber his critics andthat he should remain in his post.;   One senior official Monday described theWhite House as ""a collection of small groups of aides holding their breaths,""waiting to see whether Sununu survives. ","[""Instead, Sununu<ARG0>sought</ARG0> to prove to the president that his supporters outnumber his critics andthat he should remain in his post.;   One senior official Monday described theWhite House as  a collection of small groups of aides <ARG1>holding</ARG1> their breaths, waiting to see whether Sununu survives.""]",0.0,Political Showdown,Power Struggle,cause,cause,Political Showdown cause Power Struggle,0.7980055212974548,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"While a prisoner, Maria witnessed a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then murdered.","[""While a prisoner, Maria <ARG0>witnessed</ARG0> a sickening trade in human life and recalls how young girls were drugged, forced into prostitution and then <ARG1>murdered</ARG1>.""]",0.0,Human Trafficking,Murder,cause,cause,Human Trafficking cause Murder,0.7635401487350464,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"Another 16 members of the Brazilian-led peacekeeping force deployed in Haiti are confirmed dead, U.N. Secretary-General Ban Ki-moon said Wednesday night -- three Jordanian police officers, one Argentinean and one Chadian police officer, and 11 Brazilian peacekeepers.","[""Another 16 members of the Brazilian-led peacekeeping force <ARG0>deployed</ARG0> in Haiti are <ARG1>confirmed</ARG1> dead, U.N. Secretary-General Ban Ki-moon said Wednesday night -- three Jordanian police officers, one Argentinean and one Chadian police officer, and 11 Brazilian peacekeepers.""]",0.0,Deployment of Peacekeeping Force,Confirmation of Deaths in Peacekeeping Mission,cause,cause,Deployment of Peacekeeping Force cause Confirmation of Deaths in Peacekeeping Mission,0.7332781553268433,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"After cabling world leadersabout his intention to give Saddam Hussein a final deadlineto exit Kuwait, he offered him a week to withdraw fully  , instead of the four days he originally considered, because ofobjections from some European partners that four days seemedpunitive and unrealistic.   ","[""After cabling world leadersabout his intention to give Saddam Hussein a final deadlineto exit Kuwait, he <ARG1>offered</ARG1> him a week to withdraw fully  , instead of the four days he originally considered, because of<ARG0>objections</ARG0> from some European partners that four days seemedpunitive and unrealistic.""]",0.0,Diplomatic Objection,Offer or Proposal,cause,cause,Diplomatic Objection cause Offer or Proposal,0.7943201065063477,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"It received more offers, but the auction was surprisingly won by IMA, which bid $28 a share and asked Mr. Gilleland to stay on as an equity participant. ","[""It received more offers, but the auction was surprisingly <ARG0>won</ARG0> by IMA, which bid $28 a share and asked Mr. Gilleland to <ARG1>stay</ARG1> on as an equity participant.""]",0.0,Executive Appointment and Retention,"<re.Match object; span=(1347, 1395), match='Event2 Type: Executive Appointment and Retention'>",cause,cause,"Executive Appointment and Retention cause <re.Match object; span=(1347, 1395), match='Event2 Type: Executive Appointment and Retention'>",0.7210642099380493,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"Alabama issued a warning to drivers Thursday night, urging them to stay off icy roads as driving conditions were "" becoming dangerous "" with numerous accidents reported.","[""Alabama issued a warning to drivers Thursday night, <ARG1>urging</ARG1> them to stay off icy roads as driving conditions were   <ARG0>becoming</ARG0> dangerous   with numerous accidents reported.""]",0.0,Traffic Accident,"<re.Match object; span=(1396, 1426), match='Event 2 Type: Traffic Accident'>",cause,cause,"Traffic Accident cause <re.Match object; span=(1396, 1426), match='Event 2 Type: Traffic Accident'>",0.722388505935669,cause
cnc,1.0,1.0,0.0,cause_1_1_0,The bank also said its effort would continue past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might resume as a result.,"[""The bank also said its effort would <ARG0>continue</ARG0> past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might <ARG1>resume</ARG1> as a result.""]",0.0,Contract Extension,Litigation Resumption,cause,cause,Contract Extension cause Litigation Resumption,0.7746264934539795,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"The offer was automatically triggered by the recent sale of Control Data's Imprimis disk-drive business to Seagate Technology Inc.    Mr. Perlman, who is also acting chief financial officer and the odds-on favorite to become the next chief executive, said the company is achieving ""modest positive cash flow from operations, and we expect that to continue into 1990.""    ","[""The offer was automatically <ARG1>triggered</ARG1> by the recent <ARG0>sale</ARG0> of Control Data s Imprimis disk-drive business to Seagate Technology Inc.    Mr. Perlman, who is also acting chief financial officer and the odds-on favorite to become the next chief executive, said the company is achieving  modest positive cash flow from operations, and we expect that to continue into 1990.""]",0.0,Merger and Acquisition,Financial Performance and Projections,cause,cause,Merger and Acquisition cause Financial Performance and Projections,0.7926240563392639,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"Ocean Drilling amp Exploration Co. will sell its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned sale.    ","[""Ocean Drilling amp Exploration Co. will <ARG1>sell</ARG1> its contract-drilling business, and took a $50.9 million loss from discontinued operations in the third quarter because of the planned <ARG0>sale</ARG0>.""]",0.0,Divestment,Loss from Discontinued Operations,cause,cause,Divestment cause Loss from Discontinued Operations,0.7650978565216064,cause
cnc,1.0,1.0,0.0,cause_1_1_0,But the new pact will force huge debt on the new firm and could still fail to thwart rival suitor McCaw Cellular.,"[""But the new <ARG0>pact</ARG0> will force huge debt on the new firm and could still <ARG1>fail</ARG1> to thwart rival suitor McCaw Cellular.""]",0.0,Business Agreement,Failure to Thwart Rival Suitor,cause,cause,Business Agreement cause Failure to Thwart Rival Suitor,0.7616137862205505,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"The company attributed the decrease in part to the exclusion of the company's British sales from the current year's figures as a result of the subsidiary's status as a proposed discontinued operation and, in part, to lower sales in certain key foreign and domestic accounts. ","[""The company attributed the <ARG1>decrease</ARG1> in part to the exclusion of the company s British <ARG0>sales</ARG0> from the current year s figures as a result of the subsidiary s status as a proposed discontinued operation and, in part, to lower <ARG0>sales</ARG0> in certain key foreign and domestic accounts.""]",0.0,Discontinued Operations,Decreased Sales,cause,cause,Discontinued Operations cause Decreased Sales,0.7440685629844666,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"But Kenneth Leon, a telecommunications analyst with Bear, Stearns amp Co., finds the BellSouth proposal still flawed because the company does n't have to wait five years to begin buying more LIN shares. ","[""But Kenneth Leon, a telecommunications analyst with Bear, Stearns amp Co., finds the BellSouth proposal still <ARG1>flawed</ARG1> because the company does n t have to <ARG0>wait</ARG0> five years to begin buying more LIN shares.""]",0.0,Regulatory Approval Delay,Flawed Proposal,cause,cause,Regulatory Approval Delay cause Flawed Proposal,0.7847591638565063,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"Peter DaPuzzo, head of retail equity trading at Shearson Lehman Hutton, acknowledges that he wasn't troubled by program trading when it began in the pre-crash bull market because it added liquidity and people were pleased to see stock prices rising.    ","[""Peter DaPuzzo, head of retail equity trading at Shearson Lehman Hutton, acknowledges that he wasn t <ARG1>troubled</ARG1> by program trading when it began in the pre-crash bull market because it <ARG0>added</ARG0> liquidity and people were pleased to see stock prices rising.""]",0.0,Market Trend,Liquidity Concerns,cause,cause,Market Trend cause Liquidity Concerns,0.7753506898880005,cause
cnc,1.0,1.0,0.0,cause_1_1_0,"The supplement contains various information that has been filed with the Securities and Exchange Commission since Dow Jones launched the offer on Sept. 26, but it does n't change the terms and conditions of the offer except to extend its expiration date.    ","[""The supplement contains various information that has been <ARG1>filed</ARG1> with the Securities and Exchange Commission since Dow Jones launched the <ARG0>offer</ARG0> on Sept. 26, but it does n t change the terms and conditions of the <ARG0>offer</ARG0> except to extend its expiration date.""]",0.0,Offer Extension,Filing with the Securities and Exchange Commission (SEC),cause,cause,Offer Extension cause Filing with the Securities and Exchange Commission (SEC),0.654803991317749,cause
cnc,1.0,1.0,0.0,cause_1_1_0,Other market-maker gripes: Program trading also causes the Nasdaq Composite Index to lose ground against other segments of the stock market.,"[""Other market-maker gripes: Program <ARG0>trading</ARG0> also causes the Nasdaq Composite Index to <ARG1>lose</ARG1> ground against other segments of the stock market.""]",0.0,Market Trend Change,Index Performance Comparison,cause,cause,Market Trend Change cause Index Performance Comparison,0.7863044738769531,cause
