Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,sentence,tag,label,tag_2,trigger1_index,trigger2_index,event1,event2
34,34,363,294,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild.",0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,10,30,killed,helped
35,35,43,43,"The most controversial form of program trading, stock-index arbitrage, is "" making it tough for traders to make money,"" declares Robert Antolini, head of OTC trading at Donaldson, Lufkin amp Jenrette.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,The,The
36,36,578,74,"We empower enterprises and software companies to (re)identify differentiation, accelerate solution development, and vigorously compete in today's digital economy.",condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,enable,trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0,0,17,We,and
37,37,465,36,-- Regular Oral-Health Check-Ups Partner with your dental professional regularly to prevent and detect signs of gum infection at its earliest stages.,0 0 0 0 0 0 0 0 0 0 0 0 prevention 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,prevent,0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 effect 0 0 0 0 0,12,21,and,stages
38,38,554,50,"Amazon has agreed to buy the storied MGM studios for $8.45 billion, the companies said Wednesday, giving the US tech giant a vast library to further its ambitions in streaming.",0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,enable,0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,4,30,buy,ambitions
39,39,112,43,Bush's chief objective in his meeting with Hussein was to pressthe king  to shut down Iraq's food and oil supply route from Aqabaon the Red Sea.,0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,intend,0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,6,0,meeting,Bush
40,40,440,11,"These clumps of amyloid are deposited in tissues and vital organs and interfere with normal organ function, eventually causing organ deterioration.16,17 AL amyloidosis is the most common type of systemic amyloidosis.18 It frequently affects the heart, kidneys, digestive tract, liver and nervous system.16,17 Diagnosis is often delayed, and prognosis is poor due to advanced, multi-organ, particularly cardiac, involvement.",0 prevention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,prevent,0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,1,16,clumps,function
41,41,418,349,"I imagine the Chinese government's reaction is going to be'Well, if you do n't like our laws, get lost.'",0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 effect 0 0,cause,0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 effect 0 0,10,21,be'Well,lost
42,42,229,160,"But the company said Friday that it had losses of $673.3 million through the first nine months, compared with earnings a year earlier of $382.2 million, or $2.22 a share fully diluted, as revenue inched up 1.4% to $7.13 billion from $7.03 billion. ",0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0,40,8,inched,losses
43,43,381,312,That has led to severe erosion and left Haitians vulnerable to massive landslides when heavy rains fall.,0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0,cause,0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0,16,2,fall,led
44,44,511,7,"Migrant workers in Lebanon have been hit hard by its multiple crises and half of them left jobless, the UN warned Wednesday, calling for voluntary returns to be scaled up.",0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,enable,0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,11,17,crises,jobless
45,45,165,96,"The latest results include some unusual write-downs, which had an after-tax impact of $4.9 million. ",0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,2,The,results
46,46,183,114,"BellSouth's revised proposal surprised many industry analysts, especially because of the company's willingness to accept some dilution of future earnings. ",0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0,cause,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0,15,4,willingness,surprised
47,47,254,185,The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0,cause,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0,24,4,comes,offered
48,48,231,162,"Ralston attributed its fourth-quarter slump partly to higher costs of ingredients in the pet food business as well as competitive pressures, which required higher advertising spending. ",0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0,22,6,which,to
49,49,446,17,"Several EU countries have restricted the use of AstraZeneca's vaccine to older people, typically over 55 or 60.",0 0 prevention 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,prevent,0 0 trigger1 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0,2,10,countries,vaccine
50,50,125,56,So Saddam Hussein on Friday tried to scare other Arab leaders into supporting him by calling onArabs to rise up in a holy war against leaders who invited American and other Western soldiers into Saudi Arabia to protect the oil-rich kingdom.,0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,intend,0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15,7,calling,scare
51,51,577,73,"His Excellency Mohammed Ali Al Shorafa, Chairman of the Abu Dhabi Department of Economic Development, said, ""AWS's expansion into the UAE is a testament to our rapidly growing innovation ecosystem that will benefit from access to the world's leading cloud platform and its advanced technologies and solutions.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,enable,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0,34,50,ecosystem,technologies
52,52,2,2,"Anheuser said it continues to hold to its earlier-announced goal of a 50% U.S. market share by the mid-1990s.    Beneath the tepid news-release jargon lies a powerful threat from the brewing giant, which last year accounted for about 41% of all U.S. beer sales and is expected to see that grow to 42.5% in the current year. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,Anheuser,Anheuser
53,53,178,109,"He took Polly Peck, once a small fabric wholesaler, and used it at as a base to build a conglomerate that has been doubling its profits annually since 1980. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 effect 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 effect 0 0 0 0 0 0,19,25,build,doubling
54,54,135,66,"Valley Federal Savings amp Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share.    ",0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0,11,19,charge,$
55,55,116,47,"General Motors Corp. wants to buy as much as 15% of Jaguar PLC, marking its first salvo in a possible full-scale battle against Ford Motor Co. for control of the British car maker.    ",0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,intend,0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0 0 0 0,5,31,buy,the
56,56,60,60,"Three days later, as of Friday's close, the Nasdaq Composite was down 6%, compared with 5.9% for the industrial average, 5.7% for the SampP 500 and 5.8% for the Big Board Composite.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,Three,Three
57,57,220,151,"Such selling could erode prices of high-yield junk bonds, already weakened by a rash of corporate credit problems.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 cause 0 0 0 0 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 effect 0 0 trigger1 0 0 0 0 0 0,16,13,corporate,a
58,58,362,293,"My first and only guest this week : Secretary of State Hillary Clinton on the biggest threats to Americans, and whether she really thinks the current Afghan government can pull it together so U.S. troops can come home.",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 effect 0 0,cause,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 effect 0 0,30,37,pull,come
59,59,121,52,"Cineplex Odeon Corp. directors said the company's chairman and chief executive, Garth Drabinsky, is considering bidding 780.6 million Canadian dollars (US$666 million) to acquire the company.    ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 intention 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,intend,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 effect 0 0 0 0,18,29,bidding,to
60,60,589,85,"In the long term, Blinken evoked the ""possibility of resuming the effort to achieve a two-state solution, which we continue to believe is the only way to truly assure Israel's future as a Jewish and democratic state"".",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 condition 0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect effect 0 0 0 0 0 0 0 0,enable,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 effect effect effect 0 0 0 0 0 0 0 0,20,34,which,future
61,61,29,29,"The Dearborn, Mich., energy company stopped paying a dividend in the third quarter of 1984 because of troubles at its Midland nuclear plant. ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,0,The,The
62,62,261,192,The latest period includes gains of $9.1 million from early retirement of debt and tax loss carry-forward.,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 0 0 0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0,4,The,gains
63,63,396,327,"Democrats lost their 60-vote, filibuster-proof Senate majority in January, when GOP Sen. Scott Brown won the Massachusetts Senate seat previously held by the late Sen. Ted Kennedy, a Democrat.",0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 cause 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,cause,0 effect 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 trigger1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,20,1,seat,lost
