corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,event0,event1,label,triplets
NEWS,train259,260,0,cause_our_data_0_0260,"""Cheerios and Honey Nut Cheerios have eaten away sales normally going to Kellogg's corn-based lines simply because they are made of oats,"" says Merrill Lynch food analyst William Maguire. ","[""Cheerios and Honey Nut Cheerios have <ARG1>eaten</ARG1> away sales normally going to Kelloggs corn-based lines simply because they are <ARG0>made</ARG0> of oats, says Merrill Lynch food analyst William Maguire.""]",1,made,eaten,cause,<triplet> made <subj> eaten <obj> cause
NEWS,train296,297,0,cause_our_data_0_0297,"I'm sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been built poorly, without adequate technical supervision, and have proved very vulnerable to the earthquake.","[""Im sure the problem that we saw in Pakistan is shared in Haiti -- in that concrete buildings have been <ARG0>built</ARG0> poorly, without adequate technical supervision, and have <ARG1>proved</ARG1> very vulnerable to the earthquake.""]",1,built,proved,cause,<triplet> built <subj> proved <obj> cause
AFPNEWS,train66,67,0,enable_our_data_0_067,"For now, that would mean ""no one would represent Myanmar at the Seventy-fourth World Health Assembly"", according to the proposal, which was approved by WHO member states without a vote Wednesday morning.","[""For now, that would mean no one would <ARG1>represent</ARG1> Myanmar at the Seventy-fourth World Health Assembly, according to the <ARG0>proposal</ARG0>, which was <SIG0>approve</SIG0>d by WHO member states without a vote Wednesday morning.""]",1,proposal,represent,enable,<triplet> proposal <subj> represent <obj> enable
AFPNEWS,train163,164,0,prevent_our_data_0_0164,"After putting her bassoon to one side for a while, she eventually managed to find some alternative projects -- particularly making records -- to keep her spirits up and stop herself from getting rusty.","[""After putting her bassoon to one side for a while, she eventually managed to find some alternative <ARG0>projects</ARG0> -- particularly making records -- to keep her spirits up and <SIG0>stop</SIG0> herself from getting <ARG1>rusty</ARG1>.""]",1,projects,rusty,prevent,<triplet> projects <subj> rusty <obj> prevent
NEWS,train27,28,0,0_our_data_0_028,"But unless the military situation changes drastically, military officials say, the most likely plan will be for the Kennedy to eventually replace the carrier Dwight D. Eisenhower, which has been on patrol since March and was scheduled to return to port before hostilities erupted in Kuwait.   ",[],0,before,changes,0,<triplet> before <subj> changes <obj> 0
NEWS,train251,252,0,cause_our_data_0_0252,"Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it rejected because the $283.7 million offer was not fully financed. ","[""Earlier this year, DPC Acquisition made a $15-a-share offer for Dataproducts, which the Dataproducts board said it <ARG1>rejected</ARG1> because the $283.7 million offer was not fully <ARG0>financed</ARG0>.""]",1,financed,rejected,cause,<triplet> financed <subj> rejected <obj> cause
NEWS,train285,286,0,enable_our_data_0_0286,"The approval, which had been expected, permits West Germany's second-largest bank to acquire shares of the French investment bank.    ","[""The <ARG0>approval</ARG0>, which had been expected, permits West Germanys second-largest bank to <ARG1>acquire</ARG1> shares of the French investment bank.""]",1,approval,acquire,enable,<triplet> approval <subj> acquire <obj> enable
NEWS,train77,78,0,0_our_data_0_078,"Most of them escaped but police captured one and he was later identified as a suspected ETA member, said the spokeswoman, who by custom is not identified.",[],0,ETA,was,0,<triplet> ETA <subj> was <obj> 0
NEWS,train111,112,0,cause_our_data_0_0112,"In effect, McCaw has forced LIN's hand by bidding $1.9 billion for the stake earlier this month.    ","[""In effect, McCaw has <ARG1>forced</ARG1> LINs hand by <ARG0>bidding</ARG0> $1.9 billion for the stake earlier this month.""]",1,bidding,forced,cause,<triplet> bidding <subj> forced <obj> cause
NEWS,train227,228,0,cause_our_data_0_0228,"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses. ","[""Du Pont, unlike companies <ARG1>hurt</ARG1> badly by sharp price <ARG0>declines</ARG0> for basic chemicals and plastics, is benefiting from its broad range of businesses.""]",1,declines,hurt,cause,<triplet> declines <subj> hurt <obj> cause
NEWS,train253,254,0,cause_our_data_0_0254,The slowdown raises questions about the economy's strength because spending fueled much of the third-quarter GNP growth.,"[""The slowdown <ARG1>raises</ARG1> questions about the economys strength because spending <ARG0>fueled</ARG0> much of the third-quarter GNP growth.""]",1,fueled,raises,cause,<triplet> fueled <subj> raises <obj> cause
NEWS,train136,137,0,0_our_data_0_0137,Westinghouse also expects its international sales to soon grow to 25% of total corporate sales from 20% last year.,[],0,20%,to,0,<triplet> 20% <subj> to <obj> 0
NEWS,train228,229,0,cause_our_data_0_0229,"Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is benefiting from its broad range of businesses. ","[""Du Pont, unlike companies hurt badly by sharp price declines for basic chemicals and plastics, is <ARG1>benefiting</ARG1> from its broad range of <ARG0>businesses</ARG0>.""]",1,businesses,benefiting,cause,<triplet> businesses <subj> benefiting <obj> cause
NEWS,train208,209,0,cause_our_data_0_0209,The bank also said its effort would continue past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might resume as a result.,"[""The bank also said its effort would <ARG0>continue</ARG0> past the Nov. 1 deadline set in that agreement and that the litigation between the two sides might <ARG1>resume</ARG1> as a result.""]",1,continue,resume,cause,<triplet> continue <subj> resume <obj> cause
NEWS,train101,102,0,0_our_data_0_0102,Anheuser said its new strategy -- started in some markets last month and expected to be applied soon in selected markets nationwide -- will mean lower-than-anticipated earnings for the last half of 1989 and for 1990.,[],0,applied,and,0,<triplet> applied <subj> and <obj> 0
AFPNEWS,train37,38,0,enable_our_data_0_038,"The company provides software solutions and services to over 450 service providers, ISVs, and enterprises worldwide to enable over 500 thousand virtual environments, running mission-critical cloud workloads.","[""The company provides software solutions and <ARG0>services</ARG0> to over 450 service providers, ISVs, and enterprises worldwide to <SIG0>enable</SIG0> over 500 thousand virtual environments, running mission-critical cloud <ARG1>workloads</ARG1>.""]",1,services,workloads,enable,<triplet> services <subj> workloads <obj> enable
AFPNEWS,train67,68,0,enable_our_data_0_068,"After meeting with Prime Minister Benjamin Netanyahu, Blinken reiterated support for Israel's right to defend itself against rocket attacks by Gaza's Hamas rulers, adding that they must benefit from reconstruction aid.","[""After meeting with Prime Minister Benjamin Netanyahu, Blinken reiterated <ARG0>support</ARG0> for Israels right to defend itself against rocket attacks by Gazas Hamas rulers, adding that they must <SIG0>benefit</SIG0> from reconstruction <ARG1>aid</ARG1>.""]",1,support,aid,enable,<triplet> support <subj> aid <obj> enable
AFPNEWS,train15,16,0,enable_our_data_0_016,"At the same time the EASA said it did not believe the safety concern relating to the incident comprised an ""unsafe condition"" that would warrant a safety directive which would force airlines to comply.","[""At the same time the EASA said it did not believe the safety concern relating to the incident comprised an unsafe condition that would <SIG0>warrant</SIG0> a safety <ARG0>directive</ARG0> which would force airlines to <ARG1>comply</ARG1>.""]",1,directive,comply,enable,<triplet> directive <subj> comply <obj> enable
AFPNEWS,train95,96,0,enable_our_data_0_096,"Lovell-Badge said while the ISSCR was not recommending a new time limit, it has called for public consultation and an ethical framework that could allow longer research on robust scientific grounds.","[""Lovell-Badge said while the ISSCR was not recommending a new time limit, it has called for public consultation and an ethical <ARG0>framework</ARG0> that could <SIG0>allow</SIG0> longer research on robust <ARG1>scientific</ARG1> grounds.""]",1,framework,scientific,enable,<triplet> framework <subj> scientific <obj> enable
NEWS,train308,309,0,cause_our_data_0_0309,"It's an ideal example of how an individual voice can be magnified to create awareness for a good cause and ignite action among millions by using a site like Facebook. ""","[""Its an ideal example of how an individual voice can be <ARG1>magnified</ARG1> to create awareness for a good cause and ignite action among millions by <ARG0>using</ARG0> a site like Facebook.""]",1,using,magnified,cause,<triplet> using <subj> magnified <obj> cause
AFPNEWS,train159,160,0,prevent_our_data_0_0160,The European Union Aviation Safety Agency (EASA) has urged airlines to avoid Belarus airspace following the country's interception Sunday of a Ryanair jet bound for Lithuania and forced to land in Minsk.,"[""The European Union Aviation Safety Agency (EASA) has <ARG0>urged</ARG0> airlines to <SIG0>avoid</SIG0> Belarus airspace following the countrys <ARG1>interception</ARG1> Sunday of a Ryanair jet bound for Lithuania and forced to land in Minsk.""]",1,urged,interception,prevent,<triplet> urged <subj> interception <obj> prevent
NEWS,train294,295,0,cause_our_data_0_0295,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild.","[""After a severe earthquake centered in Pakistans Kashmir province <ARG0>killed</ARG0> more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, <ARG1>helped</ARG1> the region start to rebuild.""]",1,killed,helped,cause,<triplet> killed <subj> helped <obj> cause
NEWS,train295,296,0,cause_our_data_0_0296,"After a severe earthquake centered in Pakistan's Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, helped the region start to rebuild.","[""After a severe earthquake centered in Pakistans Kashmir province killed more than 70,000 people in 2005, teams from a nonprofit architecture group based in London, England, <ARG0>helped</ARG0> the region start to <ARG1>rebuild</ARG1>.""]",1,helped,rebuild,cause,<triplet> helped <subj> rebuild <obj> cause
NEWS,train128,129,0,cause_our_data_0_0129,"At a news conference, Mr. Fournier accused Paribas of planning to pay for the takeover by selling parts of the company, whose interests include insurance, banking, tuna canning, sugar and orange juice.    ","[""At a news conference, Mr. Fournier <ARG1>accused</ARG1> Paribas of <ARG0>planning</ARG0> to pay for the takeover by selling parts of the company, whose interests include insurance, banking, tuna canning, sugar and orange juice.""]",1,planning,accused,cause,<triplet> planning <subj> accused <obj> cause
NEWS,train19,20,0,0_our_data_0_020,Mr. Fournier said the exceptional gain would mean nearly twice as high a dividend this year as last.,[],0,Fournier,would,0,<triplet> Fournier <subj> would <obj> 0
NEWS,train20,21,0,intend_our_data_0_021,The restructuring program  is designed  to increase the company's tangible capital ratio.,"[""The restructuring <ARG0>program</ARG0>  is designed  to <ARG1>increase</ARG1> the companys tangible capital ratio.""]",1,program,increase,intend,<triplet> program <subj> increase <obj> intend
NEWS,train153,154,0,0_our_data_0_0154,"That's largely because of defensive measures they adopted after the 1987 crash, when individual investors fled the market and trading activity dwindled. ",[],0,they,the,0,<triplet> they <subj> the <obj> 0
NEWS,train300,301,0,cause_our_data_0_0301,What makes Maria's story so special is that she was one of the lucky ones who were able to escape.,"[""What <ARG1>makes</ARG1> Marias story so special is that she was one of the lucky ones who were able to <ARG0>escape</ARG0>.""]",1,escape,makes,cause,<triplet> escape <subj> makes <obj> cause
NEWS,train45,46,0,0_our_data_0_046,"Norwood has made ""no detailed plans,"" but it has engaged in talks with other shareholders, the filing said. ",[],0,"plans,""","""no",0,"<triplet> plans,"" <subj> ""no <obj> 0"
NEWS,train143,144,0,cause_our_data_0_0144,"The results made net income for the year ended Aug. 31 C$2.7 million, or 20 Canadian cents a share, down from C$9.7 million, or 70 Canadian cents a share last year. ","[""The <ARG0>results</ARG0> <ARG1>made</ARG1> net income for the year ended Aug. 31 C$2.7 million, or 20 Canadian cents a share, down from C$9.7 million, or 70 Canadian cents a share last year.""]",1,results,made,cause,<triplet> results <subj> made <obj> cause
NEWS,train2,3,0,0_our_data_0_03,He also rejected reports that his departure stemmed from disappointment the general manager's post had n't  also led to a board directorship at the London-based news organization.,[],0,his,rejected,0,<triplet> his <subj> rejected <obj> 0
NEWS,train47,48,0,0_our_data_0_048,That's what will keep computer makers coming in spite of the irritation of bugs.,[],0,bugs.,what,0,<triplet> bugs. <subj> what <obj> 0
NEWS,train32,33,0,0_our_data_0_033,The directors added that the two executives have n't reached a final decision to proceed with a bid and that until an offer is made the board will continue seeking higher offers from other bidders.,[],0,bid,other,0,<triplet> bid <subj> other <obj> 0
NEWS,train0,1,0,0_our_data_0_01,The New Orleans oil and gas exploration and diving operations company added that it does n't expect any further adverse financial impact from the restructuring.,[],0,oil,company,0,<triplet> oil <subj> company <obj> 0
AFPNEWS,train62,63,0,enable_our_data_0_063,"  #COMPUTEXVirtual, the all-new smart online platform, will use AI and automation technology to create an exceptional digital journey for users by providing a personalized interactive experience.","[""#COMPUTEXVirtual, the all-new smart online platform, will use AI and automation technology to create an exceptional digital <ARG1>journey</ARG1> for users by providing a personalized interactive <ARG0>experience</ARG0>.""]",1,experience,journey,enable,<triplet> experience <subj> journey <obj> enable
NEWS,train143,144,0,0_our_data_0_0144,"The most controversial form of program trading, stock-index arbitrage, is "" making it tough for traders to make money,"" declares Robert Antolini, head of OTC trading at Donaldson, Lufkin amp Jenrette.    ",[],0,"Donaldson,",for,0,"<triplet> Donaldson, <subj> for <obj> 0"
NEWS,train307,308,0,cause_our_data_0_0308,"Female Facebookers started catching on this week as a message made its rounds through the inboxes of the social media network.""","[""Female Facebookers started <ARG1>catching</ARG1> on this week as a message <ARG0>made</ARG0> its rounds through the inboxes of the social media network.""]",1,made,catching,cause,<triplet> made <subj> catching <obj> cause
NEWS,train322,323,0,cause_our_data_0_0323,"NHTSA said its Office of Defects investigation has received 124 reports from consumers about problems with the Prius brakes, including four reports that involved crashes and two that resulted in injuries.","[""NHTSA said its Office of Defects investigation has <ARG1>received</ARG1> 124 reports from consumers about problems with the Prius brakes, including four reports that <ARG0>involved</ARG0> crashes and two that resulted in injuries.""]",1,involved,received,cause,<triplet> involved <subj> received <obj> cause
NEWS,train72,73,0,0_our_data_0_073,"If the allies succeed, Saddam Hussein will have plungedhis country first into a fruitless eight-year-long waragainst Iran and then into a humiliating war against the U.S.and the allies to defend his conquest of Kuwait, leaving muchof his country's military establishment and moderninfrastructure in ruins.   ",[],0,into,ruins.,0,<triplet> into <subj> ruins. <obj> 0
NEWS,train79,80,0,cause_our_data_0_080,"The spokesman said that the proposed guidelines caused Crossland to revise its business objectives and, consequently , to write down the asset value of some previous acquisitions. ","[""The spokesman said that the proposed guidelines caused Crossland to <ARG0>revise</ARG0> its business objectives and, consequently , to <ARG1>write</ARG1> down the asset value of some previous acquisitions.""]",1,revise,write,cause,<triplet> revise <subj> write <obj> cause
NEWS,train133,134,0,cause_our_data_0_0134,The action came in response to a petition filed by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations.,"[""The <ARG1>action</ARG1> came in response to a petition <ARG0>filed</ARG0> by Timex Inc. for changes in the U.S. Generalized System of Preferences for imports from developing nations.""]",1,filed,action,cause,<triplet> filed <subj> action <obj> cause
NEWS,train28,29,0,intend_our_data_0_029,"The company said it expects to use the proceeds to repay certain bank debt and for general corporate purposes, including establishing new operating centers and possible acquisitions. ","[""The company said it expects to <ARG0>use</ARG0> the proceeds to repay certain bank debt and for general corporate purposes, including <ARG1>establishing</ARG1> new operating centers and possible acquisitions.""]",1,use,establishing,intend,<triplet> use <subj> establishing <obj> intend
NEWS,train116,117,0,0_our_data_0_0117,London shares were depressed initially by overnight losses in New York and by the drop in sterling after Mr. Lawson's resignation.,[],0,by,by,0,<triplet> by <subj> by <obj> 0
NEWS,train270,271,0,cause_our_data_0_0271,"Concern about declines in other markets, especially New York, caused selling pressure.    ","[""<ARG0>Concern</ARG0> about declines in other markets, especially New York, caused selling <ARG1>pressure</ARG1>.""]",1,Concern,pressure,cause,<triplet> Concern <subj> pressure <obj> cause
NEWS,train19,20,0,0_our_data_0_020,He also rejected reports that his departure stemmed from disappointment the general manager's post had n't  also led to a board directorship at the London-based news organization.,[],0,stemmed,to,0,<triplet> stemmed <subj> to <obj> 0
NEWS,train65,66,0,0_our_data_0_066,"While bond investors would  have preferred growth to be a little slower, they were cheered by inflation measures in the data that showed prices rising at a modest annual rate of 2.9%. ",[],0,bond,by,0,<triplet> bond <subj> by <obj> 0
NEWS,train6,7,0,prevent_our_data_0_07,"In addition to the estimated 45,000 Marines to ultimately bepart of Operation Desert Shield, Stealth fighter planes and theaircraft carrier John F. Kennedy  are  also headed to Saudi Arabia  to protect it from Iraqi expansionism.   ","[""In addition to the estimated 45,000 Marines to ultimately bepart of Operation Desert Shield, Stealth fighter planes and theaircraft carrier John F. Kennedy  are  also <ARG0>headed</ARG0> to Saudi Arabia  to protect it from Iraqi <ARG1>expansionism</ARG1>.""]",1,headed,expansionism,prevent,<triplet> headed <subj> expansionism <obj> prevent
NEWS,train117,118,0,cause_our_data_0_0118,"DPC, an investor group led by New York-based Crescott Investment Associates, had itself filed a suit in state court in Los Angeles seeking to nullify the agreement. ","[""DPC, an investor group led by New York-based Crescott Investment Associates, had itself <ARG0>filed</ARG0> a suit in state court in Los Angeles seeking to <ARG1>nullify</ARG1> the agreement.""]",1,filed,nullify,cause,<triplet> filed <subj> nullify <obj> cause
AFPNEWS,train33,34,0,enable_our_data_0_034,"""The longer-term results from the ANDROMEDA study show sustained overall deep haematologic responses and further establish the potential of the subcutaneous formulation of daratumumab as a new treatment regimen in patients with AL amyloidosis, and I'm also encouraged to see additional investigational data showing cardiac and renal responses in these patients.""","[""The longer-term <ARG0>results</ARG0> from the ANDROMEDA study show <SIG0>sustain</SIG0>ed overall deep haematologic responses and further establish the potential of the subcutaneous formulation of daratumumab as a new <ARG1>treatment</ARG1> regimen in patients with AL amyloidosis, and Im also encouraged to see additional investigational data showing cardiac and renal responses in these patients.""]",1,results,treatment,enable,<triplet> results <subj> treatment <obj> enable
NEWS,train273,274,0,cause_our_data_0_0274,Other market-maker gripes: Program trading also causes the Nasdaq Composite Index to lose ground against other segments of the stock market.,"[""Other market-maker gripes: Program <ARG0>trading</ARG0> also causes the Nasdaq Composite Index to <ARG1>lose</ARG1> ground against other segments of the stock market.""]",1,trading,lose,cause,<triplet> trading <subj> lose <obj> cause
NEWS,train0,1,0,prevent_our_data_0_01,"Subcontractors  will  be offered a settlement and a swift transition to new management  is expected  to avert an exodus of skilled workers from Waertsilae Marine's two big shipyards, government officials said.    ","[""Subcontractors  will  be offered a <ARG0>settlement</ARG0> and a swift transition to new management  is expected  to avert an <ARG1>exodus</ARG1> of skilled workers from Waertsilae Marines two big shipyards, government officials said.""]",1,settlement,exodus,prevent,<triplet> settlement <subj> exodus <obj> prevent
AFPNEWS,train83,84,0,enable_our_data_0_084,"""The Mohammed Bin Rashid Space Centre has always sought to provide innovative solutions that benefit the scientific community.","[""The Mohammed Bin Rashid Space Centre has always <ARG0>sought</ARG0> to provide innovative solutions that <SIG0>benefit</SIG0> the scientific <ARG1>community</ARG1>.""]",1,sought,community,enable,<triplet> sought <subj> community <obj> enable
NEWS,train354,355,0,cause_our_data_0_0355,Conservationists have welcomed the decision to reject a bid from Tanzania and Zambia to temporarily suspend a worldwide ban on trading in African elephant ivory so they can offload legal stockpiles in a one-off sale.,"[""Conservationists have welcomed the decision to reject a bid from Tanzania and Zambia to temporarily <ARG0>suspend</ARG0> a worldwide ban on trading in African elephant ivory so they can <ARG1>offload</ARG1> legal stockpiles in a one-off sale.""]",1,suspend,offload,cause,<triplet> suspend <subj> offload <obj> cause
AFPNEWS,train181,182,0,prevent_our_data_0_0182,"The trio, all involved in management of the cable car, are accused of deliberately deactivating the emergency brake that could have stopped it slamming into the side of the Mottarone mountain when the cable snapped on Sunday afternoon.","[""The trio, all involved in management of the cable car, are accused of deliberately <ARG0>deactivating</ARG0> the emergency brake that could have <SIG0>stop</SIG0>ped it <ARG1>slamming</ARG1> into the side of the Mottarone mountain when the cable snapped on Sunday afternoon.""]",1,deactivating,slamming,prevent,<triplet> deactivating <subj> slamming <obj> prevent
AFPNEWS,train51,52,0,enable_our_data_0_052,"""Once again we have turned to our friends in Portugal to help both UEFA and the Champions League and I am, as always, very grateful to the FPF and the Portuguese government for agreeing to stage the match at such short notice,"" said UEFA president Aleksander Ceferin.","[""Once again we have turned to our friends in <ARG0>Portugal</ARG0> to <SIG0>help</SIG0> both UEFA and the Champions League and I am, as always, very grateful to the FPF and the Portuguese government for agreeing to <ARG1>stage</ARG1> the match at such short notice, said UEFA president Aleksander Ceferin.""]",1,Portugal,stage,enable,<triplet> Portugal <subj> stage <obj> enable
NEWS,train192,193,0,cause_our_data_0_0193,The latest period includes gains of $9.1 million from early retirement of debt and tax loss carry-forward.,"[""The latest period includes <ARG1>gains</ARG1> of $9.1 million from early retirement of debt and tax loss <ARG0>carry-forward</ARG0>.""]",1,carry-forward,gains,cause,<triplet> carry-forward <subj> gains <obj> cause
AFPNEWS,train105,106,0,enable_our_data_0_0106,"With the new region, organizations of all sizes will be able to innovate faster and serve end-users with even lower latency across the region.""","[""With the new region, organizations of all sizes will be able to <ARG0>innovate</ARG0> faster and <SIG0>serve</SIG0> end-users with even lower <ARG1>latency</ARG1> across the region.""]",1,innovate,latency,enable,<triplet> innovate <subj> latency <obj> enable
NEWS,train216,217,0,cause_our_data_0_0217,"After cabling world leadersabout his intention to give Saddam Hussein a final deadlineto exit Kuwait, he offered him a week to withdraw fully  , instead of the four days he originally considered, because ofobjections from some European partners that four days seemedpunitive and unrealistic.   ","[""After cabling world leadersabout his intention to give Saddam Hussein a final deadlineto exit Kuwait, he <ARG1>offered</ARG1> him a week to withdraw fully  , instead of the four days he originally considered, because of<ARG0>objections</ARG0> from some European partners that four days seemedpunitive and unrealistic.""]",1,objections,offered,cause,<triplet> objections <subj> offered <obj> cause
NEWS,train141,142,0,cause_our_data_0_0142,"Of the total purchase price, $50 million cash and $30 million in stock (nearly 1.8 million shares) would be paid to buy the existing 700-room Marina Hotel amp Casino from Southwest Securities, a Nevada limited partnership. ","[""Of the total purchase price, $50 million cash and $30 million in stock (nearly 1.8 million shares) would be <ARG0>paid</ARG0> to <ARG1>buy</ARG1> the existing 700-room Marina Hotel amp Casino from Southwest Securities, a Nevada limited partnership.""]",1,paid,buy,cause,<triplet> paid <subj> buy <obj> cause
NEWS,train196,197,0,cause_our_data_0_0197,"However, its equity in the net income of National Steel declined to $6.3 million from $10.9 million as a result of softer demand and lost orders following prolonged labor talks and a threatened strike. ","[""However, its equity in the net income of National Steel <ARG1>declined</ARG1> to $6.3 million from $10.9 million as a result of softer <ARG0>demand</ARG0> and lost orders following prolonged labor talks and a threatened strike.""]",1,demand,declined,cause,<triplet> demand <subj> declined <obj> cause
NEWS,train66,67,0,cause_our_data_0_067,"Valley Federal Savings amp Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share.    ","[""Valley Federal Savings amp Loan Association took an $89.9 million <ARG0>charge</ARG0> as it reported a third-quarter <ARG1>loss</ARG1> of $70.7 million, or $12.09 a share.""]",1,charge,loss,cause,<triplet> charge <subj> loss <obj> cause
NEWS,train180,181,0,cause_our_data_0_0181,"After the split, the company will have more than 4.7 million shares outstanding. ","[""After the <ARG0>split</ARG0>, the company will <ARG1>have</ARG1> more than 4.7 million shares outstanding.""]",1,split,have,cause,<triplet> split <subj> have <obj> cause
AFPNEWS,train50,51,0,enable_our_data_0_051,"Amazon has agreed to buy the storied MGM studios for $8.45 billion, the companies said Wednesday, giving the US tech giant a vast library to further its ambitions in streaming.","[""Amazon has agreed to <ARG0>buy</ARG0> the storied MGM studios for $8.45 billion, the companies said Wednesday, giving the US tech giant a vast library to further its <ARG1>ambitions</ARG1> in streaming.""]",1,buy,ambitions,enable,<triplet> buy <subj> ambitions <obj> enable
NEWS,train234,235,0,cause_our_data_0_0235,"Profit from coal fell to $41 million from $58 million, partly because of a miners' strike. ","[""Profit from coal <ARG1>fell</ARG1> to $41 million from $58 million, partly because of a miners <ARG0>strike</ARG0>.""]",1,strike,fell,cause,<triplet> strike <subj> fell <obj> cause
NEWS,train187,188,0,cause_our_data_0_0188,The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,"[""The president also has offered  to <ARG1>help</ARG1> offsetJordans costs because 40 percent of its exports go to Iraq and 90percent of its oil <ARG0>comes</ARG0> from there.""]",1,comes,help,cause,<triplet> comes <subj> help <obj> cause
NEWS,train87,88,0,0_our_data_0_088,"But the Memphis, Tenn., facility wasn't to begin turning out product until 1993, so the decision may reveal a more pessimistic long-term outlook as well.    ",[],0,as,But,0,<triplet> as <subj> But <obj> 0
NEWS,train313,314,0,cause_our_data_0_0314,"And in 2004, Hurricane Jeanne killed more than 3,000 people as it passed north of Haiti, with most of the deaths in the northwestern city of Gonaives.","[""And in 2004, Hurricane Jeanne <ARG1>killed</ARG1> more than 3,000 people as it <ARG0>passed</ARG0> north of Haiti, with most of the deaths in the northwestern city of Gonaives.""]",1,passed,killed,cause,<triplet> passed <subj> killed <obj> cause
