,corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs,Event1_Type,Event2_Type,relation,stripped_index,type_relation,Average_Similarity
40,cnc,1.0,1.0,0.0,intend_1_1_0,"Replied State Department deputy spokesman Richard Boucher, ``Wehave n't  really analyzed the statement in detail but it appears tobe just another example of his outlandish rhetoric and his attempts to distort the truth.   ","[""Replied State Department deputy spokesman Richard Boucher, ``Wehave n t  really analyzed the <ARG0>statement</ARG0> in detail but it appears tobe just another example of his outlandish rhetoric and his attempts to <ARG1>distort</ARG1> the truth.""]",0.0,Natural Disaster,Political Statement,intend,intend,Natural Disaster intend Political Statement,0.78350675
41,cnc,1.0,1.0,0.0,prevent_1_1_0,"The government has implemented a series of measures to prevent the spread of terrorism, including increased surveillance and improved intelligence gathering.","[""The government has implemented a series of measures to prevent the spread of <ARG1>Terrorism</ARG1>, including increased <ARG0>Surveillance</ARG0> and improved intelligence gathering.""]",0.0,Natural Disaster,Security Measure,prevent,prevent,Natural Disaster prevent Security Measure,
42,cnc,1.0,1.0,0.0,intend_1_1_0,"The government has passed a law to increase access to clean air, in an effort to reduce air pollution and improve public health.","[""The government has <ARG0>passed</ARG0> a law to increase access to clean air, in an effort to <ARG1>reduce</ARG1> air pollution and improve public health.""]",0.0,Government Passes New Legislation,Environmental Policy Change,intend,intend,Government Passes New Legislation intend Environmental Policy Change,0.78350675
43,cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of minorities, in an effort to promote social inclusion and combat racism.","[""The government is <ARG0>Introducing</ARG0> a new law to protect the rights of minorities, in an effort to <ARG1>Promote</ARG1> social inclusion and combat racism.""]",0.0,Government Introduces New Law to Protect Minority Rights,Promote Social Inclusion and Combat Racism,intend,intend,Government Introduces New Law to Protect Minority Rights intend Promote Social Inclusion and Combat Racism,0.78350675
44,cnc,1.0,1.0,0.0,intend_1_1_0,The United States and its allies launched a military campaign to liberate Kuwait and restore its sovereignty.,"[""The United States and its allies <ARG0>launched</ARG0> a military campaign to <ARG1>liberate</ARG1> Kuwait and restore its sovereignty.""]",0.0,Military Intervention,Liberation of Kuwait,intend,intend,Military Intervention intend Liberation of Kuwait,0.78350675
45,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase access to education, in an effort to reduce inequality and promote social mobility.","[""The government <ARG0>passed</ARG0> a law to increase access to education, in an effort to reduce inequality and <ARG1>promote</ARG1> social mobility.""]",0.0,Natural Disaster,Education Policy Change,intend,intend,Natural Disaster intend Education Policy Change,0.78350675
46,cnc,1.0,1.0,0.0,intend_1_1_0,His move was aimed at increasing public awareness of the need for political reform.,"[""His <ARG0>move</ARG0> was aimed at <ARG1>increasing</ARG1> public awareness of the need for political reform.""]",0.0,Natural Disaster,Political Protest,intend,intend,Natural Disaster intend Political Protest,0.78350675
47,cnc,1.0,1.0,0.0,cause_1_1_0,The president also has offered  to help offsetJordan's costs because 40 percent of its exports go to Iraq and 90percent of its oil comes from there.,"[""The president also has <ARG1>offered</ARG1>  to help offsetJordan s costs because 40 percent of its exports go to Iraq and 90percent of its oil <ARG0>comes</ARG0> from there.""]",0.0,Economic Disruption,Humanitarian Aid Offer,cause,cause,Economic Disruption cause Humanitarian Aid Offer,0.7043338
48,cnc,1.0,1.0,0.0,enable_1_1_0,A fragmented centre-left opposition failed to pass a no-confidence motion in the three-time premier in February.,"[""A <ARG0>fragmented</ARG0> centre-left opposition failed to pass a no-confidence <ARG1>motion</ARG1> in the three-time premier in February.""]",0.0,Political Instability,Government Vote or Election,enable,enable,Political Instability enable Government Vote or Election,
49,cnc,1.0,1.0,0.0,enable_1_1_0,DD Acquisition said the extension is to allow this process to be completed.,"[""DD Acquisition said the <ARG0>extension</ARG0> is to allow this process to be <ARG1>completed</ARG1>.""]",0.0,Natural Disaster,Merger and Acquisition Extension,enable,enable,Natural Disaster enable Merger and Acquisition Extension,
50,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to increase the availability of renewable energy sources in order to reduce air pollution and conserve natural resources.,"[""The government <ARG0>passed</ARG0> a law to increase the availability of renewable energy sources in order to <ARG1>reduce</ARG1> air pollution and conserve natural resources.""]",0.0,Government Policy Change,Environmental Conservation,intend,intend,Government Policy Change intend Environmental Conservation,0.78350675
51,cnc,1.0,1.0,0.0,intend_1_1_0,The prime minister proposed a new trade agreement to open up markets and create jobs.,"[""The prime minister <ARG0>Proposed</ARG0> a new trade agreement to <ARG1>Open</ARG1> up markets and create jobs.""]",0.0,Government Proposal,Economic Policy Change,intend,intend,Government Proposal intend Economic Policy Change,0.78350675
52,cnc,1.0,1.0,0.0,enable_1_1_0,"The Canadian government has announced a new program to help low-income families with the cost of home repairs, providing up to $1,000 per year in assistance for those who qualify.","[""The Canadian government has announced a new <ARG0>program</ARG0> to <ARG1>help</ARG1> low-income families with the cost of home repairs, providing up to $1,000 per year in assistance for those who qualify.""]",0.0,Government Social Welfare Program,Financial Assistance Program,enable,enable,Government Social Welfare Program enable Financial Assistance Program,
53,cnc,1.0,1.0,0.0,enable_1_1_0,The World Bank has announced a new initiative to provide financial assistance to small businesses in developing countries.,"[""The World Bank has announced a new <ARG0>initiative</ARG0> to provide financial <ARG1>assistance</ARG1> to small businesses in developing countries.""]",0.0,Natural Disaster,Economic Development Initiative,enable,enable,Natural Disaster enable Economic Development Initiative,
54,cnc,1.0,1.0,0.0,cause_1_1_0,"Columbia also added $227.3 million to reserves for losses on the portfolio, increasing general reserves to $300 million, or about 6.7% of the total portfolio, as of Sept. 30. ","[""Columbia also <ARG0>added</ARG0> $227.3 million to reserves for losses on the portfolio, <ARG1>increasing</ARG1> general reserves to $300 million, or about 6.7% of the total portfolio, as of Sept. 30.""]",0.0,Financial Disclosure,Asset Management,cause,cause,Financial Disclosure cause Asset Management,0.7043338
55,cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of consumers, in an effort to ensure fair pricing and quality products.","[""The government is <ARG0>introducing</ARG0> a new law to protect the rights of consumers, in an effort to <ARG1>ensure</ARG1> fair pricing and quality products.""]",0.0,Government Regulation,Consumer Protection,intend,intend,Government Regulation intend Consumer Protection,0.78350675
56,cnc,1.0,1.0,0.0,intend_1_1_0,"The government is introducing a new law to protect the rights of immigrants, in an effort to ensure fair treatment and access to services.","[""The government is <ARG0>introducing</ARG0> a new law to protect the rights of immigrants, in an effort to <ARG1>ensure</ARG1> fair treatment and access to services.""]",0.0,Government Policy Change,Social Justice Movement,intend,intend,Government Policy Change intend Social Justice Movement,0.78350675
57,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed an arms embargo on Somalia in an effort to prevent the country from supporting terrorist activities.,"[""The United Nations has imposed an <ARG0>Arms embargo</ARG0> on Somalia in an effort to prevent the country from supporting <ARG1>Terrorist activities</ARG1>.""]",0.0,Economic Sanction,Counter-Terrorism Measure,prevent,prevent,Economic Sanction prevent Counter-Terrorism Measure,
58,cnc,1.0,1.0,0.0,enable_1_1_0,The United Nations has passed a resolution calling for an end to the use of starvation as a weapon of war.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an <ARG1>end</ARG1> to the use of starvation as a weapon of war.""]",0.0,Natural Disaster,Humanitarian Intervention,enable,enable,Natural Disaster enable Humanitarian Intervention,
59,cnc,1.0,1.0,0.0,enable_1_1_0,The Canadian government has launched a new initiative to help reduce greenhouse gas emissions and combat climate change.,"[""The Canadian government has <ARG0>launched</ARG0> a new initiative to help <ARG1>reduce</ARG1> greenhouse gas emissions and combat climate change.""]",0.0,Government Initiative Launch,Environmental Policy Change,enable,enable,Government Initiative Launch enable Environmental Policy Change,
60,cnc,1.0,1.0,0.0,enable_1_1_0,The Arab League has called for an immediate ceasefire in Syria and for all parties to the conflict to engage in negotiations.,"[""The Arab League has called for an immediate <ARG0>ceasefire</ARG0> in Syria and for all parties to the conflict to engage in <ARG1>negotiations</ARG1>.""]",0.0,Natural Disaster,Diplomatic Initiative,enable,enable,Natural Disaster enable Diplomatic Initiative,
61,cnc,1.0,1.0,0.0,prevent_1_1_0,The United Nations has imposed a travel ban on North Korea in an effort to prevent the country from developing nuclear weapons.,"[""The United Nations has imposed a <ARG0>Travel ban</ARG0> on North Korea in an effort to prevent the country from developing <ARG1>Nuclear weapons</ARG1>.""]",0.0,Economic Sanction,Nuclear Weapons Development,prevent,prevent,Economic Sanction prevent Nuclear Weapons Development,
62,cnc,1.0,1.0,0.0,enable_1_1_0,The United Nations has passed a resolution calling for an end to the use of cluster munitions in armed conflicts.,"[""The United Nations has passed a <ARG0>resolution</ARG0> calling for an <ARG1>end</ARG1> to the use of cluster munitions in armed conflicts.""]",0.0,International Agreement,Arms Control Agreement,enable,enable,International Agreement enable Arms Control Agreement,
63,cnc,1.0,1.0,0.0,prevent_1_1_0,The government has implemented a series of laws to protect the public from dangerous products.,"[""The government has implemented a series of <ARG0>Laws</ARG0> to protect the public from <ARG1>Dangerous Products</ARG1>.""]",0.0,Natural Disaster,Regulatory Change,prevent,prevent,Natural Disaster prevent Regulatory Change,
64,cnc,1.0,1.0,0.0,intend_1_1_0,"The government has introduced a new program to provide free education to all children, in an effort to reduce inequality and promote social mobility.","[""The government has <ARG0>introduced</ARG0> a new program to provide free education to all children, in an effort to reduce inequality and <ARG1>promote</ARG1> social mobility.""]",0.0,Social Policy Change,Education Initiative,intend,intend,Social Policy Change intend Education Initiative,0.78350675
65,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to protect the rights of religious minorities and ensure equal access to public services.,"[""The government <ARG0>passed</ARG0> a law to <ARG1>protect</ARG1> the rights of religious minorities and ensure equal access to public services.""]",0.0,Natural Disaster,Legal/Political Change,intend,intend,Natural Disaster intend Legal/Political Change,0.78350675
66,cnc,1.0,1.0,0.0,cause_1_1_0,"At a news conference, Mr. Fournier accused Paribas of planning to pay for the takeover by selling parts of the company, whose interests include insurance, banking, tuna canning, sugar and orange juice.    ","[""At a news conference, Mr. Fournier <ARG1>accused</ARG1> Paribas of <ARG0>planning</ARG0> to pay for the takeover by selling parts of the company, whose interests include insurance, banking, tuna canning, sugar and orange juice.""]",0.0,Corporate Restructuring,Accusation,cause,cause,Corporate Restructuring cause Accusation,0.7043338
67,cnc,1.0,1.0,0.0,intend_1_1_0,The government passed a law to increase access to job training and reduce unemployment.,"[""The government <ARG0>passed</ARG0> a law to increase access to job training and <ARG1>reduce</ARG1> unemployment.""]",0.0,Natural Disaster,Government Policy Change,intend,intend,Natural Disaster intend Government Policy Change,0.78350675
68,cnc,1.0,1.0,0.0,enable_1_1_0,"Through a strategic collaboration, AWS and Deloitte empower customers to transform their business and innovate faster by combining AWS technologies with Deloitte's deep industry experience.","[""Through a strategic <ARG0>collaboration</ARG0>, AWS and Deloitte empower customers to transform their business and <ARG1>innovate</ARG1> faster by combining AWS technologies with Deloitte s deep industry experience.""]",0.0,Natural Disaster,Strategic Partnership,enable,enable,Natural Disaster enable Strategic Partnership,
69,cnc,1.0,1.0,0.0,intend_1_1_0,"The government passed a law to increase the number of job training programs, in an effort to increase employment opportunities.","[""The government <ARG0>passed</ARG0> a law to <ARG1>increase</ARG1> the number of job training programs, in an effort to <ARG1>increase</ARG1> employment opportunities.""]",0.0,Government Policy Change,Employment Initiative,intend,intend,Government Policy Change intend Employment Initiative,0.78350675
70,cnc,1.0,1.0,0.0,cause_1_1_0,"Valley Federal Savings amp Loan Association took an $89.9 million charge as it reported a third-quarter loss of $70.7 million, or $12.09 a share.    ","[""Valley Federal Savings amp Loan Association took an $89.9 million <ARG0>charge</ARG0> as it reported a third-quarter <ARG1>loss</ARG1> of $70.7 million, or $12.09 a share.""]",0.0,Financial Loss,Quarterly Earnings Report,cause,cause,Financial Loss cause Quarterly Earnings Report,0.7043338
71,cnc,1.0,1.0,0.0,intend_1_1_0,The government has implemented a series of reforms to promote free and fair elections and reduce political interference.,"[""The government has implemented a series of reforms to <ARG0>promote</ARG0> <ARG1>free</ARG1> and fair elections and reduce political interference.""]",0.0,Natural Disaster,Electoral Reform,intend,intend,Natural Disaster intend Electoral Reform,0.78350675
