context,triplets,subject,object,relation
 sings  a song cause They finish the song,<triplet>  sings  a song <subj> They finish the song <obj> cause,sings  a song,They finish the song,cause
 protects the  from injury cause are safe again,<triplet>  protects the from injury <subj> are safe again <obj> cause,protects the from injury,are safe again,cause
 takes it to a mechanic cause pays the bill,<triplet>  takes it to a mechanic <subj> pays the bill <obj> cause,takes it to a mechanic,pays the bill,cause
 is playing in the yard cause brings in bugs,<triplet>  is playing in the yard <subj> brings in bugs <obj> cause,is playing in the yard,brings in bugs,cause
 feels queasy cause have to sit down,<triplet>  feels queasy <subj> have to sit down <obj> cause,feels queasy,have to sit down,cause
 maintains  level cause is respected,<triplet>  maintains  level <subj> is respected <obj> cause,maintains  level,is respected,cause
 knows  was ready cause  knows  well,<triplet>  knows  was ready <subj>  knows  well <obj> cause,knows  was ready,knows  well,cause
 wants to fight  cause gets a black eye,<triplet>  wants to fight  <subj> gets a black eye <obj> cause,wants to fight,gets a black eye,cause
 talks to oneself cause has something to listen to,<triplet>  talks to oneself <subj> has something to listen to <obj> cause,talks to oneself,has something to listen to,cause
 is getting scared cause heart beats faster,<triplet>  is getting scared <subj> heart beats faster <obj> cause,is getting scared,heart beats faster,cause
 moves across the country cause gets new job,<triplet>  moves across the country <subj> gets new job <obj> cause,moves across the country,gets new job,cause
 walks down the street cause gets fresh air,<triplet>  walks down the street <subj> gets fresh air <obj> cause,walks down the street,gets fresh air,cause
 licks  cause Person x finds out how person y reacts to being licked,<triplet>  licks  <subj> Person x finds out how person y reacts to being licked <obj> cause,licks,Person x finds out how person y reacts to being licked,cause
 is incredibly nervous cause develops physical symptoms,<triplet>  is incredibly nervous <subj> develops physical symptoms <obj> cause,is incredibly nervous,develops physical symptoms,cause
 tastes disgusting cause X feels sick,<triplet>  tastes disgusting <subj> X feels sick <obj> cause,tastes disgusting,X feels sick,cause
 has never played before cause judges,<triplet>  has never played before <subj> judges <obj> cause,has never played before,judges,cause
 never played  cause is taught how to do something,<triplet>  never played  <subj> is taught how to do something <obj> cause,never played,is taught how to do something,cause
 gets  from the fridge cause NONE,<triplet>  gets from the fridge <subj> NONE <obj> cause,gets from the fridge,NONE,cause
 is running for class president cause gets accepted to a prestigious university,<triplet>  is running for class president <subj> gets accepted to a prestigious university <obj> cause,is running for class president,gets accepted to a prestigious university,cause
 beats the cancer cause smiles,<triplet>  beats the cancer <subj> smiles <obj> cause,beats the cancer,smiles,cause
 dresses to go back out to eat cause smiles,<triplet>  dresses to go back out to eat <subj> smiles <obj> cause,dresses to go back out to eat,smiles,cause
 becomes  man cause gets pregnant,<triplet>  becomes  man <subj> gets pregnant <obj> cause,becomes  man,gets pregnant,cause
 laughs together cause rest,<triplet>  laughs together <subj> rest <obj> cause,laughs together,rest,cause
 potty train  cause builds relationship,<triplet>  potty train  <subj> builds relationship <obj> cause,potty train,builds relationship,cause
 comes back home cause Sees familiar sights,<triplet>  comes back home <subj> Sees familiar sights <obj> cause,comes back home,Sees familiar sights,cause
 takes a class cause learns something new,<triplet>  takes a class <subj> learns something new <obj> cause,takes a class,learns something new,cause
 spends  worrying cause Loses weight,<triplet>  spends worrying <subj> Loses weight <obj> cause,spends worrying,Loses weight,cause
 cuts the cake cause eats slice of cake,<triplet>  cuts the cake <subj> eats slice of cake <obj> cause,cuts the cake,eats slice of cake,cause
 learns  every day cause  increases their understanding,<triplet>  learns every day <subj>  increases their understanding <obj> cause,learns every day,increases their understanding,cause
 attracts  by offering cause Get more results,<triplet>  attracts by offering <subj> Get more results <obj> cause,attracts by offering,Get more results,cause
 treats  badly cause avoids personx,<triplet>  treats  badly <subj> avoids personx <obj> cause,treats  badly,avoids personx,cause
 leaves the rest to  cause takes a nap,<triplet>  leaves the rest to  <subj> takes a nap <obj> cause,leaves the rest to,takes a nap,cause
 makes some extra cash cause they can spend money,<triplet>  makes some extra cash <subj> they can spend money <obj> cause,makes some extra cash,they can spend money,cause
 knows the  better cause gains wisdom,<triplet>  knows the better <subj> gains wisdom <obj> cause,knows the better,gains wisdom,cause
 breaks ground cause gets exercise,<triplet>  breaks ground <subj> gets exercise <obj> cause,breaks ground,gets exercise,cause
 blinks several times cause to get something out of their eye,<triplet>  blinks several times <subj> to get something out of their eye <obj> cause,blinks several times,to get something out of their eye,cause
 loves the show cause body feels excited,<triplet>  loves the show <subj> body feels excited <obj> cause,loves the show,body feels excited,cause
 finally took  cause fuels their car,<triplet>  finally took  <subj> fuels their car <obj> cause,finally took,fuels their car,cause
 takes  by the arm cause  is pulls away from ,<triplet>  takes  by the arm <subj>  is pulls away from  <obj> cause,takes  by the arm,is pulls away from,cause
 writes  a letter cause puts in envelope,<triplet>  writes  a letter <subj> puts in envelope <obj> cause,writes  a letter,puts in envelope,cause
 begs  to let cause walk away,<triplet>  begs  to let <subj> walk away <obj> cause,begs  to let,walk away,cause
 eats healthy things cause gets faster,<triplet>  eats healthy things <subj> gets faster <obj> cause,eats healthy things,gets faster,cause
 falls many times cause gets headache,<triplet>  falls many times <subj> gets headache <obj> cause,falls many times,gets headache,cause
 casts  upon the earth cause Gains fruit,<triplet>  casts upon the earth <subj> Gains fruit <obj> cause,casts upon the earth,Gains fruit,cause
 wins the race cause person x gets a trophy,<triplet>  wins the race <subj> person x gets a trophy <obj> cause,wins the race,person x gets a trophy,cause
" knows what else to say cause COOMITS A CRIME, GETS ARRESTED","<triplet>  knows what else to say <subj> COOMITS A CRIME, GETS ARRESTED <obj> cause",knows what else to say,"COOMITS A CRIME, GETS ARRESTED",cause
 parks the bus cause  is thanked,<triplet>  parks the bus <subj>  is thanked <obj> cause,parks the bus,is thanked,cause
 tells  this cause become more aware,<triplet>  tells  this <subj> become more aware <obj> cause,tells  this,become more aware,cause
 is near  cause smiles,<triplet>  is near  <subj> smiles <obj> cause,is near,smiles,cause
 assumes  expression cause gestrues,<triplet>  assumes  expression <subj> gestrues <obj> cause,assumes  expression,gestrues,cause
 becomes  engineer cause is stressed,<triplet>  becomes  engineer <subj> is stressed <obj> cause,becomes  engineer,is stressed,cause
 zig when  shoulds zag cause learns a valuable lesson,<triplet>  zig when  shoulds zag <subj> learns a valuable lesson <obj> cause,zig when  shoulds zag,learns a valuable lesson,cause
 assists  cause stay late at work,<triplet>  assists  <subj> stay late at work <obj> cause,assists,stay late at work,cause
 spends  visiting cause sees different things,<triplet>  spends visiting <subj> sees different things <obj> cause,spends visiting,sees different things,cause
 makes  harder cause makes more money,<triplet>  makes harder <subj> makes more money <obj> cause,makes harder,makes more money,cause
 throws  on the floor cause is wounded by dropped object,<triplet>  throws on the floor <subj> is wounded by dropped object <obj> cause,throws on the floor,is wounded by dropped object,cause
 moves across town cause buys furniture,<triplet>  moves across town <subj> buys furniture <obj> cause,moves across town,buys furniture,cause
 really hurt  cause resents personX,<triplet>  really hurt  <subj> resents personX <obj> cause,really hurt,resents personX,cause
 is time to perform cause they go onstage,<triplet>  is time to perform <subj> they go onstage <obj> cause,is time to perform,they go onstage,cause
 affords to buy one cause makes a purchase,<triplet>  affords to buy one <subj> makes a purchase <obj> cause,affords to buy one,makes a purchase,cause
 shapes the character  cause meeting,<triplet>  shapes the character  <subj> meeting <obj> cause,shapes the character,meeting,cause
 buys the part cause spends money,<triplet>  buys the part <subj> spends money <obj> cause,buys the part,spends money,cause
 gets a pet cause teaches tricks,<triplet>  gets a pet <subj> teaches tricks <obj> cause,gets a pet,teaches tricks,cause
 also asked  cause listens,<triplet>  also asked  <subj> listens <obj> cause,also asked,listens,cause
 screams at  cause Screams,<triplet>  <ARG1>Screams</ARG1> at  <subj> Screams <obj> cause,<ARG1>Screams</ARG1> at,Screams,cause
 is grounded for a month cause protests,<triplet>  is grounded for a month <subj> protests <obj> cause,is grounded for a month,protests,cause
 is washing dishes cause rinses soap off,<triplet>  is washing dishes <subj> rinses soap off <obj> cause,is washing dishes,rinses soap off,cause
 suffers another  cause is hospitalized,<triplet>  suffers another  <subj> is hospitalized <obj> cause,suffers another,is hospitalized,cause
 tells  mom cause y gets grounded,<triplet>  tells  mom <subj> y gets grounded <obj> cause,tells  mom,y gets grounded,cause
 decides to call  cause picks up phone,<triplet>  decides to call  <subj> picks up phone <obj> cause,decides to call,picks up phone,cause
 comes across  cause gains knowledge,<triplet>  comes across  <subj> gains knowledge <obj> cause,comes across,gains knowledge,cause
 has low self esteem cause feels unloved,<triplet>  has low self esteem <subj> feels unloved <obj> cause,has low self esteem,feels unloved,cause
 gives  some tips cause receives tips back,<triplet>  gives  some tips <subj> receives tips back <obj> cause,gives  some tips,receives tips back,cause
 decides to major cause gets class schedule,<triplet>  decides to major <subj> gets class schedule <obj> cause,decides to major,gets class schedule,cause
 frightens away  cause Gets thanked,<triplet>  frightens away  <subj> Gets thanked <obj> cause,frightens away,Gets thanked,cause
 pays  attention cause Hears story,<triplet>  pays  attention <subj> Hears story <obj> cause,pays  attention,Hears story,cause
 supports  cause receives a hug,<triplet>  supports  <subj> receives a hug <obj> cause,supports,receives a hug,cause
 drives  there cause wants to go back home,<triplet>  drives  there <subj> wants to go back home <obj> cause,drives  there,wants to go back home,cause
 reinvents the wheel cause files for a patent,<triplet>  reinvents the wheel <subj> files for a patent <obj> cause,reinvents the wheel,files for a patent,cause
 knows  in the biblical sense cause gains more knowledge about ,<triplet>  knows  in the biblical sense <subj> gains more knowledge about  <obj> cause,knows  in the biblical sense,gains more knowledge about,cause
 determines precisely the  cause become knowledgeable,<triplet>  determines precisely the  <subj> become knowledgeable <obj> cause,determines precisely the,become knowledgeable,cause
 is afraid at first cause overcomes fears,<triplet>  is afraid at first <subj> overcomes fears <obj> cause,is afraid at first,overcomes fears,cause
 makes the dough cause gets their hands dirty,<triplet>  makes the dough <subj> gets their hands dirty <obj> cause,makes the dough,gets their hands dirty,cause
 fights hand to hand cause Person X breaks his wrist.,<triplet>  fights hand to hand <subj> Person X breaks his wrist. <obj> cause,fights hand to hand,Person X breaks his wrist.,cause
 takes about an hour cause falls behind,<triplet>  takes about an hour <subj> falls behind <obj> cause,takes about an hour,falls behind,cause
 overcomes  with good cause saves a life,<triplet>  overcomes with good <subj> saves a life <obj> cause,overcomes with good,saves a life,cause
 wants kids cause They imagine their lives with children.,<triplet>  wants kids <subj> They imagine their lives with children. <obj> cause,wants kids,They imagine their lives with children.,cause
 has to go to school cause grows bored,<triplet>  has to go to school <subj> grows bored <obj> cause,has to go to school,grows bored,cause
 has a great job cause gets big paychecks,<triplet>  has a great job <subj> gets big paychecks <obj> cause,has a great job,gets big paychecks,cause
 finds the source of the noise cause sees mice,<triplet>  finds the source of the noise <subj> sees mice <obj> cause,finds the source of the noise,sees mice,cause
 calls the cops on  cause they fill out a report,<triplet>  calls the cops on  <subj> they fill out a report <obj> cause,calls the cops on,they fill out a report,cause
 mows my lawn cause finishes a task.,<triplet>  mows my lawn <subj> finishes a task. <obj> cause,mows my lawn,finishes a task.,cause
 sees  too cause nods,<triplet>  sees  too <subj> nods <obj> cause,sees  too,nods,cause
 puts my arm around  cause gets startled,<triplet>  puts my arm around  <subj> gets startled <obj> cause,puts my arm around,gets startled,cause
 takes a lot of pictures cause gains experience,<triplet>  takes a lot of pictures <subj> gains experience <obj> cause,takes a lot of pictures,gains experience,cause
 pays  to caesar cause goes back home,<triplet>  pays to caesar <subj> goes back home <obj> cause,pays to caesar,goes back home,cause
 serves it to  cause Finish breakfast,<triplet>  serves it to  <subj> Finish breakfast <obj> cause,serves it to,Finish breakfast,cause
 wants nothing to do with  cause sees X years later,<triplet>  wants nothing to do with  <subj> sees X years later <obj> cause,wants nothing to do with,sees X years later,cause
 receives an email cause answers email,<triplet>  receives an email <subj> answers email <obj> cause,receives an email,answers email,cause
 sends  to school cause person x rests,<triplet>  sends  to school <subj> person x rests <obj> cause,sends  to school,person x rests,cause
 throws open the  cause bleeds,<triplet>  throws open the  <subj> bleeds <obj> cause,throws open the,bleeds,cause
 spills the tea cause floor spills with tea,<triplet>  spills the tea <subj> floor spills with tea <obj> cause,spills the tea,floor spills with tea,cause
 swerves to avoid it cause Saves something from being destroyed,<triplet>  swerves to avoid it <subj> Saves something from being destroyed <obj> cause,swerves to avoid it,Saves something from being destroyed,cause
 eats spinach cause Washes the dishes,<triplet>  eats spinach <subj> Washes the dishes <obj> cause,eats spinach,Washes the dishes,cause
 sends a text cause hears their phone,<triplet>  sends a text <subj> hears their phone <obj> cause,sends a text,hears their phone,cause
 never liked  cause avoids the disliked item,<triplet>  never liked  <subj> avoids the disliked item <obj> cause,never liked,avoids the disliked item,cause
 spits  out cause is wet,<triplet>  spits  out <subj> is wet <obj> cause,spits  out,is wet,cause
 persuades the  to adopt cause improves life,<triplet>  persuades the to adopt <subj> improves life <obj> cause,persuades the to adopt,improves life,cause
 quickly put  cause Person X plays football.,<triplet>  quickly put  <subj> Person X plays football. <obj> cause,quickly put,Person X plays football.,cause
 goes fishing  cause Finds a new spot,<triplet>  goes fishing  <subj> Finds a new spot <obj> cause,goes fishing,Finds a new spot,cause
 says hello to  cause Asks X abotu how things are,<triplet>  says hello to  <subj> Asks X abotu how things are <obj> cause,says hello to,Asks X abotu how things are,cause
 walks home from school one  cause breathes heavily.,<triplet>  walks home from school one  <subj> breathes heavily. <obj> cause,walks home from school one,breathes heavily.,cause
 goes  yesterday cause Notices X,<triplet>  goes yesterday <subj> Notices X <obj> cause,goes yesterday,Notices X,cause
 is best for  cause falls in love,<triplet>  is best for  <subj> falls in love <obj> cause,is best for,falls in love,cause
 shoots a deer cause runs away,<triplet>  shoots a deer <subj> runs away <obj> cause,shoots a deer,runs away,cause
 thinks it was cute cause sensitive,<triplet>  thinks it was cute <subj> sensitive <obj> cause,thinks it was cute,sensitive,cause
 watches  on tv cause relaxes,<triplet>  watches on tv <subj> relaxes <obj> cause,watches on tv,relaxes,cause
 sounds  alarm cause Jumps back in surprise,<triplet>  sounds  alarm <subj> Jumps back in surprise <obj> cause,sounds  alarm,Jumps back in surprise,cause
 gets a hit cause celebrates,<triplet>  gets a hit <subj> celebrates <obj> cause,gets a hit,celebrates,cause
 always failed cause overeats in consolation,<triplet>  always failed <subj> overeats in consolation <obj> cause,always failed,overeats in consolation,cause
 eats fried chicken cause interested,<triplet>  eats fried chicken <subj> interested <obj> cause,eats fried chicken,interested,cause
 takes some time cause gets yelled at to hurry up,<triplet>  takes some time <subj> gets yelled at to hurry up <obj> cause,takes some time,gets yelled at to hurry up,cause
 looks pretty cause wants to make  more pretty,<triplet>  looks pretty <subj> wants to make more pretty <obj> cause,looks pretty,wants to make more pretty,cause
 diverts  away cause checks his secret account,<triplet>  diverts away <subj> checks his secret account <obj> cause,diverts away,checks his secret account,cause
 opens the email cause have to work,<triplet>  opens the email <subj> have to work <obj> cause,opens the email,have to work,cause
 moves quickly cause Meets a deadline,<triplet>  moves quickly <subj> Meets a deadline <obj> cause,moves quickly,Meets a deadline,cause
 suspends  cause becomes constrained,<triplet>  suspends  <subj> becomes constrained <obj> cause,suspends,becomes constrained,cause
 finally started cause On diet,<triplet>  finally started <subj> On diet <obj> cause,finally started,On diet,cause
 uses the internet cause sending mails,<triplet>  uses the internet <subj> sending mails <obj> cause,uses the internet,sending mails,cause
 kicks up a fuss cause increased emotional unrest,<triplet>  kicks up a fuss <subj> increased emotional unrest <obj> cause,kicks up a fuss,increased emotional unrest,cause
 punches  in the face cause feels pain in arm that punched PERSON,<triplet>  punches in the face <subj> feels pain in arm that punched PERSON <obj> cause,punches in the face,feels pain in arm that punched PERSON,cause
 wakes up  morning cause FEELING RELEAXED,<triplet>  wakes up morning <subj> FEELING RELEAXED <obj> cause,wakes up morning,FEELING RELEAXED,cause
 runs everyday cause person x heart gets stronger,<triplet>  runs everyday <subj> person x heart gets stronger <obj> cause,runs everyday,person x heart gets stronger,cause
 spends  to make cause Makes enough to retire,<triplet>  spends to make <subj> Makes enough to retire <obj> cause,spends to make,Makes enough to retire,cause
 retrieves the ball cause extend their arms,<triplet>  retrieves the ball <subj> extend their arms <obj> cause,retrieves the ball,extend their arms,cause
 moves to a new area cause buys a house,<triplet>  moves to a new area <subj> buys a house <obj> cause,moves to a new area,buys a house,cause
 points a gun cause screams,<triplet>  points a gun <subj> screams <obj> cause,points a gun,screams,cause
 renders  to the cause cause become aware of a new case,<triplet>  renders to the cause <subj> become aware of a new case <obj> cause,renders to the cause,become aware of a new case,cause
 buys the dress cause wears the dress,<triplet>  buys the dress <subj> wears the dress <obj> cause,buys the dress,wears the dress,cause
 about to get married cause says yes,<triplet>  about to get married <subj> says yes <obj> cause,about to get married,says yes,cause
 has back pain cause person x takes a hot bath,<triplet>  has back pain <subj> person x takes a hot bath <obj> cause,has back pain,person x takes a hot bath,cause
 serves it to  cause sharing the food,<triplet>  serves it to  <subj> sharing the food <obj> cause,serves it to,sharing the food,cause
 laughs and told  cause is nice,<triplet>  laughs and told  <subj> is nice <obj> cause,laughs and told,is nice,cause
 kills every  cause are unable to move anymore,<triplet>  kills every  <subj> are unable to move anymore <obj> cause,kills every,are unable to move anymore,cause
 takes  to court cause  goes to jail,<triplet>  takes  to court <subj>  goes to jail <obj> cause,takes  to court,goes to jail,cause
 makes  really happy cause greatful to personX,<triplet>  makes  really happy <subj> greatful to personX <obj> cause,makes  really happy,greatful to personX,cause
 schools every day cause gains knowledge,<triplet>  schools every day <subj> gains knowledge <obj> cause,schools every day,gains knowledge,cause
 expects  answer cause re-evaluates their tutoring methods,<triplet>  expects  answer <subj> re-evaluates their tutoring methods <obj> cause,expects  answer,re-evaluates their tutoring methods,cause
 eats spaghetti cause Gets stomach cramps,<triplet>  eats spaghetti <subj> Gets stomach cramps <obj> cause,eats spaghetti,Gets stomach cramps,cause
 eagerly awaited cause got it in time,<triplet>  eagerly awaited <subj> got it in time <obj> cause,eagerly awaited,got it in time,cause
 increases  by increasing cause pumps fists in excitement,<triplet>  increases by increasing <subj> pumps fists in excitement <obj> cause,increases by increasing,pumps fists in excitement,cause
 tells it like it is cause gets called names,<triplet>  tells it like it is <subj> gets called names <obj> cause,tells it like it is,gets called names,cause
 breaks my leg cause calls an ambulance,<triplet>  breaks my leg <subj> calls an ambulance <obj> cause,breaks my leg,calls an ambulance,cause
 finds  at a store cause jumps up in joy,<triplet>  finds at a store <subj> jumps up in joy <obj> cause,finds at a store,jumps up in joy,cause
 drinks the milk cause  cramps due to being lactose intolerantq,<triplet>  drinks the milk <subj>  cramps due to being lactose intolerantq <obj> cause,drinks the milk,cramps due to being lactose intolerantq,cause
 bumps  cause Person X sees how far they bump person y,<triplet>  bumps  <subj> Person X sees how far they bump person y <obj> cause,bumps,Person X sees how far they bump person y,cause
 wears  everywhere cause laughed at,<triplet>  wears everywhere <subj> laughed at <obj> cause,wears everywhere,laughed at,cause
 arrives in  cause person y walks away from person x.,<triplet>  arrives in  <subj> person y walks away from person x. <obj> cause,arrives in,person y walks away from person x.,cause
 finds my keys cause Gives handshake,<triplet>  finds my keys <subj> Gives handshake <obj> cause,finds my keys,Gives handshake,cause
 permits  to enter cause greets person,<triplet>  permits to enter <subj> greets person <obj> cause,permits to enter,greets person,cause
 is having a lot of fun cause heart rate increases,<triplet>  is having a lot of fun <subj> heart rate increases <obj> cause,is having a lot of fun,heart rate increases,cause
 speaks  well cause increased understanding from others,<triplet>  speaks well <subj> increased understanding from others <obj> cause,speaks well,increased understanding from others,cause
 takes  to the counter cause is told the price he needs to pay,<triplet>  takes to the counter <subj> is told the price he needs to pay <obj> cause,takes to the counter,is told the price he needs to pay,cause
 prevents  to others cause is well thought of,<triplet>  prevents to others <subj> is well thought of <obj> cause,prevents to others,is well thought of,cause
 asks if  could help cause Needs more help,<triplet>  asks if  could help <subj> Needs more help <obj> cause,asks if  could help,Needs more help,cause
 studies abroad cause he is smarter,<triplet>  studies abroad <subj> he is smarter <obj> cause,studies abroad,he is smarter,cause
 takes a drink cause  visits the restroom,<triplet>  takes a drink <subj>  visits the restroom <obj> cause,takes a drink,visits the restroom,cause
 considers  in terms cause  changes their opinion,<triplet>  considers in terms <subj>  changes their opinion <obj> cause,considers in terms,changes their opinion,cause
 is shopping at the grocery store cause slips on wet floor,<triplet>  is shopping at the grocery store <subj> slips on wet floor <obj> cause,is shopping at the grocery store,slips on wet floor,cause
 evens asked  cause reveal,<triplet>  evens asked  <subj> reveal <obj> cause,evens asked,reveal,cause
 knows that  well cause is confident,<triplet>  knows that well <subj> is confident <obj> cause,knows that well,is confident,cause
 plays the clarinet cause makes beautiful music,<triplet>  plays the clarinet <subj> makes beautiful music <obj> cause,plays the clarinet,makes beautiful music,cause
 enjoys the music cause personx taps their feet,<triplet>  enjoys the music <subj> personx taps their feet <obj> cause,enjoys the music,personx taps their feet,cause
 usually made  cause Genius decision,<triplet>  usually made  <subj> Genius decision <obj> cause,usually made,Genius decision,cause
 protects the  from attack cause Person x is heralded a hero,<triplet>  protects the from attack <subj> Person x is heralded a hero <obj> cause,protects the from attack,Person x is heralded a hero,cause
 assembles  cause gets thanked,<triplet>  assembles  <subj> gets thanked <obj> cause,assembles,gets thanked,cause
 lets go and let god cause tries to   be with God,<triplet>  lets go and let god <subj> tries to be with God <obj> cause,lets go and let god,tries to be with God,cause
 studies with  cause is invited to coffee,<triplet>  studies with  <subj> is invited to coffee <obj> cause,studies with,is invited to coffee,cause
 takes a shower cause gets clean,<triplet>  takes a shower <subj> gets clean <obj> cause,takes a shower,gets clean,cause
 stabs  in the back cause gets arrested,<triplet>  stabs  in the back <subj> gets arrested <obj> cause,stabs  in the back,gets arrested,cause
 keeps  record cause receives compensation,<triplet>  keeps  record <subj> receives compensation <obj> cause,keeps  record,receives compensation,cause
 is too much for  cause gets bothered,<triplet>  is too much for  <subj> gets bothered <obj> cause,is too much for,gets bothered,cause
 attracts  by offering cause Achieve Success,<triplet>  attracts by offering <subj> Achieve Success <obj> cause,attracts by offering,Achieve Success,cause
 sees  home cause drives past,<triplet>  sees  home <subj> drives past <obj> cause,sees  home,drives past,cause
 gives the class  cause find the best one,<triplet>  gives the class  <subj> find the best one <obj> cause,gives the class,find the best one,cause
 works closely with  cause gets to know  better,<triplet>  works closely with  <subj> gets to know  better <obj> cause,works closely with,gets to know  better,cause
 finds  in the garbage cause throws it back out,<triplet>  finds in the garbage <subj> throws it back out <obj> cause,finds in the garbage,throws it back out,cause
 sends  to college cause Study hard,<triplet>  sends to college <subj> Study hard <obj> cause,sends to college,Study hard,cause
 takes a cab home cause no effect,<triplet>  takes a cab home <subj> no effect <obj> cause,takes a cab home,no effect,cause
 turns the  away cause Redirects attention,<triplet>  turns the away <subj> Redirects attention <obj> cause,turns the away,Redirects attention,cause
 is desperate for money cause does something illegal,<triplet>  is desperate for money <subj> does something illegal <obj> cause,is desperate for money,does something illegal,cause
 plays bingo cause wins a prize,<triplet>  plays bingo <subj> wins a prize <obj> cause,plays bingo,wins a prize,cause
 gets a checkup cause Seeks treatment,<triplet>  gets a checkup <subj> Seeks treatment <obj> cause,gets a checkup,Seeks treatment,cause
